completion_code,feedback_accuracy,feedback_alternative,feedback_fairness,job_id,min_offer,min_offer_dss,min_offer_final,resp_time_spent,time_start,time_stop,time_stop_dss,timestamp,worker_id
respNF:aOAtx,ai_sligthly_worse,6,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,5,5,5,31,1577219111.1270826,1577219141.783405,1577219141.7841399,2019-12-24 21:26:01.099813,A2S1U#####D3SK
respNF:uzDyk,ai_equal_to_proposer,3,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,11,1577219199.8383577,1577219211.0449808,1577219211.045353,2019-12-24 21:27:08.724921,A28X0#####J48B
respNF:3ENvO,ai_slighly_better,5,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,34,1577219314.066099,1577219347.8851612,1577219347.8864248,2019-12-24 21:29:18.364572,A20JV#####4H12
respNF:kEHSi,ai_equal_to_proposer,5,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,26,1577219324.8491635,1577219350.8436823,1577219350.844449,2019-12-24 21:29:27.641067,APXF9#####0QS
respNF:IxCdc,ai_better,5,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,25,1577219396.169199,1577219421.0210586,1577219421.0215266,2019-12-24 21:30:32.405866,AGLPV#####GPF
respNF:2tACo,ai_equal_to_proposer,2,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,23,1577219409.4590497,1577219432.8235757,1577219432.8247893,2019-12-24 21:30:50.755644,A3FNC#####8YJA
respNF:2Vgx5,ai_slighly_better,2,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,179,1577219271.9085746,1577219450.883041,1577219450.8835878,2019-12-24 21:31:37.488521,A3IF1#####UPO2
respNF:RAi5H,ai_worse,5,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,13,1577219494.6655097,1577219507.564947,1577219507.56649,2019-12-24 21:31:57.949343,A3722#####K89T
respNF:PrCPu,ai_better,6,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,90,90,90,10,1577219512.8052602,1577219522.3177598,1577219522.3184047,2019-12-24 21:32:12.019415,A1SPH#####RJ4J
respNF:fup0g,ai_equal_to_proposer,1,7,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,10,10,10,12,1577219517.074419,1577219529.5725179,1577219529.573067,2019-12-24 21:32:27.168404,A2XUM#####QQ5Q
respNF:OWU6v,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,5,5,5,80,1577219634.9075234,1577219714.715904,1577219714.7167366,2019-12-24 21:35:52.257188,A39MK#####1UWR
respNF:tNpO7,ai_much_worse,1,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,47,1577219732.6670632,1577219779.8687673,1577219779.8692691,2019-12-24 21:36:47.814799,A2XVL#####WI17
respNF:WVyUF,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,20,1577219798.4715571,1577219818.1125712,1577219818.113545,2019-12-24 21:37:28.148977,A2SVR#####H7FQ
respNF:84p2X,ai_sligthly_worse,2,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,14,1577219828.8047588,1577219842.324001,1577219842.3247333,2019-12-24 21:37:42.588011,A1153#####0ZJ8
respNF:v1enr,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,20,20,20,102,1577219758.667298,1577219860.9884562,1577219860.990437,2019-12-24 21:39:04.014522,A20CZ#####54G9
respNF:34VdA,ai_equal_to_proposer,3,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,21,1577219962.7286623,1577219983.3674853,1577219983.3682635,2019-12-24 21:40:07.495815,A9R6J#####K6V
respNF:ubXRX,ai_equal_to_proposer,2,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,25,25,25,10,1577219989.182548,1577219999.6319897,1577219999.6327798,2019-12-24 21:40:14.128743,A2WPK#####MBLK
respNF:6peHL,ai_equal_to_proposer,6,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,90,90,90,27,1577219973.623922,1577220000.492893,1577220000.4934924,2019-12-24 21:40:20.832844,A1JWK#####6YKL
respNF:4rR99,ai_sligthly_worse,5,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,30,30,30,45,1577219972.942105,1577220018.3785186,1577220018.3791728,2019-12-24 21:40:37.030218,A1VJ4#####PUCP
respNF:OHS3X,ai_worse,6,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,25,25,25,10,1577220081.2374473,1577220091.326695,1577220091.3291602,2019-12-24 21:41:49.600839,A1LVY#####RDID
respNF:LaH5p,ai_better,1,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,11,1577220081.2914603,1577220092.4102843,1577220092.4107666,2019-12-24 21:41:54.589738,A1B7G#####G04X
respNF:Cugvf,ai_equal_to_proposer,5,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,18,1577220082.3926275,1577220100.3078613,1577220100.3082874,2019-12-24 21:41:55.528073,A2KD3#####KHDJ
respNF:d6C4N,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,13,1577220147.667877,1577220160.4913006,1577220160.492049,2019-12-24 21:43:06.016278,A3645#####67L4
respNF:0gN14,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,30,30,30,11,1577220163.7767627,1577220174.6503305,1577220174.6508577,2019-12-24 21:43:08.009196,A3KVK#####TSN3
respNF:faJuP,ai_sligthly_worse,5,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,0,0,0,32,1577220130.6907406,1577220162.5436103,1577220162.5455043,2019-12-24 21:43:12.605564,A2OXE#####KSGW
respNF:1Ozzz,ai_sligthly_worse,5,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,11,1577220197.2840343,1577220207.8035982,1577220207.8042214,2019-12-24 21:44:08.716128,A259A#####0WUJ
respNF:njwXz,ai_slighly_better,5,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,100,100,100,6,1577220305.6871967,1577220311.3824618,1577220311.3835373,2019-12-24 21:45:19.088465,A3BN4#####GB34
respNF:yDzJC,ai_equal_to_proposer,5,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,20,1577220319.4876657,1577220339.9360998,1577220339.9368842,2019-12-24 21:46:04.415217,AMHVH#####5DE
respNF:iazZ1,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,22,1577220571.7634966,1577220593.497447,1577220593.4987042,2019-12-24 21:50:16.742448,A2BNO#####RW2R
respNF:aMBoK,ai_slighly_better,3,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,11,1577220804.2272975,1577220815.7180316,1577220815.7191057,2019-12-24 21:53:56.624129,ADXHW#####K77
respNF:A5d96,ai_equal_to_proposer,4,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,20,20,20,20,1577220865.9591527,1577220886.4063034,1577220886.4073055,2019-12-24 21:55:05.421177,A36PR#####B76C
respNF:50J5e,ai_equal_to_proposer,4,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,60,60,60,32,1577220904.874114,1577220937.3610113,1577220937.3621042,2019-12-24 21:55:48.809231,A7EP5#####QPX
respNF:3i5OF,ai_equal_to_proposer,4,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,15,15,15,49,1577220869.965226,1577220919.0887182,1577220919.0895228,2019-12-24 21:55:59.193004,A1815#####JALI
respNF:fUbMA,ai_slighly_better,2,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,11,1577221096.7618845,1577221107.8959038,1577221107.8967755,2019-12-24 21:58:58.243353,A26SF#####KBYB
respNF:Ggb3h,ai_sligthly_worse,4,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,35,35,35,30,1577221192.7749927,1577221222.4803727,1577221222.481011,2019-12-24 22:00:37.445589,AHV4U#####DKI
respNF:UkVMv,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,5,5,5,55,1577221343.1902235,1577221398.1844192,1577221398.1859672,2019-12-24 22:04:00.647425,A1SS1#####XY44
respNF:mG4F6,ai_better,5,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,12,1577221453.1629937,1577221464.930818,1577221464.9314709,2019-12-24 22:04:50.638507,A3IF4#####MYJ1
respNF:bmEOe,ai_equal_to_proposer,2,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,40,1577221487.8367813,1577221528.050873,1577221528.0518458,2019-12-24 22:06:06.794116,A2CZJ#####YCFV
respNF:lpWgm,ai_much_better,1,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,60,60,60,14,1577221652.7033222,1577221667.1189764,1577221667.119629,2019-12-24 22:08:08.033556,A3K7K#####ADVD
respNF:NdxAJ,ai_equal_to_proposer,4,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,20,20,20,35,1577221746.3151805,1577221780.8688316,1577221780.86933,2019-12-24 22:10:12.146251,A1XOO#####IVGI
respNF:NJlAy,ai_slighly_better,5,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,95,95,95,16,1577222227.93172,1577222243.7037847,1577222243.704825,2019-12-24 22:17:34.973584,A3BDJ#####FEIQ
respNF:42S4D,ai_equal_to_proposer,5,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,0,0,0,28,1577222678.796693,1577222706.905108,1577222706.9065042,2019-12-24 22:25:25.277002,A1U4N#####78EA
respNF:nTKZk,ai_equal_to_proposer,5,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,10,1577222724.6002197,1577222734.7322721,1577222734.7329473,2019-12-24 22:25:40.598759,A1M68#####SYJP
respNF:Qg1Dv,ai_equal_to_proposer,2,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,30,30,30,10,1577223193.854891,1577223204.3117182,1577223204.3129616,2019-12-24 22:33:38.256443,A1A1A#####CI9Y
respNF:Ahrei,ai_sligthly_worse,4,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,10,10,10,9,1577223240.3737767,1577223248.9384158,1577223248.939675,2019-12-24 22:34:26.490625,A20MU#####DCLC
respNF:GPf14,ai_equal_to_proposer,1,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,5,5,5,32,1577223809.7509253,1577223841.9895277,1577223841.9909246,2019-12-24 22:44:34.327044,A1NMC#####TPYG
respNF:IzsUQ,ai_equal_to_proposer,7,7,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,13,1577225832.4372141,1577225845.508645,1577225845.5094252,2019-12-24 23:17:38.362327,A6RMM#####Y9J
respNF:EBPtu,ai_slighly_better,4,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,10,1577225951.6372564,1577225962.1198757,1577225962.1205466,2019-12-24 23:19:42.278900,A2LMO#####USGL
respNF:U2HMq,ai_slighly_better,2,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,55,55,55,16,1577226046.4253035,1577226062.8630133,1577226062.8638341,2019-12-24 23:21:22.676547,A110B#####7E16
respNF:idj7N,ai_slighly_better,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,16,1577226057.4525764,1577226073.8627853,1577226073.8633602,2019-12-24 23:21:37.830771,A1W66#####43P1
respNF:Tpq61,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,7,1577226120.194406,1577226127.693787,1577226127.694304,2019-12-24 23:22:17.839731,A1AF6#####MER9
respNF:5vvlq,ai_equal_to_proposer,4,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,29,1577226159.5087876,1577226189.0003374,1577226189.0013254,2019-12-24 23:23:28.369591,A1HBR#####67GV
respNF:quBEZ,ai_equal_to_proposer,2,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,17,1577226203.0826306,1577226219.7393465,1577226219.7400703,2019-12-24 23:24:03.349853,A3L4J#####2HB8
respNF:WaeUe,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,10,1577226224.1818056,1577226234.4322248,1577226234.4327514,2019-12-24 23:24:22.355593,A2CWY#####BE09
respNF:hGWrf,ai_equal_to_proposer,2,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,20,20,20,57,1577226189.6231644,1577226246.3713143,1577226246.3720782,2019-12-24 23:24:26.630353,A1DNJ#####J0MJ
respNF:CDAX3,ai_equal_to_proposer,4,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,20,1577226232.5469458,1577226252.7877877,1577226252.7883382,2019-12-24 23:24:35.951048,A2ML4#####DQD0
respNF:rZFOP,ai_slighly_better,2,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,13,1577226675.2010653,1577226688.601555,1577226688.6022687,2019-12-24 23:31:55.187744,AK884#####4ZW
respNF:XTszE,ai_much_better,2,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,37,1577227276.855659,1577227313.953399,1577227313.9546516,2019-12-24 23:42:29.933786,A15TF#####QVQZ
respNF:sg8dd,ai_slighly_better,2,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,9,1577227767.1063457,1577227776.3353908,1577227776.3365033,2019-12-24 23:49:52.321771,A2NGS#####HZVD
respNF:Q1bDG,ai_equal_to_proposer,4,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,8,1577227970.8731143,1577227978.8857508,1577227978.8866892,2019-12-24 23:53:06.538725,A2T2H#####DPD2
respNF:o4Cy6,ai_better,1,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,14,1577229235.9713418,1577229249.4773786,1577229249.4783247,2019-12-25 00:14:25.584884,A14NP#####S7GK
respNF:SyDry,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,22,1577229831.9313233,1577229853.9411275,1577229853.9427893,2019-12-25 00:24:38.303398,A9KJQ#####KD0
respNF:fFP16,ai_equal_to_proposer,6,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,25,25,25,13,1577229999.3119874,1577230012.2948568,1577230012.2956276,2019-12-25 00:27:09.024231,A36YZ#####T1EX
respNF:b1l2H,ai_slighly_better,4,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,95,95,95,26,1577230353.7105815,1577230379.8754044,1577230379.8770702,2019-12-25 00:33:05.670570,AXBUM#####FAC
respNF:kKQyr,ai_equal_to_proposer,4,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,7,1577230375.7797003,1577230382.3984377,1577230382.3991015,2019-12-25 00:33:14.158686,A1XCR#####H8L
respNF:iE6BA,ai_sligthly_worse,1,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,5,5,5,16,1577230417.255514,1577230433.3775518,1577230433.3783953,2019-12-25 00:34:15.244071,A33AB#####EN6W
respNF:HpymM,ai_better,6,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,100,100,100,22,1577230440.835153,1577230462.3567169,1577230462.357104,2019-12-25 00:34:32.212215,AP6QO#####O40
respNF:j1mzP,ai_equal_to_proposer,1,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,20,1577230437.221519,1577230457.2439227,1577230457.2447004,2019-12-25 00:34:35.459745,A1FGK#####L1MI
respNF:4c1Zm,ai_equal_to_proposer,2,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,17,1577230489.5734887,1577230506.93111,1577230506.9316597,2019-12-25 00:35:26.166525,A7GI8#####2PX
respNF:U7oai,ai_equal_to_proposer,2,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,0,0,0,13,1577230604.4594054,1577230617.0030003,1577230617.0040731,2019-12-25 00:37:17.901631,AKFUA#####BFF
respNF:mXBzX,ai_much_worse,4,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,16,1577230603.4163456,1577230619.1775799,1577230619.178241,2019-12-25 00:37:19.039613,A1FUW#####0UX0
respNF:3H0BE,ai_sligthly_worse,7,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,25,25,25,35,1577230594.3004215,1577230629.408618,1577230629.40922,2019-12-25 00:37:29.327124,A12LU#####TXA5
respNF:XVcgx,ai_sligthly_worse,3,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,12,1577230625.042503,1577230637.043581,1577230637.0445483,2019-12-25 00:37:45.840708,A30BD#####0LNM
respNF:tGz9q,ai_equal_to_proposer,5,7,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,70,70,70,46,1577230625.7821586,1577230672.0055728,1577230672.0063927,2019-12-25 00:38:06.041421,AL17F#####CI1
respNF:yIwoY,ai_better,5,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,20,20,20,9,1577230718.0065255,1577230726.8624935,1577230726.8630974,2019-12-25 00:38:53.280475,ACMCJ#####UGL
respNF:SDiWy,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,17,1577230758.2603343,1577230775.1887138,1577230775.189876,2019-12-25 00:40:09.318963,A18XC#####XKX2
respNF:rGdjr,ai_sligthly_worse,2,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,35,35,35,8,1577230792.1673777,1577230800.0115867,1577230800.0123215,2019-12-25 00:40:20.355074,A3G7N#####W422
respNF:SYLC3,ai_equal_to_proposer,6,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,35,35,35,11,1577230843.9911728,1577230855.343614,1577230855.3445067,2019-12-25 00:41:02.888908,AKMQH#####WO9
respNF:pBRya,ai_equal_to_proposer,2,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,41,1577230812.0267508,1577230852.7924688,1577230852.7929566,2019-12-25 00:41:03.601401,AZIAQ#####FUX
respNF:3THR3,ai_sligthly_worse,4,3,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,10,1577230863.5153227,1577230873.7300513,1577230873.7304573,2019-12-25 00:41:51.058618,A3QFL#####2P9R
respNF:bhQkA,ai_sligthly_worse,2,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,45,45,45,28,1577230859.9652684,1577230888.401524,1577230888.402046,2019-12-25 00:42:01.236386,A2MJ0#####SFVN
respNF:RRx6c,ai_equal_to_proposer,4,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,5,5,5,36,1577231023.859203,1577231060.2810621,1577231060.2821689,2019-12-25 00:44:53.403812,ABYL4#####EFI
respNF:N5Vv8,ai_equal_to_proposer,2,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,20,20,20,17,1577231051.783296,1577231069.0909626,1577231069.0920856,2019-12-25 00:44:59.104828,A1WVN#####2UNZ
respNF:gtEfi,ai_sligthly_worse,2,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,20,20,20,36,1577231026.6327357,1577231063.0713887,1577231063.0719957,2019-12-25 00:44:59.730174,AX0Q8#####FGI
respNF:Zhz9l,ai_equal_to_proposer,1,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,27,1577231054.4947884,1577231081.1162825,1577231081.1169765,2019-12-25 00:45:05.897623,A1PBF#####9N3K
respNF:tH0nF,ai_equal_to_proposer,5,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,9,1577231082.7224414,1577231091.7080266,1577231091.708945,2019-12-25 00:45:16.432581,A2MM4#####QNIE
respNF:oyv7F,ai_equal_to_proposer,3,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,29,1577231423.6406653,1577231452.7785,1577231452.7792058,2019-12-25 00:51:09.582345,A3OF8#####6QX4
respNF:vgA33,ai_equal_to_proposer,1,5,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,35,35,35,17,1577231775.6232853,1577231792.2280438,1577231792.2290173,2019-12-25 00:56:55.788745,A342U#####T5Q8
respNF:ZP5E7,ai_much_worse,7,7,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,12,1577232371.1033685,1577232383.161037,1577232383.1620939,2019-12-25 01:06:37.660976,A2TXR#####AGSH
respNF:EtxG8,ai_slighly_better,2,4,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,5,5,5,8,1577232444.9913807,1577232453.453291,1577232453.4547646,2019-12-25 01:08:04.724580,A1TW2#####874Z
respNF:elRIv,ai_equal_to_proposer,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,5,5,5,56,1577232727.8954477,1577232783.6592917,1577232783.6608298,2019-12-25 01:13:30.074936,A2ZOJ#####D3US
respNF:ogI0z,ai_much_worse,2,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,40,40,40,23,1577232853.1783102,1577232876.53937,1577232876.5403972,2019-12-25 01:15:18.086115,A1Y7T#####Q8U4
respNF:In042,ai_slighly_better,1,2,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,35,35,35,14,1577232969.9009476,1577232984.0824256,1577232984.0838423,2019-12-25 01:16:59.786159,A2H2L#####8R5N
respNF:wU3so,ai_much_better,7,6,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,30,1577234270.95848,1577234301.048999,1577234301.0581002,2019-12-25 01:38:35.103588,AUJVP#####S2K
respNF:pu4Oi,ai_much_better,1,1,3G3AJKPCYO0UZ0A3NCJCWATB8ZA4YV,50,50,50,7,1577234365.2458553,1577234371.9890413,1577234371.98976,2019-12-25 01:40:03.521798,A7RHF#####0CU
