completion_code,feedback_accuracy,feedback_alternative,feedback_fairness,job_id,min_offer,min_offer_dss,min_offer_final,resp_time_spent,time_start,time_start_dss,time_stop,time_stop_dss,timestamp,worker_id
respNF:cvGQO,ai_equal_to_proposer,3,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,13,1576881826.8828316,1576881840.3113854,1576881840.126246,1576881867.909907,2019-12-20 23:44:56.705727,A21OJ#####LRJ9
respNF:RCh1G,ai_worse,1,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,13,1576881965.9515183,1576881979.6068957,1576881979.3010497,1576881994.1266978,2019-12-20 23:46:56.395212,A2EKR#####0VMV
respNF:OcuZd,ai_equal_to_proposer,3,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,12,1576882041.1426983,1576882053.206146,1576882053.0648081,1576882063.3409295,2019-12-20 23:48:03.362670,A381D#####MEWZ
respNF:3bRIY,ai_equal_to_proposer,4,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,13,1576882108.1723015,1576882121.6784413,1576882121.437729,1576882145.2945702,2019-12-20 23:49:28.088871,A22NU#####OJZ
respNF:qsn6t,ai_slighly_better,2,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,30,30,14,1576883128.206219,1576883142.8275943,1576883142.614403,1576883156.551018,2019-12-21 00:06:08.678432,A3KA3#####PMPA
respNF:87Sih,ai_equal_to_proposer,5,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,45,45,11,1576883123.5576882,1576883134.429995,1576883134.2871933,1576883157.2315934,2019-12-21 00:06:23.100485,A2EAI#####SIO5
respNF:f0gai,ai_equal_to_proposer,2,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,8,1576883185.1363904,1576883193.5217235,1576883193.4074583,1576883203.6738896,2019-12-21 00:06:56.835135,A7SXW#####40R
respNF:I4IBo,ai_equal_to_proposer,2,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,13,1576883200.3303967,1576883213.6407886,1576883213.5200114,1576883225.849717,2019-12-21 00:07:25.195016,A3VN7#####NVFQ
respNF:cP343,ai_much_better,6,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,25,50,50,24,1576883282.9600425,1576883307.012701,1576883306.6396117,1576883359.241007,2019-12-21 00:09:57.491853,A36U6#####MZ46
respNF:D188e,ai_equal_to_proposer,5,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,75,75,5,1576883373.0378838,1576883378.5057487,1576883378.3681912,1576883393.1846979,2019-12-21 00:10:08.336734,A1W3Q#####BHWE
respNF:cuMNi,ai_equal_to_proposer,5,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,25,50,50,30,1576883332.7466536,1576883362.7752683,1576883362.5158293,1576883383.2805154,2019-12-21 00:10:13.829208,A39EB#####PAFH
respNF:NiZuh,ai_equal_to_proposer,6,6,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,55,55,14,1576883599.4615579,1576883613.9446602,1576883613.617523,1576883620.723278,2019-12-21 00:13:54.403714,A2E5F#####552
respNF:tRMJO,ai_slighly_better,5,6,3O4VWC1GFZCRDFM2Y1NMV092O493JO,45,50,50,16,1576883714.937001,1576883730.8000228,1576883730.6349888,1576883745.0864217,2019-12-21 00:15:54.293759,A2B1X#####NBJM
respNF:v7Rd0,ai_equal_to_proposer,4,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,10,5,5,39,1576884055.2038805,1576884094.0063016,1576884093.8688176,1576884109.068371,2019-12-21 00:21:57.539346,A27GN#####G19C
respNF:vodRj,ai_equal_to_proposer,2,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,10,1576884109.359577,1576884119.632187,1576884119.4753518,1576884140.7496068,2019-12-21 00:22:51.003745,A2FGK#####DFWS
respNF:E1qRF,ai_slighly_better,5,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,35,35,12,1576884174.531617,1576884186.9992962,1576884186.7761023,1576884205.4366899,2019-12-21 00:23:38.398037,A28P6#####7F9Y
respNF:25w8a,ai_slighly_better,4,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,5,25,25,32,1576884697.7005906,1576884729.5595658,1576884729.379142,1576884790.802119,2019-12-21 00:33:31.756025,A26TP#####66VC
respNF:Jud10,ai_much_better,7,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,70,70,7,1576884776.0147352,1576884783.2173207,1576884783.0783184,1576884800.7488353,2019-12-21 00:33:33.733648,A1OPG#####8XOY
respNF:n82hS,ai_equal_to_proposer,5,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,55,50,50,11,1576884983.9843168,1576884995.7069025,1576884995.4148726,1576885007.4057662,2019-12-21 00:37:08.593192,A2Q8N#####OHSY
respNF:RyXaS,ai_equal_to_proposer,5,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,11,1576885143.437885,1576885154.1751637,1576885153.9755316,1576885175.5658422,2019-12-21 00:40:02.838573,A19DZ#####SBIJ
respNF:Ce4Iv,ai_slighly_better,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,36,1576885125.662466,1576885162.3421829,1576885162.0716739,1576885198.0704563,2019-12-21 00:40:30.003542,AZ1H5#####9NL
respNF:VLcyI,ai_slighly_better,5,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,35,30,30,7,1576885247.9026082,1576885254.9781547,1576885254.7900162,1576885280.0587955,2019-12-21 00:41:33.965349,A2JFR#####YZT2
respNF:4QXeW,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,0,0,0,39,1576885261.2818,1576885300.097739,1576885299.9243386,1576885359.7959406,2019-12-21 00:43:07.388571,A30G1#####O3VL
respNF:515lK,ai_slighly_better,6,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,5,20,20,16,1576885460.5392387,1576885476.7295752,1576885476.5330324,1576885493.8155742,2019-12-21 00:45:06.990430,A3MXB#####G9TA
respNF:f0zn4,ai_equal_to_proposer,5,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,9,1576885493.4972515,1576885502.3840306,1576885502.231105,1576885512.0008059,2019-12-21 00:45:29.583201,A3U2U#####S933
respNF:eTTYn,ai_slighly_better,5,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,55,55,11,1576885470.573187,1576885481.4093418,1576885481.2676826,1576885495.9399455,2019-12-21 00:45:33.262246,A15VC#####EPJN
respNF:lxesX,ai_equal_to_proposer,4,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,30,30,13,1576885489.9945621,1576885502.679918,1576885502.4955583,1576885529.2727566,2019-12-21 00:45:53.963110,A3KQ6#####BOPY
respNF:gKB1k,ai_slighly_better,3,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,12,1576885614.1053212,1576885626.6077116,1576885626.4063325,1576885634.176063,2019-12-21 00:47:21.755381,A3CXJ#####DXBN
respNF:3OMDt,ai_equal_to_proposer,2,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,25,25,25,12,1576885659.8358157,1576885672.2076461,1576885672.0425985,1576885705.8096907,2019-12-21 00:48:38.979322,A2MSJ#####9T0L
respNF:nE6h9,ai_equal_to_proposer,1,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,30,30,7,1576885901.8513868,1576885909.0543807,1576885908.9119878,1576885920.2557468,2019-12-21 00:52:10.453577,A3P27#####XWOC
respNF:3Z0Sl,ai_slighly_better,2,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,17,1576885947.3059256,1576885964.129963,1576885963.9383028,1576886015.632225,2019-12-21 00:54:16.422295,A141Q#####E2E
respNF:ipdbK,ai_equal_to_proposer,2,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,25,25,14,1576886078.6190917,1576886093.1540344,1576886092.9940493,1576886122.176328,2019-12-21 00:55:45.211933,AWKUO#####8YI
respNF:xvr4S,ai_equal_to_proposer,3,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,15,5,5,3,1576886399.1839626,1576886402.6553502,1576886402.5072699,1576886405.403291,2019-12-21 01:00:12.265300,A423Q#####3B9
respNF:QDgK0,ai_better,6,6,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,60,60,17,1576886487.241673,1576886504.1768572,1576886503.8731973,1576886511.4100244,2019-12-21 01:01:59.404798,A37S0#####6P17
respNF:6c4gW,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,45,45,45,14,1576886486.7935374,1576886501.1364903,1576886500.963086,1576886521.801547,2019-12-21 01:02:14.756973,A1518#####QYIJ
respNF:KVjIU,ai_much_better,5,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,35,40,40,11,1576886566.837714,1576886577.838858,1576886577.5824594,1576886588.564908,2019-12-21 01:03:22.873858,A11BA#####5S8M
respNF:KdwCQ,ai_sligthly_worse,3,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,20,20,20,8,1576886569.7841272,1576886577.7047424,1576886577.5580976,1576886598.0642889,2019-12-21 01:03:31.044709,ADP1Q#####JRS
respNF:Mgzc9,ai_equal_to_proposer,3,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,35,35,8,1576886611.4030988,1576886619.2591743,1576886619.1090012,1576886628.6958878,2019-12-21 01:03:58.057545,A28ZP#####S7GZ
respNF:MTa3m,ai_equal_to_proposer,1,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,8,1576886592.0109951,1576886600.5346975,1576886600.3729172,1576886622.7501056,2019-12-21 01:04:02.387803,A2CY1#####KP5Q
respNF:Gh6di,ai_much_better,5,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,25,25,25,12,1576886584.892479,1576886596.814248,1576886596.5021892,1576886642.3401291,2019-12-21 01:04:26.311633,A23TH#####OPKP
respNF:Hwa5F,ai_worse,3,6,3O4VWC1GFZCRDFM2Y1NMV092O493JO,25,25,25,11,1576886687.0414004,1576886697.852044,1576886697.6509254,1576886713.1248946,2019-12-21 01:05:31.988883,AEQV5#####TPY
respNF:KrPmC,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,20,20,20,16,1576886685.6366413,1576886702.1989093,1576886702.0251641,1576886725.0915108,2019-12-21 01:05:53.945351,A1POA#####TBXB
respNF:iD40V,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,20,25,25,17,1576886711.2891424,1576886728.7038858,1576886728.457206,1576886748.6981063,2019-12-21 01:06:09.272019,A1A3S#####FZEY
respNF:4eUrM,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,39,1576886675.211687,1576886713.913748,1576886713.7505734,1576886743.7204537,2019-12-21 01:06:11.062525,A15CL#####SJDW
respNF:eWDRv,ai_equal_to_proposer,4,6,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,14,1576886721.5038025,1576886735.9813874,1576886735.7804089,1576886754.9339926,2019-12-21 01:06:14.362509,AUYK3#####O60
respNF:gV7er,ai_equal_to_proposer,3,6,3O4VWC1GFZCRDFM2Y1NMV092O493JO,55,60,60,13,1576886736.5034046,1576886749.6126783,1576886749.41352,1576886761.1081712,2019-12-21 01:06:16.031073,A49A0#####YDU
respNF:3nn8Y,ai_much_worse,1,6,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,21,1576886719.9000785,1576886740.6438634,1576886740.4558046,1576886764.0676928,2019-12-21 01:06:26.343649,A35ZV#####OBP5
respNF:a4PMV,ai_better,2,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,25,20,20,13,1576886688.3688474,1576886701.8830056,1576886701.6936839,1576886766.6982644,2019-12-21 01:06:44.273597,A28HL#####LSKB
respNF:xjAV9,ai_sligthly_worse,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,45,45,45,20,1576886726.355018,1576886746.2363641,1576886745.9446564,1576886794.270644,2019-12-21 01:06:51.730361,A3OKW#####VH4F
respNF:QON4O,ai_worse,2,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,45,45,45,15,1576886809.1090717,1576886824.3189852,1576886824.082631,1576886856.0479429,2019-12-21 01:07:54.135830,A1R0N#####GUTE
respNF:0Nhwc,ai_equal_to_proposer,4,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,10,1576886850.0096598,1576886860.1576164,1576886860.001532,1576886876.0555828,2019-12-21 01:08:13.368644,A3FU3#####5K5F
respNF:0OyDi,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,40,40,19,1576886803.796002,1576886823.2306166,1576886822.9704525,1576886861.525938,2019-12-21 01:08:23.505317,A1U69#####IXZ5
respNF:VTPkv,ai_sligthly_worse,1,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,40,40,20,1576886774.638934,1576886794.6955547,1576886794.5098026,1576886884.3787887,2019-12-21 01:08:24.535785,AJMXU#####DLP
respNF:xShMO,ai_sligthly_worse,1,7,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,30,30,40,1576886767.22098,1576886807.0157726,1576886806.8582218,1576886849.8012261,2019-12-21 01:08:33.346251,A1IIF#####FISQ
respNF:mldW8,ai_slighly_better,4,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,35,35,11,1576886917.3889081,1576886928.031383,1576886927.900817,1576886935.5048592,2019-12-21 01:09:02.059950,A1U3T#####9FU9
respNF:XASBH,ai_equal_to_proposer,1,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,8,1576886891.55994,1576886900.0090618,1576886899.7795913,1576886919.3541806,2019-12-21 01:09:10.192606,A125C#####Q3CY
respNF:yOryK,ai_slighly_better,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,0,0,0,42,1576886796.327079,1576886838.5282595,1576886838.3022556,1576886954.0111923,2019-12-21 01:09:57.249379,ANQYH#####4B1
respNF:ciqOq,ai_equal_to_proposer,7,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,75,75,14,1576886931.6812515,1576886945.630393,1576886945.4615982,1576886974.46858,2019-12-21 01:10:00.818068,A3H9M#####IV6V
respNF:8mmDK,ai_better,6,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,45,50,50,9,1576886973.2910173,1576886982.134826,1576886981.916216,1576887007.8698206,2019-12-21 01:10:24.244111,A2NKK#####G50G
respNF:VKf7f,ai_much_worse,7,7,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,45,45,17,1576887061.7643843,1576887078.5047634,1576887078.2960036,1576887142.6794143,2019-12-21 01:12:54.637205,A1SZ8#####CZH0
respNF:ecK44,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,40,40,13,1576887078.1580691,1576887090.8281615,1576887090.6715715,1576887105.5351582,2019-12-21 01:13:00.629485,A25PQ#####ESAT
respNF:NLLYj,ai_equal_to_proposer,2,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,40,40,17,1576887149.7966442,1576887166.7236776,1576887166.5386753,1576887190.8299599,2019-12-21 01:13:43.391282,AOZNG#####2SZ
respNF:EnxEc,ai_equal_to_proposer,5,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,5,0,0,48,1576887175.1628385,1576887223.522716,1576887223.2143135,1576887255.0710018,2019-12-21 01:14:37.876102,AFWJT#####4SZ
respNF:qlE7j,ai_sligthly_worse,2,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,40,40,7,1576887447.7947004,1576887454.6354773,1576887454.5041265,1576887470.6480253,2019-12-21 01:18:06.914466,A3MAK#####NO62
respNF:AMCa6,ai_worse,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,25,25,25,10,1576887456.5378041,1576887466.9490407,1576887466.7082264,1576887484.5878277,2019-12-21 01:18:25.396366,AI6TD#####8FQ
respNF:oFFKY,ai_equal_to_proposer,5,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,45,45,9,1576887510.568886,1576887520.027131,1576887519.8443005,1576887555.2943618,2019-12-21 01:19:37.806737,A1M9D#####KKTC
respNF:znCiz,ai_equal_to_proposer,2,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,5,5,5,6,1576887562.5351737,1576887568.8348176,1576887568.6979587,1576887586.7994514,2019-12-21 01:19:58.090895,A1NF1#####RG1V
respNF:nTpXa,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,29,1576887584.1590095,1576887613.3337944,1576887613.1690483,1576887629.3521717,2019-12-21 01:20:52.590231,A31QY#####EJH1
respNF:LccOw,ai_better,6,7,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,45,45,22,1576887603.540658,1576887625.4675977,1576887625.2863805,1576887636.3535097,2019-12-21 01:21:13.415731,A9N9K#####U4W
respNF:reDAM,ai_equal_to_proposer,2,5,3O4VWC1GFZCRDFM2Y1NMV092O493JO,45,45,45,19,1576887671.1606085,1576887689.993287,1576887689.7751734,1576887740.8977714,2019-12-21 01:22:40.998006,A1KD8#####5RLM
respNF:qzaJE,ai_equal_to_proposer,4,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,6,1576887773.1959813,1576887779.7011404,1576887779.5069962,1576887787.227554,2019-12-21 01:23:26.005203,A2USG#####MM4E
respNF:9ByRM,ai_sligthly_worse,4,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,20,20,20,8,1576887787.7239661,1576887796.042134,1576887795.8809938,1576887809.7982037,2019-12-21 01:23:42.457115,AS1IH#####V70
respNF:cLrp2,ai_equal_to_proposer,4,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,35,40,40,11,1576887884.4010155,1576887895.5438046,1576887895.3201215,1576887912.2808096,2019-12-21 01:25:33.229941,A1EAN#####IFA1
respNF:7Xg7R,ai_much_worse,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,15,1576887878.56446,1576887893.403838,1576887893.2628512,1576887923.0427773,2019-12-21 01:25:38.808236,A3SKE#####S0DI
respNF:rpCga,ai_equal_to_proposer,2,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,30,30,9,1576887915.7770073,1576887925.0751119,1576887924.8862574,1576887944.3947093,2019-12-21 01:25:54.902322,AIHCZ#####PTJ
respNF:x0GN1,ai_better,3,7,3O4VWC1GFZCRDFM2Y1NMV092O493JO,25,25,25,22,1576887877.159887,1576887899.26453,1576887899.108223,1576887933.8443253,2019-12-21 01:26:09.158560,ARILO#####N64
respNF:JQaqT,ai_better,5,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,75,75,75,6,1576887953.4754386,1576887960.0230732,1576887959.766915,1576887973.0354617,2019-12-21 01:26:37.180924,A7N3J#####L6M
respNF:mad40,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,45,45,45,20,1576887890.6035237,1576887910.7099013,1576887910.5913393,1576888060.5711484,2019-12-21 01:27:56.287074,A27AK#####M9KH
respNF:UEAzc,ai_equal_to_proposer,5,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,40,40,29,1576887897.5349808,1576887926.7283247,1576887926.365613,1576887967.6405568,2019-12-21 01:28:20.459425,A3CAS#####104
respNF:lFQ4Y,ai_sligthly_worse,1,7,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,40,40,12,1576888030.2978745,1576888042.5842812,1576888042.1864698,1576888065.3078396,2019-12-21 01:28:22.222411,A31VW#####7PP5
respNF:zJJiR,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,14,1576888041.1738913,1576888055.6179123,1576888055.4747522,1576888093.2415802,2019-12-21 01:28:38.524320,A7KAE#####X1D
respNF:BwrKF,ai_equal_to_proposer,3,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,13,1576888064.997556,1576888078.2274666,1576888078.0426486,1576888110.2960987,2019-12-21 01:29:17.931272,A1L2Z#####8MY6
respNF:xERYm,ai_equal_to_proposer,1,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,16,1576888103.2692535,1576888119.1904993,1576888119.0153852,1576888149.547285,2019-12-21 01:29:38.132150,A2R75#####LBXE
respNF:bYCRW,ai_equal_to_proposer,5,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,50,50,16,1576888475.0881572,1576888491.5824697,1576888491.3059173,1576888537.0142336,2019-12-21 01:36:03.212312,A1CY7#####H136
respNF:8amu3,ai_slighly_better,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,10,10,10,16,1576888821.9809747,1576888838.5911677,1576888838.3972127,1576888876.3623943,2019-12-21 01:41:44.632836,A3F51#####A34D
respNF:0M1Wf,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,20,20,20,17,1576888923.9288988,1576888941.6115866,1576888941.406287,1576888981.951035,2019-12-21 01:43:32.310407,A34XV#####9Y8C
respNF:iyQje,ai_sligthly_worse,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,14,1576888991.6457705,1576889005.4420989,1576889005.2474535,1576889044.8763828,2019-12-21 01:44:27.607637,A2I8Y#####JN49
respNF:vpXky,ai_equal_to_proposer,4,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,30,30,30,18,1576889276.7559454,1576889295.278872,1576889295.1448796,1576889302.9777012,2019-12-21 01:48:32.772451,A2R94#####G9OR
respNF:HvESU,ai_equal_to_proposer,2,2,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,12,1576889380.4089627,1576889392.0685804,1576889391.9234424,1576889419.3375506,2019-12-21 01:50:50.333406,A1PNY#####8FWF
respNF:EcT6M,ai_equal_to_proposer,1,1,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,9,1576889510.8344507,1576889520.3005674,1576889520.1403282,1576889544.97544,2019-12-21 01:52:50.879120,A3DK4#####CMM1
respNF:Lkqbz,ai_equal_to_proposer,2,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,40,40,40,27,1576890915.5960505,1576890942.794971,1576890942.6323223,1576891007.355246,2019-12-21 02:17:26.838046,A2VX8#####RN2
respNF:Zra6B,ai_sligthly_worse,1,3,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,16,1576891669.1922188,1576891685.4848673,1576891685.3072286,1576891725.2960267,2019-12-21 02:29:21.294679,AWZI6#####EWB
respNF:zwKwF,ai_sligthly_worse,1,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,11,1576891970.3068402,1576891981.4586048,1576891981.2903864,1576891994.3911848,2019-12-21 02:33:30.415740,A3KA0#####AAXO
respNF:nEqke,ai_equal_to_proposer,1,4,3O4VWC1GFZCRDFM2Y1NMV092O493JO,50,50,50,20,1576893060.1195858,1576893080.710546,1576893080.4397511,1576893110.317915,2019-12-21 02:52:13.467852,A2ALY#####PUYQ
