min_offer,min_offer_dss,feedback_ai_offers,feedback_fairness_against_ai,min_offer_final,resp_time_spent,job_id,worker_id,status,updated,resp_worker_id,ai_offer,model_type
30,30,5,6,30,15,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####47e14358-fbd3-4012-9fa2-51088039e1a7,judged,1625166610.340686,A1P2R#####S5BT,50,real
40,35,2,2,35,136,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####bc36be05-2e7f-4d07-865a-b14c5d9308e9,judged,1625166628.203048,ACEH0#####N3K,50,real
25,10,5,5,10,7,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####c55d2659-17cb-44e3-b1ca-014188294c1b,judged,1625166664.7356071,AWFHJ#####UMK,50,real
50,50,4,1,50,9,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####38d7791b-febe-49e5-81f0-d084f97cddef,judged,1625166668.8628604,A37XB#####33FE,50,real
70,60,5,7,60,12,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####8c279bcf-4221-4660-9af9-23bce827bf06,judged,1625166678.9352608,A3P57#####KNCE,50,real
25,50,5,5,50,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####5b3898a9-aaa0-43a8-a958-ead290092c1a,judged,1625166705.5675697,A24PR#####KGO3,50,real
10,5,5,5,5,12,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####cfdda270-9cf0-4cf6-ad16-c78f0ef2b786,judged,1625166717.4847126,A1M2O#####DO0U,50,real
55,55,3,4,55,19,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####3a6a70ff-571f-4c69-888c-6393f3e686a2,judged,1625166768.9990096,A1XYT#####DKRT,50,real
100,95,5,4,95,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####744ee7ad-02fa-4a75-917b-d89740c13c3e,judged,1625166778.9369204,A292N#####O16T,50,real
50,50,6,4,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####a06fde0a-1ca9-4d08-b7c1-aaf510654c4c,judged,1625166787.8401904,AK6Y1#####T3A,50,real
5,25,5,6,25,16,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,auto_#####6aefa4b0-63f2-4f7f-a17d-6e58d94051c2,judged,1625166795.4961839,A17AW#####59YX,50,real
35,35,5,5,35,6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####83f6f86a-7b02-4079-856d-4415b3544025,judged,1625166887.3775437,A31VL#####Y6OR,50,real
0,5,4,1,5,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####34fd3cb6-63ed-4267-a7f0-8a72223999e7,judged,1625166913.1422844,A3O2S#####SLG5,50,real
50,20,5,4,20,151,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####597da854-2b77-415b-b9e8-799efccc446f,judged,1625166976.6202219,AKFFO#####FJ6,50,real
50,60,5,6,60,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####4377881b-b921-48ae-9aac-76f033acf0bd,judged,1625167037.4552972,A2U45#####P7D8,50,real
35,40,6,2,40,21,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####9c842c9d-86c8-4d93-90a5-6a98a40679ae,judged,1625167108.878029,A92KV#####TU4,50,real
40,30,1,5,30,18,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####71e3b288-45ec-45b4-8013-0acc1df78d83,judged,1625167158.7194753,A3TVW#####RCU,50,real
50,45,2,7,45,275,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####f0d4c824-665e-4802-9aaa-a0c64ee24515,judged,1625167317.4786003,AO3IL#####W7Y,50,real
5,50,6,7,50,16,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####c263fc3c-2017-4e06-b915-fe18d5aa6187,judged,1625167411.7392023,A3BOG#####B3GM,50,real
35,75,4,5,75,6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####07c05921-e5b1-4d15-b3de-6f6bc22f579b,judged,1625167487.6983793,A2TWI#####CMNM,50,real
50,65,4,1,65,17,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####488f7e9b-7582-4987-b09e-9b5022a8f85e,judged,1625167524.273054,A3N0J#####S1B6,50,real
50,45,3,2,45,7,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####60e3e615-e84b-4b44-bf5c-0dedd4e016f3,judged,1625167538.2218125,A2NA6#####3KFH,50,real
50,100,7,6,100,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####51da118a-0ca7-46b0-94ca-2813351ced8c,judged,1625167589.3448725,AFXF3#####597,50,real
25,25,5,1,25,21,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####88bf80d0-8922-483b-9fa0-75508f62421d,judged,1625167616.0442128,AVKRM#####HUM,50,real
50,100,5,5,100,34,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####ada0b4ad-b198-404f-b971-009515501439,judged,1625167671.0477586,A211Z#####DWDQ,50,real
20,30,4,5,30,31,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####ac2af33d-4a0f-44e8-961c-2c275bb12ac2,judged,1625167707.225644,AYS1B#####UHG,50,real
25,40,5,4,40,22,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####e021cfdd-d61b-498e-9de7-7c8689b476a1,judged,1625168019.86019,A3BO3#####7Q5H,50,real
100,95,1,1,95,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####40a87290-1aef-483b-8842-1f858bc490e8,judged,1625168035.7819746,A3BLJ#####25YU,50,real
50,50,4,4,50,7,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####e1c2fd76-8352-4671-a6d7-db96634c6269,judged,1625168058.7467113,A2G7D#####PTKA,50,real
5,40,3,6,40,12,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####0aa7a1ab-960b-4ca1-a07b-1b1780b4bca7,judged,1625168190.534001,A13GU#####ZZDL,50,real
50,50,7,1,50,32,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####88c9f9a9-d6bf-4784-8da2-462db986fd23,judged,1625168234.4874854,A2MM8#####5ZNJ,50,real
35,35,6,5,35,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####81ef5459-254c-4853-8578-2154545a7606,judged,1625168406.8056924,A3N8N#####UPT3,50,real
80,55,4,3,55,71,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####83e1cb6d-2a2d-4d82-847e-b95ba6976877,judged,1625168431.8578002,A2G32#####VDHH,50,real
60,100,4,6,100,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####735eece2-459a-4202-b165-1e8189ec0fd4,judged,1625168452.3244414,A3MDV#####Y0D3,50,real
10,50,4,5,50,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####0c149d5a-3dff-4a1a-b2e3-fc07f021619a,judged,1625168534.9984605,A3UYS#####JS1D,50,real
25,50,4,2,50,27,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####f93dafec-8890-40c0-bdb5-6aece17a39c6,judged,1625168552.1696236,ALACB#####07P,50,real
40,55,4,4,55,41,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####2a8e9f66-b4b0-4c81-8985-833b0c920469,judged,1625168632.2936287,A2NHF#####M8QR,50,real
60,60,4,1,60,27,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####10f1b4bd-432d-4ebe-9d8f-770d25432780,judged,1625168680.804363,A39FJ#####T28,50,real
15,30,6,2,30,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####eb5f1842-73b2-4d81-b1be-c83400631953,judged,1625168833.333446,A2XS4#####8PD4,50,real
50,50,2,2,50,9,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####48495942-23c9-4e55-bd30-60fb5367dc30,judged,1625168911.9807682,A1IWR#####AB0Z,50,real
30,40,3,1,40,22,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####6fe446a3-20be-4ed6-9f0e-5c97e8fddca5,judged,1625168931.8896472,A28U7#####CS1U,50,real
100,50,6,5,50,43,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####c006d132-5eb8-43c7-9227-220eb6f7e573,judged,1625169175.5748665,A3VNG#####2XW9,50,real
25,50,5,7,50,49,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####df639f07-1d63-445f-9e59-526d57247895,judged,1625169345.139157,A2DVV#####NCT5,50,real
50,50,4,1,50,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####ef4bbba4-dcad-482f-b35c-548be517445c,judged,1625169349.9959648,A36UF#####O9GJ,50,real
75,55,5,3,55,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####bd963c27-8ae4-4d0e-b71d-01adabe60aca,judged,1625169430.1252878,AW081#####T14,50,real
50,50,4,3,50,6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####2cf8299d-e221-45e8-9ed3-af28a2922bc2,judged,1625169510.7917693,A110K#####7SUJ,50,real
30,30,4,1,30,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####33fe29f2-3b49-44c9-82f1-4df35559d531,judged,1625169622.8823233,A3B9M#####CQWX,50,real
50,50,2,2,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####b5b69586-fac1-440e-9ee0-51ebde1e47ce,judged,1625169781.5702164,A3R0Y#####KWK3,50,real
5,25,5,2,25,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####4ae2fc63-dd9d-42da-9be9-cf67e7ea21fb,judged,1625169991.7780864,A30CV#####9OLN,50,real
50,50,3,3,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####e6fc49ef-dfc4-4028-811a-306381895aae,judged,1625170032.7064745,A2P8V#####L5I4,50,real
80,40,5,6,40,18,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####52ba49d3-320b-4d47-9c60-e775bd2cb353,judged,1625170155.75904,AJWEF#####GUC,50,real
0,5,4,3,5,27,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####83cc7785-d315-406e-98bd-117ea4e52780,judged,1625170204.4296207,A1L9J#####RQMU,50,real
100,15,4,4,15,28,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####6eadd059-55f5-43fa-ad79-f6833787ef92,judged,1625170409.82737,A2YFQ#####AN9I,50,real
30,10,4,4,10,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####d6950607-bcee-464d-89bc-43ff1f41ec44,judged,1625170479.3398194,A3PXU#####8WRW,50,real
40,50,7,6,50,24,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####192b36a2-bd1a-4911-a362-ae3351a4c359,judged,1625170548.2543209,A1R78#####68GY,50,real
100,100,5,4,100,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####03c3f10d-acee-4154-a772-106aab1920d1,judged,1625170699.5904217,A2Y7N#####TCR8,50,real
50,50,5,6,50,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####71de9308-8574-477f-96ee-17a2ef6ada4a,judged,1625170827.763879,AK77E#####KJG,50,real
30,25,5,6,25,57,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####de01d83c-310d-48b3-b607-03dbce6997bc,judged,1625170876.743547,A36DA#####D5FX,50,real
50,50,3,2,50,4,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,auto_#####ef2623cb-155f-4c05-aaa5-c8d67df687f6,judged,1625170910.255263,A2OS3#####M69E,50,real
50,100,6,6,100,16,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####9fe7366d-7cfe-4f20-8c1c-4df9089f8761,judged,1625171462.1217315,A1VBN#####USU7,50,real
40,50,4,1,50,17,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####106a5788-22ab-4839-908b-a562c6e4f033,judged,1625171467.0638204,A2ML7#####HJO7,50,real
50,50,4,2,50,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####a3ab982a-2536-49c8-b05f-a8d633d9aee2,judged,1625171680.4387088,A337Y#####Y4QI,50,real
40,45,6,2,45,6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####70db32d6-8829-405a-9c05-54bcd112dc49,judged,1625171915.1902096,A1F9K#####9DTA,50,real
45,45,4,1,45,16,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####a24a771d-622d-46bb-8da2-0f1b94d86f49,judged,1625172311.2827966,A1G34#####G1R8,50,real
45,45,4,5,45,22,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####676292d8-56ef-45c2-875a-82927c0214bd,judged,1625172435.9019434,AKNBC#####NDO,50,real
50,50,5,5,50,20,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####a8df061a-f135-4851-b238-ece34f7e73ea,judged,1625172625.7508705,ASD8F#####ZBF,50,real
5,10,5,1,10,15,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####878226e4-7140-4daa-af33-5bd826e4b833,judged,1625173031.8424404,A3O9C#####VJLA,50,real
50,50,4,5,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####8b64ea5f-b8c2-4d66-ac35-3f8f4867c704,judged,1625173311.289285,A2RWL#####FZA7,50,real
50,50,5,1,50,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####7bc472cc-f643-4560-af77-b77a4002ed59,judged,1625173407.956016,A1TPG#####D68E,50,real
40,40,4,2,40,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####a0d33904-651a-4036-ae07-d31f97df62f2,judged,1625173627.9914577,A1IJ5#####TT46,50,real
50,40,5,1,40,23,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####1ace8227-c0cd-438b-abbb-15960b1ec987,judged,1625174212.8402474,A3F8K#####X8UR,50,real
50,50,5,4,50,50,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####065444ce-390e-4dfc-b4c2-8c460e9a8072,judged,1625174288.8465889,A2MS1#####X9FZ,50,real
80,60,4,5,60,20,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####6b585d1a-bf82-4583-8ab9-051ce24411b9,judged,1625174303.1941407,A2Q8H#####1MKN,50,real
35,50,3,5,50,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####2d0dc0ea-ffb5-42f1-9158-c1453c36c9d1,judged,1625175007.798153,AZ2P6#####6SH,50,real
50,60,2,2,60,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####16ee2ef9-f401-42c6-843f-8414893018b5,judged,1625175246.8669293,A5A14#####J23,50,real
20,20,4,3,20,13,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,auto_#####55fe3df5-5503-47d7-a63f-db1338311c82,judged,1625175498.7464368,A2GSJ#####TMDH,50,real
45,40,5,3,40,15,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####27650acf-547b-4d55-a334-f4f981db4ffc,judged,1625176181.8564475,A1DWS#####8X0K,50,real
25,0,4,1,0,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####2da63f8b-0ec3-4cf3-ac58-61b8ea6534b1,judged,1625179143.168341,A2VN5#####7P0R,50,real
50,40,3,4,40,29,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####dc2f9115-87fa-47a6-b35e-d2bc17fa4a64,judged,1625181368.1086364,A1P3H#####LJMP,50,real
50,50,5,7,50,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####3a44a46f-393b-47b2-a59e-5ebd0928c4aa,judged,1625182878.4492435,A2T8B#####QFI,50,real
65,65,7,7,65,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####ece2b957-a831-4124-a2fa-31cd4434f7f5,judged,1625238324.6459455,A1SPD#####Y9YX,50,real
30,30,3,5,30,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####60218217-e15b-4091-b097-be290f13445c,judged,1625238820.3775444,A2LF8#####1GR2,50,real
40,40,6,5,40,17,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####c443f41c-4eb2-49fa-9c24-5ef6725ab138,judged,1625241085.6352668,AE2T3#####R51,50,real
100,100,4,4,100,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####59c6aead-06b3-4c51-9e63-d195009bfcd3,judged,1625241337.6644657,A51J9#####CO0,50,real
40,40,5,1,40,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####ac2531f2-7ce7-4c6f-8bb6-a2b4973aaf93,judged,1625242262.8364909,A193D#####FSVT,50,real
5,0,4,5,0,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####ca78fa08-1539-4b49-a610-bf3b3df4d47c,judged,1625243414.8350692,A3FZG#####HBRW,50,real
40,10,4,3,10,30,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####e5349057-de5d-46f8-8e3a-35f705c59645,judged,1625243867.182843,AQDW1#####HTY,50,real
0,0,3,5,0,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,auto_#####c158c98e-70ba-413b-96e8-81aed4bfedc1,judged,1625256527.250796,A1GZ4#####TCES,50,real
