gender,age,ethnicity,income,education,proposer,responder,money_division,code_resp_prop,code_cpc,code_risk,code_exp,code_cc,code_ras,test,feedback,proposer_responder,timestamp,worker_id,job_id,completion_code
,,,,,incorrect1,incorrect2,incorrect2,,,,,,,ball,GOOD,incorrect1,2021-07-01 19:26:59.714743,A1YXK#####R5I1,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:8KH6S,,,,,,ball,good,correct,2021-07-01 19:27:16.243667,A3N0J#####S1B6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:uHdqT
female,1825_years,white,Primary source of income,bachelor_degree,correct,correct,correct,respNF:EgKCJ,,,,,,ball,Good work.,correct,2021-07-01 19:27:27.739152,AFXF3#####597,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:bgIwp
male,2635_years,hispanic_latino,Primary source of income,bachelor_degree,correct,correct,correct,respNF:h2kOX,,,,,,ball,,correct,2021-07-01 19:27:42.369673,AVKRM#####HUM,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:bnUdg
female,3645_years,white,I earn nearly equal incomes from crowdsourced microtasks and other job(s),master_degree,correct,correct,correct,respNF:09fbd,,,,,,ball,A good survey,correct,2021-07-01 19:29:28.746957,AYS1B#####UHG,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:7nkAE
male,2635_years,black_or_african_american,Primary source of income,bachelor_degree,correct,correct,correct,respNF:Ro7st,,,,,,ball,good,correct,2021-07-01 19:31:27.144011,A211Z#####DWDQ,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:LAlfp
,,,,,incorrect1,incorrect1,incorrect2,,,,,,,ball,,incorrect2,2021-07-01 19:32:49.779821,A1K0F#####NTEI,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
female,3645_years,asian,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:U35KY,,,,,,ball,,correct,2021-07-01 19:34:36.622639,A2G7D#####PTKA,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:KyXUI
female,2635_years,white,I earn nearly equal incomes from crowdsourced microtasks and other job(s),master_degree,correct,correct,correct,respNF:TBCgi,,,,,,ball,good.,correct,2021-07-01 19:34:38.742429,A3BO3#####7Q5H,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:3wcJX
male,3645_years,white,Primary source of income,bachelor_degree,correct,correct,correct,respNF:hrC7S,,,,,,ball,very interesting task,correct,2021-07-01 19:34:44.557215,A3BLJ#####25YU,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:XqNT2
male,2635_years,white,Primary source of income,bachelor_degree,correct,correct,correct,respNF:BLL3K,,,,,,ball,,correct,2021-07-01 19:37:05.316099,A13GU#####ZZDL,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:14arm
female,3645_years,white,Secondary source of income,high_school_degree,correct,correct,correct,respNF:cq2k0,,,,,,ball,none,correct,2021-07-01 19:37:46.772263,A2MM8#####5ZNJ,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:Hv4GA
male,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:6ovjA,,,,,,ball,,correct,2021-07-01 19:40:37.551049,A3N8N#####UPT3,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:yzsfA
male,2635_years,white,Primary source of income,master_degree,correct,correct,correct,respNF:jfBvu,,,,,,ball,good,correct,2021-07-01 19:41:29.032355,A3MDV#####Y0D3,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:zsiQh
,,,,,correct,correct,correct,,,,,,,,,correct,2021-07-01 19:41:38.450506,AHMJH#####GYT,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
,,,,,correct,incorrect1,correct,,,,,,,,,correct,2021-07-01 19:42:03.568550,A1DII#####QHH0,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
,,,,,incorrect2,correct,incorrect1,,,,,,,,,correct,2021-07-01 19:42:16.219167,A1WT9#####DLKN,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
female,2635_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:MLCDf,,,,,,ball,good task ,correct,2021-07-01 19:42:36.874302,A2G32#####VDHH,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:SoruQ
male,4655_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:0m20T,,,,,,ball,nteresting study,correct,2021-07-01 19:43:32.848670,ALACB#####07P,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:FCmJZ
female,1825_years,white,Primary source of income,master_degree,correct,correct,correct,respNF:YDs5v,,,,,,ball,none,correct,2021-07-01 19:43:41.189429,A3UYS#####JS1D,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:LExVA
female,2635_years,black_or_african_american,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:YKZI6,,,,,,ball,,correct,2021-07-01 19:44:21.917584,A2NHF#####M8QR,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:sYDQj
,,,,,correct,correct,correct,,,,,,,,,correct,2021-07-01 19:45:10.511692,ACMPT#####J9E,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:cW23P,,,,,,ball,,correct,2021-07-01 19:45:25.543590,A39FJ#####T28,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:8kStV
,,,,,correct,correct,incorrect1,,,,,,,,,correct,2021-07-01 19:46:41.293695,A2FEC#####3VAI,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,2635_years,white,Secondary source of income,high_school_degree,correct,correct,correct,respNF:xMEli,,,,,,ball,,correct,2021-07-01 19:47:33.260445,A2XS4#####8PD4,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:TS0R6
,,,,,incorrect2,correct,,,,,,,,,,incorrect1,2021-07-01 19:48:58.680213,A23IT#####SF85,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,3645_years,white,Secondary source of income,doctorate_degree,correct,correct,correct,respNF:Kwfa2,,,,,,ball,,correct,2021-07-01 19:49:00.426018,A1IWR#####AB0Z,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:0bUnk
female,2635_years,asian,Primary source of income,high_school_degree,correct,correct,correct,respNF:SgfRh,,,,,,ball,,correct,2021-07-01 19:49:29.807553,A28U7#####CS1U,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:oz5Bs
,,,,,correct,correct,incorrect2,,,,,,,,,correct,2021-07-01 19:53:49.410642,A2KND#####F7JL,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,dropped
female,3645_years,white,Secondary source of income,other,correct,correct,correct,respNF:KdBps,,,,,,ball,Associate's Degree,correct,2021-07-01 19:56:27.541464,A36UF#####O9GJ,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:PzHh0
female,1825_years,white,Secondary source of income,master_degree,correct,correct,correct,respNF:0dqEP,,,,,,ball,i,correct,2021-07-01 19:56:55.377841,A2DVV#####NCT5,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:i38hX
,,,,,correct,correct,correct,,,,,,,,,correct,2021-07-01 19:57:07.092538,A3SA9#####23NN,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,4655_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:ISUyK,,,,,,ball,"no feedback at this time, thank you",correct,2021-07-01 19:58:01.528944,AW081#####T14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:JHSOi
male,2635_years,black_or_african_american,Primary source of income,master_degree,correct,correct,correct,respNF:7uf8i,,,,,,ball,,correct,2021-07-01 19:58:34.982263,A3VNG#####2XW9,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:eAvNs
male,4655_years,white,Primary source of income,high_school_degree,correct,correct,correct,respNF:19wRZ,,,,,,ball,,correct,2021-07-01 19:59:00.201703,A110K#####7SUJ,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:Oy2uh
male,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:IEz49,,,,,,ball,,correct,2021-07-01 20:01:03.924997,A3B9M#####CQWX,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:t3CI7
,,,,,correct,correct,correct,,,,,,,,,correct,2021-07-01 20:01:14.924886,A1YSF#####S67Z,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,2635_years,hispanic_latino,Secondary source of income,high_school_degree,correct,correct,correct,respNF:Gv5Ze,,,,,,ball,,correct,2021-07-01 20:03:25.836762,A3R0Y#####KWK3,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:41CTV
male,2635_years,white,Secondary source of income,master_degree,correct,correct,correct,respNF:Hiz59,,,,,,ball,"Fun Study, thanks",correct,2021-07-01 20:06:57.248192,A30CV#####9OLN,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:nIdCN
,,,,,incorrect1,incorrect2,correct,,,,,,,ball,good study always.,incorrect1,2021-07-01 20:07:43.628219,A3JGW#####XOVI,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,3645_years,black_or_african_american,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:QzHzG,,,,,,ball,It was quite an engaging study,correct,2021-07-01 20:07:54.586458,A2P8V#####L5I4,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:04b9M
,,,,,incorrect2,,correct,,,,,,,ball,,correct,2021-07-01 20:08:02.008115,APQL6#####KDO,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
female,2635_years,white,I earn nearly equal incomes from crowdsourced microtasks and other job(s),bachelor_degree,correct,correct,correct,respNF:usZVV,,,,,,ball,good,correct,2021-07-01 20:10:07.686818,AJWEF#####GUC,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:03HdB
male,3645_years,white,Primary source of income,bachelor_degree,correct,correct,correct,respNF:Xnvy7,,,,,,ball,"hmm, all good",correct,2021-07-01 20:12:26.335993,A1L9J#####RQMU,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:5FErx
,,,,,correct,correct,incorrect1,,,,,,,,,correct,2021-07-01 20:13:15.526184,A6ASU#####EYV,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,2635_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:qfEx0,,,,,,ball,None,correct,2021-07-01 20:14:23.654657,A2YFQ#####AN9I,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:Y26JX
male,2635_years,black_or_african_american,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:Z6e8x,,,,,,ball,,correct,2021-07-01 20:15:10.919409,A3PXU#####8WRW,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:MM5eB
,,,,,correct,correct,,,,,,,,,,correct,2021-07-01 20:16:02.171659,A1AFX#####GT68,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,3645_years,black_or_african_american,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:VCLRg,,,,,,ball,,correct,2021-07-01 20:16:42.467743,A1R78#####68GY,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:9H0l5
male,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:m8oF4,,,,,,ball,This survey was very interesting.,correct,2021-07-01 20:19:29.982188,A2Y7N#####TCR8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:mMsCZ
male,1825_years,american_indian_or_alaska_native,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:VpXPD,,,,,,ball,na,correct,2021-07-01 20:20:53.744744,AK77E#####KJG,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:CFCPi
,,,,,correct,correct,incorrect2,,,,,,,,,correct,2021-07-01 20:21:14.573006,A36SN#####DKI5,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,3645_years,white,Secondary source of income,high_school_degree,correct,correct,correct,respNF:S9nWL,,,,,,ball,,correct,2021-07-01 20:22:11.607308,A2OS3#####M69E,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,t30:YF0v8
,,,,,correct,correct,incorrect1,,,,,,,,,correct,2021-07-01 20:26:09.790051,AB2QG#####8TM,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
,,,,,correct,correct,correct,,,,,,,,,correct,2021-07-01 20:26:33.771354,AREQ4#####ENT,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,3645_years,black_or_african_american,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:ceBvL,,,,,,ball,,correct,2021-07-01 20:31:36.875928,A2ML7#####HJO7,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:34Qnx
female,1825_years,white,Primary source of income,bachelor_degree,correct,correct,correct,respNF:whQ59,,,,,,ball,Good work.,correct,2021-07-01 20:31:49.514415,A1VBN#####USU7,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:CrDXa
,,,,,correct,correct,,,,,,,,ball,,correct,2021-07-01 20:33:29.812350,A37TJ#####9D65,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
female,4655_years,asian,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:99UEa,,,,,,ball,,correct,2021-07-01 20:35:10.139100,A337Y#####Y4QI,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:QWY52
female,2635_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:yvELr,,,,,,ball,GREAT,correct,2021-07-01 20:38:11.104804,A36DA#####D5FX,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:B8gdk
female,1825_years,,I earn nearly equal incomes from crowdsourced microtasks and other job(s),master_degree,correct,correct,correct,,,,,,,ball,Very Interesting,correct,2021-07-01 20:38:22.342800,A3FKS#####GM7I,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,dropped
male,4655_years,white,Secondary source of income,high_school_degree,correct,correct,correct,respNF:gHM4a,,,,,,ball,Thanks for the HIT!  I did my best and hope the data is useful!,correct,2021-07-01 20:39:01.612769,A1F9K#####9DTA,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:B9E6b
male,2635_years,black_or_african_american,Secondary source of income,high_school_degree,correct,correct,correct, respNF:uA6Vw ,,,,,,ball,,correct,2021-07-01 20:45:50.690468,A1G34#####G1R8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:BWNRv
female,2635_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:Kmjel,,,,,,ball,N/A,correct,2021-07-01 20:48:09.476243,AKNBC#####NDO,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:HMqu2
male,2635_years,black_or_african_american,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:MIawe,,,,,,ball,,correct,2021-07-01 20:51:42.811320,ASD8F#####ZBF,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:E7koZ
male,2635_years,white,Secondary source of income,master_degree,correct,correct,correct,respNF:fMzbL,,,,,,ball,good survey,correct,2021-07-01 20:57:55.757922,A3O9C#####VJLA,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:erdgH
male,2635_years,asian,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:lXNnK,,,,,,ball,,correct,2021-07-01 21:02:14.201039,A2RWL#####FZA7,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:mYBVN
female,3645_years,white,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:8lBWq,,,,,,ball,NA,correct,2021-07-01 21:05:44.423368,A1TPG#####D68E,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:EjxW2
male,5665_years,asian,Secondary source of income,bachelor_degree,correct,correct,correct,respNF:z2w71,,,,,,ball,,correct,2021-07-01 21:07:41.870818,A1IJ5#####TT46,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,t30:YND1u
