min_offer,time_start,timestamp,time_stop,time_start_dss,time_stop_dss,min_offer_dss,feedback_alternative,feedback_fairness,feedback_accuracy,feedback_ai_offers,feedback_fairness_against_ai,completion_code,min_offer_final,resp_time_spent,job_id,worker_id
25,1625166029.2291734,2021-07-01 19:03:40.994887,1625166048.2940679,1625166048.5144024,1625166081.7104673,40,6,4,4,6,1,respNF:dwG6c,40,19,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1BT5#####BIJY
100,1625166211.1351132,2021-07-01 19:04:26.321791,1625166239.348377,1625166239.4903376,1625166253.8272512,100,2,4,5,3,4,respNF:6wqVv,100,28,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1SXF#####M8SP
100,1625166233.9059286,2021-07-01 19:04:53.140434,1625166252.6177592,1625166253.016872,1625166268.6575642,100,5,5,5,5,6,respNF:YAQsb,100,19,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A225T#####JEDX
50,1625166337.6008132,2021-07-01 19:06:17.254326,1625166351.2805316,1625166351.6494653,1625166363.4410598,50,5,3,5,5,3,respNF:k6qwK,50,14,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,ATCSO#####PPF
50,1625166344.630471,2021-07-01 19:06:27.178849,1625166356.8381443,1625166356.960504,1625166369.2491696,50,5,5,4,5,4,respNF:LqlcE,50,12,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3BOK#####J16O
30,1625166394.9778237,2021-07-01 19:07:04.889711,1625166400.1853411,1625166400.4061947,1625166406.4991474,30,1,1,1,4,1,respNF:HXNWT,30,5,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A304U#####1J89
40,1625166496.6701155,2021-07-01 19:09:22.736808,1625166533.1201622,1625166533.2744114,1625166545.881863,45,6,1,5,6,1,respNF:bmRRY,45,36,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3DM8#####DGR
30,1625166541.2091348,2021-07-01 19:10:09.830973,1625166555.9420059,1625166556.1018727,1625166571.2731493,30,2,4,5,5,6,respNF:m60hN,30,15,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1P2R#####S5BT
40,1625166428.5642803,2021-07-01 19:10:27.739230,1625166564.6689184,1625166565.09642,1625166587.947259,35,7,1,2,2,2,respNF:BTHwP,35,136,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,ACEH0#####N3K
25,1625166614.4812338,2021-07-01 19:11:04.260786,1625166621.224821,1625166621.3871336,1625166627.1860714,10,4,6,4,5,5,respNF:NKX3y,10,7,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AWFHJ#####UMK
50,1625166606.9217575,2021-07-01 19:11:08.399128,1625166615.6612055,1625166615.7894135,1625166644.8228817,50,1,7,4,4,1,respNF:EP5Xn,50,9,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A37XB#####33FE
70,1625166645.9891026,2021-07-01 19:11:18.479604,1625166658.407286,1625166658.5742881,1625166670.7712786,60,4,6,7,5,7,respNF:g4jtk,60,12,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3P57#####KNCE
25,1625166676.1277657,2021-07-01 19:11:45.087890,1625166687.3951008,1625166687.9884915,1625166695.8677104,50,6,6,5,5,5,respNF:taqI3,50,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A24PR#####KGO3
10,1625166683.0748875,2021-07-01 19:11:56.975428,1625166694.8222005,1625166694.9828837,1625166705.462789,5,5,6,5,5,5,respNF:1aIWY,5,12,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1M2O#####DO0U
55,1625166708.4953263,2021-07-01 19:12:48.539370,1625166727.2233768,1625166727.4229717,1625166743.2512238,55,4,3,5,3,4,respNF:TVT7F,55,19,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1XYT#####DKRT
100,1625166748.6245074,2021-07-01 19:12:58.502039,1625166758.5340295,1625166758.6525588,1625166769.886722,95,6,5,5,5,4,respNF:9YW2K,95,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A292N#####O16T
50,1625166696.3517678,2021-07-01 19:13:07.386684,1625166706.5281985,1625166706.8829691,1625166713.196265,50,6,4,5,6,4,respNF:6BjB8,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AK6Y1#####T3A
5,1625166747.6687558,2021-07-01 19:13:15.030074,1625166764.1248934,1625166767.982441,1625166776.8932886,25,4,5,6,5,6,respNF:5Nv2S,25,16,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,A17AW#####59YX
35,1625166856.907853,2021-07-01 19:14:46.905171,1625166862.502215,1625166862.6839666,1625166875.9505444,35,5,5,5,5,5,respNF:pC8De,35,6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A31VL#####Y6OR
0,1625166817.1057546,2021-07-01 19:15:12.650288,1625166827.8055706,1625166828.2827933,1625166875.7587886,5,4,1,1,4,1,respNF:Fkuyn,5,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3O2S#####SLG5
50,1625166784.0112157,2021-07-01 19:16:16.154986,1625166935.0481431,1625166935.2606256,1625166950.0422192,20,5,6,5,5,4,respNF:zGtEo,20,151,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AKFFO#####FJ6
50,1625166954.5415905,2021-07-01 19:17:16.929934,1625166967.440347,1625166967.9354231,1625166989.6209698,60,5,3,2,5,6,respNF:1FBqN,60,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2U45#####P7D8
35,1625166855.8338938,2021-07-01 19:18:28.397860,1625166876.6569295,1625166876.8261364,1625166914.8023689,40,6,4,4,6,2,respNF:xKi0n,40,21,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A92KV#####TU4
40,1625167015.4059658,2021-07-01 19:19:18.273529,1625167032.953075,1625167033.4694452,1625167099.9624007,30,7,2,1,1,5,respNF:B5QeK,30,18,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3TVW#####RCU
50,1625167019.7924008,2021-07-01 19:21:56.974247,1625167295.0433028,1625167295.4925814,1625167300.8168435,45,7,2,1,2,7,respNF:yHM2l,45,275,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AO3IL#####W7Y
5,1625167363.7121477,2021-07-01 19:23:31.268955,1625167380.088151,1625167380.4394236,1625167396.1151106,50,5,6,7,6,7,respNF:8Lexv,50,16,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3BOG#####B3GM
35,1625167467.5163903,2021-07-01 19:24:47.210752,1625167473.6867332,1625167473.8334548,1625167478.5027966,75,4,5,5,4,5,respNF:fzDFF,75,6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2TWI#####CMNM
50,1625167395.8834555,2021-07-01 19:25:23.770986,1625167413.3697183,1625167413.567271,1625167445.910634,65,6,5,4,4,1,respNF:8KH6S,65,17,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3N0J#####S1B6
50,1625167486.165431,2021-07-01 19:25:37.736606,1625167493.3054593,1625167493.4258087,1625167510.4610534,45,2,4,6,3,2,respNF:OIE6d,45,7,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2NA6#####3KFH
50,1625167552.244343,2021-07-01 19:26:28.867148,1625167565.1066272,1625167565.680129,1625167577.1650634,100,6,5,6,7,6,respNF:EgKCJ,100,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AFXF3#####597
25,1625167541.2265446,2021-07-01 19:26:55.590745,1625167562.7252922,1625167562.8718598,1625167599.4286518,25,4,3,1,5,1,respNF:h2kOX,25,21,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AVKRM#####HUM
50,1625167565.9093547,2021-07-01 19:27:50.520850,1625167600.124804,1625167601.25039,1625167638.3464248,100,5,5,5,5,5,respNF:Ro7st,100,34,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A211Z#####DWDQ
20,1625167628.7546978,2021-07-01 19:28:26.732348,1625167659.6093228,1625167659.909319,1625167693.1283984,30,4,4,5,4,5,respNF:09fbd,30,31,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AYS1B#####UHG
25,1625167939.8270504,2021-07-01 19:33:39.378081,1625167961.8695424,1625167962.088656,1625168000.837509,40,5,6,5,5,4,respNF:TBCgi,40,22,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3BO3#####7Q5H
100,1625167996.1304257,2021-07-01 19:33:55.322046,1625168008.7755783,1625168009.3189263,1625168017.7962513,95,7,7,7,1,1,respNF:hrC7S,95,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3BLJ#####25YU
50,1625168000.2245688,2021-07-01 19:34:18.267917,1625168006.9356625,1625168007.1238196,1625168034.5023289,50,1,5,4,4,4,respNF:U35KY,50,7,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2G7D#####PTKA
5,1625168129.894133,2021-07-01 19:36:30.050934,1625168142.131008,1625168142.325435,1625168158.0302303,40,5,5,2,3,6,respNF:BLL3K,40,12,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A13GU#####ZZDL
50,1625168164.3002176,2021-07-01 19:37:14.012161,1625168196.6377625,1625168196.9274728,1625168210.7720428,50,4,2,5,7,1,respNF:cq2k0,50,32,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2MM8#####5ZNJ
35,1625168372.1732674,2021-07-01 19:40:06.339892,1625168382.9389076,1625168383.1067417,1625168394.808683,35,5,6,5,6,5,respNF:6ovjA,35,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3N8N#####UPT3
80,1625168246.5373971,2021-07-01 19:40:31.224243,1625168317.2905946,1625168317.6889486,1625168361.522139,55,6,6,5,4,3,respNF:MLCDf,55,71,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2G32#####VDHH
60,1625168393.4864821,2021-07-01 19:40:51.783200,1625168403.5082018,1625168404.5674708,1625168438.3282347,100,6,5,5,4,6,respNF:jfBvu,100,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3MDV#####Y0D3
10,1625168481.3042605,2021-07-01 19:42:14.583889,1625168494.0672343,1625168494.3684666,1625168517.4952219,50,3,4,5,4,5,respNF:YDs5v,50,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3UYS#####JS1D
25,1625168457.1247504,2021-07-01 19:42:31.759608,1625168484.4812124,1625168485.0064685,1625168510.1380506,50,6,2,4,4,2,respNF:0m20T,50,27,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,ALACB#####07P
40,1625168537.5390735,2021-07-01 19:43:51.829611,1625168578.7941916,1625168579.42326,1625168596.3225148,55,7,4,4,4,4,respNF:YKZI6,55,41,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2NHF#####M8QR
60,1625168603.8431435,2021-07-01 19:44:40.375725,1625168630.862359,1625168631.3529985,1625168640.7291481,60,5,1,4,4,1,respNF:cW23P,60,27,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A39FJ#####T28
15,1625168784.147773,2021-07-01 19:47:12.777495,1625168794.066483,1625168794.2118845,1625168813.119048,30,6,2,2,6,2,respNF:xMEli,30,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2XS4#####8PD4
50,1625168854.0248063,2021-07-01 19:48:31.500225,1625168863.0653934,1625168863.1928153,1625168883.7610207,50,1,2,2,2,2,respNF:Kwfa2,50,9,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1IWR#####AB0Z
30,1625168830.7889152,2021-07-01 19:48:51.478045,1625168852.5441759,1625168854.033709,1625168882.540356,40,5,1,4,3,1,respNF:SgfRh,40,22,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A28U7#####CS1U
100,1625169105.9313607,2021-07-01 19:52:55.131733,1625169148.8572216,1625169149.1563644,1625169162.449644,50,6,6,6,6,5,respNF:7uf8i,50,43,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3VNG#####2XW9
25,1625169214.1162753,2021-07-01 19:55:44.610882,1625169263.278009,1625169263.5839918,1625169301.52184,50,5,6,3,5,7,respNF:0dqEP,50,49,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2DVV#####NCT5
50,1625169300.8241339,2021-07-01 19:55:49.540415,1625169308.8399699,1625169308.9937627,1625169319.7908454,50,1,7,4,4,1,respNF:KdBps,50,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A36UF#####O9GJ
75,1625169370.8753846,2021-07-01 19:57:09.632913,1625169379.3738256,1625169379.5156808,1625169404.4679818,55,6,4,4,5,3,respNF:ISUyK,55,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AW081#####T14
50,1625169481.5442724,2021-07-01 19:58:30.283822,1625169487.4923,1625169487.6391912,1625169494.3581488,50,1,4,4,4,3,respNF:19wRZ,50,6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A110K#####7SUJ
30,1625169569.1878698,2021-07-01 20:00:22.280008,1625169582.8696947,1625169583.022269,1625169594.0514681,30,1,1,4,4,1,respNF:IEz49,30,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3B9M#####CQWX
50,1625169705.7310395,2021-07-01 20:03:01.086921,1625169715.7120142,1625169716.3095245,1625169757.453171,50,2,2,2,2,2,respNF:Gv5Ze,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3R0Y#####KWK3
5,1625169930.4719157,2021-07-01 20:06:31.302968,1625169940.0501268,1625169940.193493,1625169960.8454618,25,7,2,4,5,2,respNF:Hiz59,25,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A30CV#####9OLN
50,1625169986.621784,2021-07-01 20:07:12.205888,1625169996.4576955,1625169996.7860186,1625170006.5798678,50,2,3,3,3,3,respNF:QzHzG,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2P8V#####L5I4
80,1625170115.859916,2021-07-01 20:09:15.207607,1625170133.8844934,1625170134.1504188,1625170142.3428857,40,6,5,6,5,6,respNF:usZVV,40,18,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AJWEF#####GUC
0,1625170135.4424558,2021-07-01 20:10:03.946534,1625170162.0592585,1625170162.455847,1625170178.9003444,5,4,5,5,4,3,respNF:Xnvy7,5,27,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1L9J#####RQMU
100,1625170337.1153944,2021-07-01 20:13:29.379250,1625170365.364991,1625170365.7831976,1625170398.4772613,15,5,3,6,4,4,respNF:qfEx0,15,28,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2YFQ#####AN9I
30,1625170428.5629976,2021-07-01 20:14:38.891183,1625170441.27915,1625170441.7367623,1625170458.872585,10,3,3,3,4,4,respNF:Z6e8x,10,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3PXU#####8WRW
40,1625170481.660216,2021-07-01 20:15:47.723906,1625170505.6215198,1625170506.1000376,1625170534.1706097,50,6,7,6,7,6,respNF:VCLRg,50,24,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1R78#####68GY
100,1625170658.2474353,2021-07-01 20:18:19.170024,1625170671.6035373,1625170671.9745023,1625170687.0488348,100,5,4,4,5,4,respNF:m8oF4,100,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2Y7N#####TCR8
50,1625170801.861575,2021-07-01 20:20:27.206926,1625170810.1356084,1625170810.3496647,1625170820.1974425,50,6,5,4,5,6,respNF:VpXPD,50,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AK77E#####KJG
30,1625170652.4424522,2021-07-01 20:21:16.219343,1625170709.0794075,1625170709.2788668,1625170716.7250042,25,6,5,6,5,6,respNF:yvELr,25,57,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A36DA#####D5FX
50,1625170878.3104093,2021-07-01 20:21:49.778753,1625170882.284174,1625170882.4410956,1625170887.8338947,50,3,2,3,3,2,respNF:S9nWL,50,4,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,A2OS3#####M69E
50,1625171407.4190998,2021-07-01 20:31:01.560814,1625171423.4900618,1625171424.1293914,1625171441.9580946,100,6,5,5,6,6,respNF:whQ59,100,16,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1VBN#####USU7
40,1625171386.9981916,2021-07-01 20:31:06.611527,1625171403.7249532,1625171404.046086,1625171432.1793826,50,4,1,4,4,1,respNF:ceBvL,50,17,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2ML7#####HJO7
50,1625171634.383566,2021-07-01 20:34:39.945050,1625171645.7667818,1625171646.0436614,1625171660.642203,50,3,2,5,4,2,respNF:99UEa,50,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A337Y#####Y4QI
40,1625171854.9010186,2021-07-01 20:38:34.714080,1625171860.9769068,1625171861.1162596,1625171889.1561365,45,6,2,3,6,2,respNF:gHM4a,45,6,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1F9K#####9DTA
45,1625172180.7721982,2021-07-01 20:45:10.699720,1625172196.3736563,1625172196.5504,1625172204.9739625,45,1,1,1,4,1,respNF:uA6Vw,45,16,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1G34#####G1R8
45,1625172347.4071445,2021-07-01 20:47:15.377639,1625172369.9060738,1625172370.2939348,1625172393.0395145,45,2,4,4,4,5,respNF:Kmjel,45,22,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AKNBC#####NDO
50,1625172584.3736064,2021-07-01 20:50:25.093645,1625172604.8257465,1625172605.2028008,1625172615.2112982,50,6,6,5,5,5,respNF:MIawe,50,20,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,ASD8F#####ZBF
5,1625172976.2105646,2021-07-01 20:57:11.321101,1625172990.9740052,1625172991.483797,1625173004.715688,10,6,5,5,5,1,respNF:fMzbL,10,15,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3O9C#####VJLA
50,1625173278.7852244,2021-07-01 21:01:50.710361,1625173289.1665142,1625173289.3368235,1625173301.2870393,50,3,4,5,4,5,respNF:lXNnK,50,10,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2RWL#####FZA7
50,1625173343.7073014,2021-07-01 21:03:27.467935,1625173351.2445915,1625173351.410858,1625173382.587583,50,1,1,3,5,1,respNF:8lBWq,50,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1TPG#####D68E
40,1625173531.2123132,2021-07-01 21:07:07.518072,1625173544.4541016,1625173545.3444777,1625173584.3067484,40,2,4,3,4,2,respNF:z2w71,40,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1IJ5#####TT46
50,1625174155.530204,2021-07-01 21:16:52.383256,1625174178.7429554,1625174178.9066224,1625174188.7886543,40,3,1,4,5,1,respNF:XuVcQ,40,23,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3F8K#####X8UR
50,1625174207.8946757,2021-07-01 21:18:08.363693,1625174258.2223527,1625174258.605178,1625174269.803151,50,4,4,4,5,4,respNF:mF0dS,50,50,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2MS1#####X9FZ
80,1625174235.8030813,2021-07-01 21:18:22.757715,1625174255.708386,1625174255.9453204,1625174273.2253575,60,6,5,5,4,5,respNF:VRaaw,60,20,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2Q8H#####1MKN
35,1625174941.4057405,2021-07-01 21:30:07.339765,1625174955.1764786,1625174955.3635314,1625174985.7978914,50,4,5,3,3,5,respNF:ZZCuu,50,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AZ2P6#####6SH
50,1625175140.7571175,2021-07-01 21:34:06.361687,1625175153.6964073,1625175153.8220084,1625175205.1284156,60,5,6,2,2,2,respNF:NE4zK,60,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A5A14#####J23
20,1625175399.7738347,2021-07-01 21:38:18.269862,1625175413.197089,1625175413.3878787,1625175439.1863828,20,2,5,4,4,3,respNF:HPlt3,20,13,38F60IALBJNPAQJAR8J7V8Y5H2OT0C,A2GSJ#####TMDH
45,1625176071.1690958,2021-07-01 21:49:41.282699,1625176086.4205432,1625176086.7212954,1625176123.0698113,40,5,3,3,5,3,respNF:XB2oR,40,15,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1DWS#####8X0K
25,1625179013.7293804,2021-07-01 22:39:02.630097,1625179024.7169325,1625179024.9104724,1625179091.8267474,0,5,1,2,4,1,respNF:cvzdO,0,11,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2VN5#####7P0R
50,1625181184.3895564,2021-07-01 23:16:07.599945,1625181213.4760673,1625181213.6612656,1625181277.5749915,40,7,3,5,3,4,respNF:6xMDQ,40,29,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1P3H#####LJMP
50,1625182839.4649687,2021-07-01 23:41:17.884775,1625182852.1414983,1625182852.2511306,1625182865.5023582,50,6,5,6,5,7,respNF:aicjn,50,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2T8B#####QFI
65,1625238300.2765706,2021-07-02 15:05:24.150136,1625238308.1965556,1625238308.3301818,1625238314.6599357,65,7,7,7,7,7,respNF:8Sl3O,65,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1SPD#####Y9YX
30,1625238763.086119,2021-07-02 15:13:39.917264,1625238770.739031,1625238770.8805323,1625238792.885872,30,1,5,4,3,5,respNF:0Imod,30,8,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A2LF8#####1GR2
40,1625240979.3532999,2021-07-02 15:51:25.005462,1625240996.3313289,1625240996.7401297,1625241071.3528602,40,6,5,4,6,5,respNF:c8cP3,40,17,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AE2T3#####R51
100,1625241289.6679916,2021-07-02 15:55:37.063490,1625241302.578245,1625241302.753218,1625241314.4300318,100,6,5,5,4,4,respNF:PIAyU,100,13,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A51J9#####CO0
40,1625242205.9788797,2021-07-02 16:11:02.245093,1625242219.8839667,1625242220.0445893,1625242237.9818568,40,1,1,5,5,1,respNF:04ZMG,40,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A193D#####FSVT
5,1625243349.0453587,2021-07-02 16:30:14.286878,1625243362.9976015,1625243363.4146767,1625243404.9613793,0,5,6,5,4,5,respNF:1M7k8,0,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A3FZG#####HBRW
40,1625243799.5986385,2021-07-02 16:37:46.598906,1625243830.0486479,1625243830.227606,1625243845.5955517,10,4,5,5,4,3,respNF:RPxjp,10,30,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,AQDW1#####HTY
0,1625256442.2183287,2021-07-02 20:08:46.635380,1625256456.232821,1625256456.367443,1625256481.917948,0,1,5,5,3,5,respNF:pwHdR,0,14,31MCUE39CNSHMDW1QV2JYNHNUK4G3P,A1GZ4#####TCES
