,assignment_id,code_resp_prop,completion_code,feedback,job_id,money_division,proposer,proposer_responder,responder,test,timestamp,worker_id
18,33LK57MYLXBNJVAEW4WBGM0S2CBZSS,prop:tu1kQ,t10_feedback:LxJ85,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 08:16:54.759346,A49MD#####ABO
19,3180JW2OT8IWDE7Z2MGHZH2A5WZ5JO, prop:uBlH1 ,t10_feedback:J2m1q,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 12:00:30.219807,A150M#####92OT
20,3VZLGYJEYPGVFCWDQE2YFUHKHTPZXG, prop:KIRS8 ,t10_feedback:nSvX4,thanks,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 12:11:25.860915,AL2JY#####Z2H
21,3EKVH9QME2ARBVOKA7S8YC4LG2K2DF,prop:3VKVN,t10_feedback:OHK24,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 12:24:33.820648,AURYD#####UOQ
22,3LPW2N6LKX85RUITELKV6JBLMCBU5N,prop:X8tjU,t10_feedback:n1VeH,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 12:40:27.628878,A8289#####KV4
23,38YMOXR4MY5E227CE491GDAI3O96WS,prop:cda3n,t10_feedback:tr5J6,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 13:18:31.089079,A3CWE#####V7TL
24,3R6P78PK7OHO7ESOVCDC5KG8T8XGTH,prop:5MxLJ,t10_feedback:jGT8Z,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 13:46:16.926081,A28MD#####QHMS
25,32Q90QCQ1WRRKH6AV89W4Q80XFRKEY,prop:v9wVF,t10_feedback:IJ97Y,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 13:53:23.292507,A2QCQ#####1QNL
26,3VHHR074H7NHV89IT07RDGTY0STL7H,prop:z079v,t10_feedback:cRFVx,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 14:20:12.242063,A2SB9#####9QCP
27,3WMINLGALF96B6DANQQCKO517RPACL,prop:6jo89,t10_feedback:U25I3,"The phrasing of the last question seemed a bit odd and I didn't quite understand what was being asked. I thought the AI adjusted its responses based on proposer inputs and thus there wasn't a clear ""average"" amount.",335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 15:09:04.498620,A2G7N#####X0EE
28,3A7Y0R2P2SU5FXR98SZCR0TUYW8XJR,prop:R98px,t10_feedback:jLK8i,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 15:16:07.244830,A2NML#####WFN2
29,3YZ8UPK3VXSQQFR8TV73KPHVEUJCU1,prop:MiLst,t10_feedback:6vQLC,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 15:20:25.980096,A2D5R#####4AWR
30,3U84XHCDIGJ4HA83630TIJKMOZJ4Z7,prop:sMVpL,t10_feedback:0UzVY,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 15:33:18.186053,AA6RY#####BKM
31,3Q8GYXHFET89501TSUZVCDPFFDSC5L,prop:oSFuL,t10_feedback:juabx,NONE,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 15:39:11.650783,A3NM3#####EI3J
32,3HFNH7HEMLKBFY0WE8JH0F5L918GQD,prop:ZC7Oy,t10_feedback:wbKNx,cool,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 15:39:39.934744,A2AGD#####L1QP
33,3WETL7AQWXELS05AZ1OUJALL90G53H,prop:aC9sq,t10_feedback:9IgWa,no comments,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 15:39:57.050996,A1TSV#####NTR4
34,3LWJHTCVCGS51Y413ODZIU598MGFQL,prop:jYFy8,t10_feedback:q6rVv,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 16:36:34.668515,A1IXV#####DXTG
35,3U5JL4WY5OFFCF8O5LC8LY4BGZX4XM,prop:8qoT2,t10_feedback:y4345,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 16:52:02.936911,AK1Y0#####IQ6
36,3Z7VU45IP2NNPBBKJLHRKLDJCFU1ZC,prop:T3BhC,t10_feedback:ooXWY,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 17:14:08.264594,A219Y#####4TM2
37,3JPSL1DZ5W5P2AA1CGZQ0ZZD6VSANS,prop:3nhNz,t10_feedback:wOirN,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 17:15:58.606940,A3OPX#####37M8
38,3N8OEVH1FVWWMZ4ENE4LGJJNLNBOOW,prop:Rf99R,t10_feedback:lw9j2,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 18:11:56.430907,A1Y9V#####LS5K
39,3AUQQEL7U9Z692LSM5OOLAHDJD4V0R,prop:ebbVl,t10_feedback:6iycB,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 19:11:38.680642,A28U0#####J99R
40,3ZR9AIQJUFF7FP2D29N1CKH06TJ400,prop:Rhabb,t10_feedback:TBmUG,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 20:34:09.756736,A1KHR#####TDF6
41,33JKGHPFYG0Q4BJQ9JPV9QUD0EWNM8,prop:89uQQ,t10_feedback:FfDBH,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-02 21:55:18.605116,A200R#####4AJ8
42,33FBRBDW6S5SSIKVQS6YOXZ6H6SC8S,prop:pmJVx,t10_feedback:rvdQB,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-03 00:59:50.058197,AV8T3#####PPS
43,3COPXFW7XFIVH8V04MP7Y274BRTPKY,prop:O2rtn,t10_feedback:BjXJT,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-03 04:38:26.273324,A2WVC#####YGML
44,33JKGHPFYG0Q4BJQ9JPV9QUD1Q0NM1,prop:oqgqd,t10_feedback:5eLnU,"I really couldn't say why the AI made the decisions it did. It would seem like, if the responder was getting the better deal, they would accept more of the time, but I guess the AI didn't think so.",335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-04 04:03:42.746249,A28LJ#####SBSQ
45,3RYC5T2D77ZH4C8VU6Y4ZETI7JMPRR,prop:SYWqP,t10_feedback:4zdsg,"Great instructions, very well laid out and well put together",335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-05 18:32:25.797139,A3KQT#####8T1Z
46,3HHRAGRYXCBTFC08LPL3JTOYSIPO98,prop:9AZPr,t10_feedback:YrQm7,,335HHSX8DGBT41T93QQDWWFZ17LDHH,correct,correct,correct,correct,ball,2019-12-07 19:45:25.966203,A1AN6#####U3AT
