,completion_code,job_id,min_offer,resp_time_spent,time_start,time_stop,timestamp,worker_id
24,resp:idKbG,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,5,1573249935.1179647,1573249939.707592,2019-11-08 22:52:19.820279,A3JLE#####17E2
25,resp:6mrcy,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,9,1573250840.1652315,1573250849.170114,2019-11-08 23:07:29.372856,A2F2D#####U4AK
26,resp:bwgIB,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,9,1573250897.308943,1573250906.5604637,2019-11-08 23:08:26.721989,A2SO6#####GBB7
27,resp:VcPVn,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,6,1573250932.3908472,1573250938.3776274,2019-11-08 23:08:58.554495,AEF74#####EIA
28,resp:TNZBs,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,10,1573250991.875655,1573251001.6041582,2019-11-08 23:10:01.807344,AWH9P#####UCX
29,resp:vZeEH,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,21,1573251225.0961099,1573251245.7751477,2019-11-08 23:14:05.928575,A28AX#####PH1F
30,resp:eCzTG,3NBFJK3IPKO682PN9TMBMQFXPULGO5,10,279,1573250985.7505853,1573251264.862696,2019-11-08 23:14:25.373447,A2Y2A#####U47Q
31,resp:6fK4X,3NBFJK3IPKO682PN9TMBMQFXPULGO5,10,18,1573251361.694516,1573251379.814713,2019-11-08 23:16:19.988220,A3SXE#####XBMM
32,resp:rPMlQ,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,6,1573251467.805987,1573251474.1310718,2019-11-08 23:17:54.295712,A16SA#####96G4
33,resp:rMpLI,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,14,1573251534.089626,1573251547.9470758,2019-11-08 23:19:08.204611,A2INX#####M92F
34,resp:1byVB,3NBFJK3IPKO682PN9TMBMQFXPULGO5,95,18,1573252836.6000896,1573252854.8457992,2019-11-08 23:40:55.035177,A2V7R#####Y1CC
35,resp:VLIqi,3NBFJK3IPKO682PN9TMBMQFXPULGO5,45,10,1573252869.9969342,1573252880.183716,2019-11-08 23:41:20.375344,ATP43#####P0C
36,resp:r7Ncl,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,23,1573252951.4104557,1573252974.7804441,2019-11-08 23:42:55.128963,A3D8W#####SOH
37,resp:UzGeV,3NBFJK3IPKO682PN9TMBMQFXPULGO5,45,15,1573253165.0586424,1573253179.9328535,2019-11-08 23:46:20.136089,A3NMQ#####6YE0
38,resp:Q74eo,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,8,1573253941.3728359,1573253949.0241513,2019-11-08 23:59:09.232410,AAAHL#####A2U
39,resp:J3AbQ,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,11,1573254060.125075,1573254070.7041748,2019-11-09 00:01:10.888727,A34KB#####H924
40,resp:OQgxI,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,28,1573254073.4533567,1573254101.240375,2019-11-09 00:01:41.359404,A28VE#####E3B8
41,resp:y0C9Z,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,13,1573254504.9743419,1573254518.3642282,2019-11-09 00:08:38.569375,A37XJ#####ZYC
42,resp:YZJEK,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,19,1573254564.75078,1573254584.1537952,2019-11-09 00:09:44.355607,A36FB#####N139
43,resp:qLV8Q,3NBFJK3IPKO682PN9TMBMQFXPULGO5,70,45,1573254881.3271317,1573254926.1972895,2019-11-09 00:15:29.660718,A2J6Q#####TRVM
44,resp:LMASF,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,15,1573255180.1511507,1573255194.996763,2019-11-09 00:19:55.135963,A2RLY#####6ETD
45,resp:rz2ju,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,10,1573255199.0117486,1573255209.2181022,2019-11-09 00:20:09.421318,A34V3#####3BMF
46,resp:YMdMi,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,8,1573255210.7020016,1573255218.4149554,2019-11-09 00:20:18.590908,AXTFS#####LO5
47,resp:urA3t,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,9,1573255246.0895548,1573255254.7568033,2019-11-09 00:20:54.910050,AGY4F#####H9G
48,resp:Mx1d6,3NBFJK3IPKO682PN9TMBMQFXPULGO5,30,11,1573255244.2020938,1573255255.4948072,2019-11-09 00:20:55.646090,A3T1A#####ZZXY
49,resp:uyXE0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,45,17,1573255250.611115,1573255267.2791061,2019-11-09 00:21:07.442600,A1U3O#####I8JD
50,resp:jnJY4,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,10,1573255279.962585,1573255289.7573125,2019-11-09 00:21:30.139064,A23K7#####PV0D
51,resp:7wvad,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,15,1573255279.9855807,1573255294.6361926,2019-11-09 00:21:34.794921,A3CPQ#####J09F
52,resp:ykAom,3NBFJK3IPKO682PN9TMBMQFXPULGO5,100,35,1573255329.1719728,1573255363.8381586,2019-11-09 00:22:44.042691,A13Y9#####5X5P
53,resp:JyM6Q,3NBFJK3IPKO682PN9TMBMQFXPULGO5,30,16,1573255410.550861,1573255426.3209805,2019-11-09 00:23:46.480076,A1X44#####IQ78
54,resp:by9N1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,11,1573255460.835183,1573255471.730666,2019-11-09 00:24:32.064383,A2FGK#####DFWS
55,resp:JmlM1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,20,18,1573257052.7580836,1573257070.4898922,2019-11-09 00:51:10.710714,A8KX1#####E2Q
56,resp:ftElo,3NBFJK3IPKO682PN9TMBMQFXPULGO5,60,6,1573257142.6245403,1573257148.325594,2019-11-09 00:52:28.519400,A3DQL#####PEL8
57,resp:Sm1yU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,22,1573257260.2096362,1573257281.8175545,2019-11-09 00:54:42.070072,A1LE6#####JNIT
58,resp:hhHkk,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,6,1573257571.995684,1573257577.7878304,2019-11-09 00:59:38.112825,A2FCQ#####PYHS
59,resp:S9HFr,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,15,1573257663.7176304,1573257679.2091343,2019-11-09 01:01:19.401391,A2XC9#####6PLH
60,resp:CkZa0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,100,16,1573257727.1498334,1573257743.4020147,2019-11-09 01:02:23.584031,A2L5X#####90GP
61,resp:4awgp,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,18,1573258115.556784,1573258133.1855857,2019-11-09 01:08:53.378123,A1ZK0#####6UPY
62,resp:rBMOU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,8,1573258345.3142176,1573258353.0829575,2019-11-09 01:12:33.274314,A3VTO#####TBRR
63,resp:AdSKe,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,9,1573262707.989584,1573262716.5615616,2019-11-09 02:25:16.756778,A1YNB#####FUVW
64,resp:rJWlL,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,15,1573263051.6760404,1573263066.788999,2019-11-09 02:31:06.959918,A1842#####Z590
65,resp:f1g5x,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,4,1573263448.3630948,1573263452.7954311,2019-11-09 02:37:32.975104,A23QI#####SA0I
66,resp:IAY9G,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,7,1573264179.6899478,1573264186.6549213,2019-11-09 02:49:46.830323,A3SSE#####7NI7
67,resp:9IuJl,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,7,1573264388.102265,1573264395.335087,2019-11-09 02:53:15.574971,A1JDE#####1E33
68,resp:Hp0NF,3NBFJK3IPKO682PN9TMBMQFXPULGO5,45,6,1573396901.7028477,1573396907.346009,2019-11-10 15:41:47.484938,A3QSJ#####0N6V
69,resp:P1p91,3NBFJK3IPKO682PN9TMBMQFXPULGO5,100,7,1573397868.0297692,1573397875.4238036,2019-11-10 15:57:55.571158,A2Z7S#####5OOI
70,resp:2sZuZ,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,9,1573397999.6971092,1573398008.8413768,2019-11-10 16:00:08.981537,AJ7MW#####3E4
71,resp:ZSZac,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,26,1573398810.1160276,1573398835.7429338,2019-11-10 16:13:56.101165,A5X1K#####REK
72,resp:7MZ2B,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,11,1573400514.873069,1573400526.0494657,2019-11-10 16:42:06.244631,A2ZT5#####K8X9
73,resp:hiqc9,3NBFJK3IPKO682PN9TMBMQFXPULGO5,35,10,1573400568.3536835,1573400578.3913844,2019-11-10 16:42:58.581487,A2SYT#####WJO5
74,resp:77LWZ,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,8,1573400755.160801,1573400763.0846584,2019-11-10 16:46:03.346926,AMX5R#####A2K
75,resp:DR73b,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,14,1573407644.5997894,1573407658.294631,2019-11-10 18:40:58.496303,ATBIP#####KS6
76,resp:Sbh9W,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,18,1573409512.8653502,1573409531.3597865,2019-11-10 19:12:11.581709,A1PHD#####IK4Q
77,resp:4IPTw,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,38,1573410114.0065486,1573410151.9889007,2019-11-10 19:22:32.201553,A33UW#####M27W
78,resp:sQJw0,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,50,23,1573420531.5839942,1573420554.703189,2019-11-10 22:15:54.909859,A2LU2#####1I4V
79,resp:JrC57,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,50,30,1573425175.8549662,1573425206.265998,2019-11-10 23:33:26.389925,A1SIS#####2PWH
80,resp:iq1qQ,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,40,10,1573426352.7206109,1573426362.2526898,2019-11-10 23:52:42.639654,A3AOV#####XQ51
81,resp:mGDlo,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,40,8,1573430099.2011552,1573430106.9462566,2019-11-11 00:55:07.088918,A24LB#####PKKF
82,resp:NinOt,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,30,12,1573433619.8196392,1573433632.3100438,2019-11-11 01:53:52.461444,A17TK#####VH0R
83,resp:3w8zG,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,5,10,1573433688.7296782,1573433698.8971875,2019-11-11 01:54:59.081407,A1YBG#####80DZ
84,resp:j8wqr,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,50,8,1573434043.7564492,1573434051.4672363,2019-11-11 02:00:51.625194,A1WBG#####NJ9
85,resp:aPrIN,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,50,8,1573435421.335035,1573435429.043535,2019-11-11 02:23:49.207614,A314X#####YL12
86,resp:iAUfv,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,40,15,1573435844.1990902,1573435858.7742283,2019-11-11 02:30:58.903231,A2EEL#####L5SK
87,resp:jC1pd,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,20,21,1573435857.9078913,1573435878.6070151,2019-11-11 02:31:19.014623,A3PDH#####CTT5
88,resp:XgFTN,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,45,7,1573436083.3509755,1573436090.2643714,2019-11-11 02:34:50.455025,A3168#####DIH3
89,resp:3wAOL,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,0,7,1573436443.0074165,1573436450.236136,2019-11-11 02:40:50.430350,A15XI#####7SLK
90,resp:0Gwqb,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,25,9,1573436531.553894,1573436540.2835045,2019-11-11 02:42:20.820530,ANZUE#####MDO
91,resp:ZOJyo,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,40,15,1573436776.3373008,1573436791.0647388,2019-11-11 02:46:31.308539,A136K#####C3G
92,resp:XzB5j,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,30,14,1573436802.733482,1573436816.3203423,2019-11-11 02:46:56.478112,A1PIG#####MGNW
93,resp:eLiOb,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,35,9,1573436879.2836587,1573436888.1619446,2019-11-11 02:48:08.288003,A1F3P#####9HBN
94,resp:ODANB,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,45,9,1573436907.5247033,1573436916.8203921,2019-11-11 02:48:36.966991,A21Y7#####M1PR
95,resp:u7bCi,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,25,10,1573437754.4140892,1573437764.109789,2019-11-11 03:02:44.415722,A17NL#####Y599
96,resp:aLNWr,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,50,17,1573437872.4965293,1573437889.5001497,2019-11-11 03:04:49.758026,A3NXI#####5TXU
97,resp:2VoWq,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,30,10,1573438089.1442077,1573438099.092306,2019-11-11 03:08:19.231083,AVAJT#####XOO
98,resp:RYxEV,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,40,11,1573438093.6580167,1573438104.4977293,2019-11-11 03:08:24.716313,A3HL2#####PZT8
99,resp:Gevdy,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,50,21,1573438095.1859396,1573438116.5288427,2019-11-11 03:08:36.663941,A1N9Z#####R7OU
100,resp:A11O8,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,40,12,1573438107.0456843,1573438119.0649312,2019-11-11 03:08:39.321616,A1WWE#####SVZ0
101,resp:a8mVk,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,95,6,1573438116.7985413,1573438122.6351595,2019-11-11 03:08:43.065390,A1BPQ#####7RWS
102,resp:UCvUK,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,50,8,1573438146.0108726,1573438153.7975657,2019-11-11 03:09:14.072292,A3TDA#####QFE3
103,resp:Yn8BO,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,35,19,1573438147.2665284,1573438166.0739217,2019-11-11 03:09:26.288000,A2VTY#####N75V
104,resp:cVFmt,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,25,8,1573438181.2358813,1573438189.7227638,2019-11-11 03:09:50.002624,A3HSO#####NZR4
105,resp:elo5W,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,50,12,1573438179.884077,1573438191.4131403,2019-11-11 03:09:51.570990,A1WEN#####ZZ1U
106,resp:dynRK,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,40,40,1573438206.9034812,1573438247.3207371,2019-11-11 03:10:47.504894,A4JP9#####ZPS
107,resp:4cWKm,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,40,12,1573438264.2311134,1573438276.7134404,2019-11-11 03:11:16.905791,APJ3Z#####UWX
108,resp:dRx8e,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,30,10,1573438301.954409,1573438312.110518,2019-11-11 03:11:52.650826,AG491#####Q8X
109,resp:jBthR,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,50,9,1573439544.7565818,1573439554.1263375,2019-11-11 03:32:34.279237,A2FBJ#####9SQ6
110,resp:Ht5s0,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,50,14,1573439721.7349327,1573439735.4252164,2019-11-11 03:35:35.595566,A3L66#####E837
111,resp:bIDG2,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,25,13,1573440597.9221427,1573440610.9478974,2019-11-11 03:50:11.083356,A354D#####ODP1
112,resp:xI9Ue,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,10,9,1573441985.2440696,1573441993.8135896,2019-11-11 04:13:14.048515,AVD6H#####LFI
113,resp:4Nbjv,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,40,8,1573443697.0684135,1573443704.7360256,2019-11-11 04:41:45.152987,A33EN#####B4BA
114,resp:Y2tAi,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,40,31,1573443971.5743406,1573444002.9728167,2019-11-11 04:46:43.306848,A1FHK#####9RU
115,resp:GQPIE,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,50,7,1573471924.7601852,1573471932.0963488,2019-11-11 12:32:12.254110,A1PLZ#####W43J
