,completion_code,job_id,q1,q2,q3,q4,risk_expected_value,risk_q1,risk_q2,risk_q3,risk_q4,risk_time_spent,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
13,risk:la3rc,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,5,5,5,5,3.0125,1.05,1.5,3.5,6.0,45,45,1573211212.7047265,1573211257.9207332,2019-11-08 12:07:38.528683,0,AUZPU#####TX5
14,risk:xjhTW,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,9,9,9,9,4.645,1.09,1.99,5.5,10.0,41,41,1573227194.1518946,1573227234.8237996,2019-11-08 16:33:54.969608,0,A2KBT#####J7X4
15,risk:FDwoY,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,9,9,9,9,4.645,1.09,1.99,5.5,10.0,23,23,1573229721.099362,1573229744.5718644,2019-11-08 17:15:45.170011,0,A3C2X#####NNLV
16,risk:qVGyS,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,1,1,1,1,1.395,0.9900000000000001,1.08,1.53,1.9800000000000002,20,20,1573232348.2667022,1573232367.8806996,2019-11-08 17:59:28.096563,2,A39XI#####NHFU
17,risk:LZFXY,3NBFJK3IPKO682PN9TMBMQFXPULGO5,4,4,4,4,2.595,1.02,1.38,3.0,4.98,42,42,1573248419.29392,1573248461.3088481,2019-11-08 22:27:41.562112,4,A2GG7#####IXUR
18,risk:eZgD6,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,0,0,0,1.0,1.0,1.0,1.0,1.0,30,30,1573248559.24575,1573248589.6058838,2019-11-08 22:29:49.789276,1,A26NG#####ATVN
19,risk:2QZJA,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,35,35,1573248634.050161,1573248669.3175294,2019-11-08 22:31:09.587541,0,A270H#####LJ8W
20,risk:yOrZb,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,23,23,1573249742.416663,1573249765.2922297,2019-11-08 22:49:25.414350,5,AOWW3#####J6U
21,risk:BWftl,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,2,5,9,3.925,1.0,1.2000000000000002,3.5,10.0,102,102,1573249842.480718,1573249944.1555924,2019-11-08 22:52:24.419632,26,AMARS#####3TG
22,risk:Oj1Bp,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,31,31,1573249921.438304,1573249952.2258723,2019-11-08 22:52:32.411537,0,A3I0I#####KFFZ
23,risk:C1jzg,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,4,7,1,2.2275,1.05,1.38,4.5,1.9800000000000002,4,4,1573249950.2093263,1573249954.5623012,2019-11-08 22:52:34.688312,1,A3JLE#####17E2
24,risk:FqcPI,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,3,3,3,2.2225,1.0499999999999998,1.3299999999999998,2.52,3.9899999999999998,37,37,1573250895.3319974,1573250932.1648242,2019-11-08 23:08:52.378515,2,A2F2D#####U4AK
25,risk:Kp8Qm,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,8,8,4.27,1.09,1.99,5.0,9.0,27,27,1573250922.513522,1573250949.286567,2019-11-08 23:09:09.439283,18,A2SO6#####GBB7
26,risk:hhebS,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,12,12,1573250960.4910572,1573250972.7380998,2019-11-08 23:09:32.962861,14,AEF74#####EIA
27,risk:p1T1u,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,1,1,1,1.395,0.9900000000000001,1.08,1.53,1.9800000000000002,23,23,1573251029.4993305,1573251052.9982722,2019-11-08 23:10:53.205483,2,AWH9P#####UCX
28,risk:8jt1E,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,3,1,6,2.7275,1.05,1.3299999999999998,1.53,7.0,36,36,1573251269.0754466,1573251304.5867975,2019-11-08 23:15:04.776810,1,A28AX#####PH1F
29,risk:bkgiO,3NBFJK3IPKO682PN9TMBMQFXPULGO5,6,8,8,7,3.9725,1.08,1.8,5.0,8.01,7,7,1573251302.0578775,1573251309.0826752,2019-11-08 23:15:09.571332,1,A2Y2A#####U47Q
30,risk:u1161,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,2,2,6,2.8125,1.0499999999999998,1.2000000000000002,2.0,7.0,38,38,1573251457.8870497,1573251495.5423667,2019-11-08 23:18:15.708019,5,A3SXE#####XBMM
31,risk:Hft0s,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,0,0,0,1.0,1.0,1.0,1.0,1.0,16,16,1573251488.3139057,1573251504.614561,2019-11-08 23:18:24.780251,1,A16SA#####96G4
32,risk:bEobc,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,5,5,5,3.0125,1.0499999999999998,1.5,3.5,6.0,23,23,1573251566.1143773,1573251589.4933393,2019-11-08 23:19:49.771033,6,A2INX#####M92F
33,risk:yeLJn,3NBFJK3IPKO682PN9TMBMQFXPULGO5,4,4,4,4,2.595,1.02,1.38,3.0,4.98,68,68,1573252923.6119025,1573252991.3834765,2019-11-08 23:43:11.561317,1,ATP43#####P0C
34,risk:TYvC0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,6,7,4,4,2.6925,1.08,1.71,3.0,4.98,14,14,1573253012.2233367,1573253025.7721212,2019-11-08 23:43:46.117245,5,A3D8W#####SOH
35,risk:MuBmM,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,3,2,1,1.59,1.0499999999999998,1.3299999999999998,2.0,1.9800000000000002,39,39,1573253219.0207272,1573253258.0902202,2019-11-08 23:47:38.308065,1,A3NMQ#####6YE0
36,risk:5NB1H,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,1,2,3,2.0175,1.0,1.08,2.0,3.9899999999999998,32,32,1573253966.7865474,1573253998.4576526,2019-11-08 23:59:58.646778,1,AAAHL#####A2U
37,risk:tUxDA,3NBFJK3IPKO682PN9TMBMQFXPULGO5,6,3,6,7,3.605,1.08,1.3299999999999998,4.0,8.01,97,97,1573254134.8445117,1573254231.7593806,2019-11-09 00:03:51.885860,7,A28VE#####E3B8
38,risk:0Eqgo,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,58,58,1573254545.7895415,1573254604.1619864,2019-11-09 00:10:04.331131,0,A37XJ#####ZYC
39,risk:Z8RKm,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,122,122,1573254817.3026261,1573254939.076494,2019-11-09 00:15:39.291228,25,A36FB#####N139
40,risk:XUu3r,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,3,4,3,2.3425,1.0499999999999998,1.3299999999999998,3.0,3.9899999999999998,29,29,1573255011.0320559,1573255039.8049989,2019-11-09 00:17:20.296065,1,A2J6Q#####TRVM
41,risk:kWQm2,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,0,0,3,1.7475,1.0,1.0,1.0,3.9899999999999998,42,42,1573255224.6161177,1573255266.740465,2019-11-09 00:21:06.947352,2,A34V3#####3BMF
42,risk:5N0JZ,3NBFJK3IPKO682PN9TMBMQFXPULGO5,4,4,4,4,2.595,1.02,1.38,3.0,4.98,35,35,1573255235.0741496,1573255270.5489407,2019-11-09 00:21:10.679792,1,A2RLY#####6ETD
43,risk:n0KrU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,0,0,0,1.0,1.0,1.0,1.0,1.0,25,25,1573255285.9740617,1573255310.8126137,2019-11-09 00:21:51.044530,1,AXTFS#####LO5
44,risk:6ESeC,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,6,7,9,4.2875,1.0499999999999998,1.6,4.5,10.0,59,59,1573255285.9823992,1573255345.3012984,2019-11-09 00:22:25.459491,0,AGY4F#####H9G
45,risk:WPUY3,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,75,75,1573255288.5206697,1573255363.7376351,2019-11-09 00:22:43.879326,39,A3T1A#####ZZXY
46,risk:9YkD5,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,6,8,7,3.915,1.05,1.6,5.0,8.01,52,52,1573255321.7285392,1573255373.5800357,2019-11-09 00:22:53.913443,2,A3CPQ#####J09F
47,risk:KkqMP,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,4,5,7,3.485,1.0499999999999998,1.38,3.5,8.01,89,89,1573255288.4232717,1573255377.0406332,2019-11-09 00:22:57.188417,9,A1U3O#####I8JD
48,risk:DQTlo,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,4,4,6,3.1075,1.0499999999999998,1.38,3.0,7.0,175,175,1573255311.9018617,1573255486.5338871,2019-11-09 00:24:46.768716,2,A23K7#####PV0D
49,risk:p81fq,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,6,6,7,3.665,1.05,1.6,4.0,8.01,40,40,1573255467.0894394,1573255506.685022,2019-11-09 00:25:06.845375,3,A1X44#####IQ78
50,risk:OB6N4,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,2,6,4,2.8075,1.0499999999999998,1.2000000000000002,4.0,4.98,90,90,1573255418.5128229,1573255508.8248131,2019-11-09 00:25:09.389210,2,A13Y9#####5X5P
51,risk:F3Cwp,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,6,6,7,3.665,1.05,1.6,4.0,8.01,58,58,1573255552.0586326,1573255610.2930725,2019-11-09 00:26:50.447102,8,A2FGK#####DFWS
52,risk:c1jO0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,4,6,5,6,3.28,1.02,1.6,3.5,7.0,28,28,1573257161.9979768,1573257190.387812,2019-11-09 00:53:10.567605,2,A3DQL#####PEL8
53,risk:j1Mwx,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,203,203,1573257121.8869514,1573257325.0278482,2019-11-09 00:55:25.369088,0,A8KX1#####E2Q
54,risk:omCjU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,0,0,9,3.25,1.0,1.0,1.0,10.0,105,105,1573257337.8986425,1573257443.2900503,2019-11-09 00:57:23.527760,1,A1LE6#####JNIT
55,risk:0Oy1f,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,0,9,9,4.375,1.0,1.0,5.5,10.0,20,20,1573257599.1071842,1573257618.8702426,2019-11-09 01:00:19.059241,0,A2FCQ#####PYHS
56,risk:GdkDF,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,3,3,3,2.2225,1.0499999999999998,1.3299999999999998,2.52,3.9899999999999998,120,120,1573257707.408329,1573257827.6814148,2019-11-09 01:03:47.830020,1,A2XC9#####6PLH
57,risk:2Taxk,3NBFJK3IPKO682PN9TMBMQFXPULGO5,6,7,5,8,3.8225,1.08,1.71,3.5,9.0,138,138,1573258169.0762496,1573258307.1325936,2019-11-09 01:11:47.343822,1,A1ZK0#####6UPY
58,risk:gZtj9,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,6,6,6,3.4125,1.05,1.6,4.0,7.0,36,36,1573258379.08034,1573258415.1990757,2019-11-09 01:13:35.457449,4,A3VTO#####TBRR
59,risk:tjQmY,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,2,0,0,1.0625,1.05,1.2000000000000002,1.0,1.0,110,110,1573262784.933204,1573262895.402136,2019-11-09 02:28:15.591353,0,A1YNB#####FUVW
60,risk:CnIj0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,3,3,3,2.2225,1.0499999999999998,1.3299999999999998,2.52,3.9899999999999998,38,38,1573263466.4606636,1573263503.9919932,2019-11-09 02:38:24.175715,3,A23QI#####SA0I
61,risk:mMLQl,3NBFJK3IPKO682PN9TMBMQFXPULGO5,4,2,5,3,2.4275,1.02,1.2000000000000002,3.5,3.9899999999999998,8,8,1573263525.6521995,1573263533.7577767,2019-11-09 02:38:53.912499,1,A1842#####Z590
62,risk:cTLaU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,2,2,4,2.3075,1.0499999999999998,1.2000000000000002,2.0,4.98,66,66,1573264207.5820804,1573264273.8914912,2019-11-09 02:51:14.055255,2,A3SSE#####7NI7
63,risk:ywsyr,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,5,5,4,2.7575,1.05,1.5,3.5,4.98,38,38,1573264445.8418677,1573264483.620664,2019-11-09 02:54:43.862010,3,A1JDE#####1E33
64,risk:eVivQ,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,2,3,3,2.1875,1.04,1.2000000000000002,2.52,3.9899999999999998,22,22,1573396953.771289,1573396976.1752903,2019-11-10 15:42:56.306992,2,A3QSJ#####0N6V
65,risk:F9crg,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,14,14,1573397896.0255938,1573397910.2103956,2019-11-10 15:58:30.346974,0,A2Z7S#####5OOI
66,risk:C1h1k,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,5,4,5,2.875,1.0,1.5,3.0,6.0,30,30,1573398029.1878943,1573398059.341813,2019-11-10 16:00:59.478539,2,AJ7MW#####3E4
67,risk:tjoXQ,3NBFJK3IPKO682PN9TMBMQFXPULGO5,0,2,0,1,1.295,1.0,1.2000000000000002,1.0,1.9800000000000002,71,71,1573398878.230245,1573398949.6223028,2019-11-10 16:15:49.930622,1,A5X1K#####REK
68,risk:dCn0Z,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,4,4,3,2.3525,1.04,1.38,3.0,3.9899999999999998,33,33,1573400554.3635416,1573400587.0702546,2019-11-10 16:43:07.261146,3,A2ZT5#####K8X9
69,risk:g0vuY,3NBFJK3IPKO682PN9TMBMQFXPULGO5,6,5,6,6,3.395,1.08,1.5,4.0,7.0,111,111,1573400594.1491594,1573400704.7999716,2019-11-10 16:45:04.998323,0,A2SYT#####WJO5
70,risk:lEWsu,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,5,5,5,3.0125,1.05,1.5,3.5,6.0,41,41,1573400819.5847266,1573400860.8921523,2019-11-10 16:47:41.247716,6,AMX5R#####A2K
71,risk:omasL,3NBFJK3IPKO682PN9TMBMQFXPULGO5,9,9,9,9,4.645,1.09,1.99,5.5,10.0,97,97,1573407683.9126532,1573407780.6316185,2019-11-10 18:43:00.813050,0,ATBIP#####KS6
72,risk:6l0cg,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,1,2,0,1.2675,0.9900000000000001,1.08,2.0,1.0,32,32,1573409564.7359867,1573409596.5655127,2019-11-10 19:13:16.767681,1,A1PHD#####IK4Q
73,risk:sPF4d,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,9,5,4,2.88,1.05,1.99,3.5,4.98,114,114,1573410184.9503126,1573410298.5512304,2019-11-10 19:24:58.803692,3,A33UW#####M27W
74,risk:WeWhi,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,9,9,9,9,4.645,1.09,1.99,5.5,10.0,157,157,1573425268.8740883,1573425426.2352927,2019-11-10 23:37:06.351961,19,A1SIS#####2PWH
75,risk:cvmb4,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,6,3,6,6,3.3525,1.08,1.3299999999999998,4.0,7.0,15,15,1573426424.6987808,1573426439.4492002,2019-11-10 23:54:00.027295,4,A3AOV#####XQ51
76,risk:MkRfg,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,5,2,2,1,1.5575,1.05,1.2000000000000002,2.0,1.9800000000000002,57,57,1573430133.4229412,1573430190.5182083,2019-11-11 00:56:30.659301,2,A24LB#####PKKF
77,risk:fPMyO,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,4,4,5,5,2.975,1.02,1.38,3.5,6.0,41,41,1573433649.3145745,1573433690.3145022,2019-11-11 01:54:50.466385,3,A17TK#####VH0R
78,risk:9yFys,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,0,3,3,3,2.21,1.0,1.3299999999999998,2.52,3.9899999999999998,68,68,1573433735.5333595,1573433803.4136992,2019-11-11 01:56:43.629366,3,A1YBG#####80DZ
79,risk:Re3xF,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,9,7,6,6,3.45,1.09,1.71,4.0,7.0,29,29,1573434066.6117513,1573434095.7081547,2019-11-11 02:01:35.862818,7,A1WBG#####NJ9
80,risk:yvIiX,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,3,2,2,1.8525,1.04,1.3299999999999998,2.0,3.04,67,67,1573435450.4582717,1573435517.0843859,2019-11-11 02:25:17.249910,2,A314X#####YL12
81,risk:3cDoR,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,5,5,5,6,3.2625,1.05,1.5,3.5,7.0,60,60,1573435898.4187813,1573435958.4149897,2019-11-11 02:32:38.844767,7,A3PDH#####CTT5
82,risk:HtQrt,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,3,4,6,8,3.8575,1.0499999999999998,1.38,4.0,9.0,115,115,1573435878.4788213,1573435993.1619885,2019-11-11 02:33:13.383957,1,A2EEL#####L5SK
83,risk:bvoLR,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,9,9,9,9,4.645,1.09,1.99,5.5,10.0,403,403,1573436117.0347574,1573436520.2734551,2019-11-11 02:42:00.443365,0,A3168#####DIH3
84,risk:hQ87J,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,83,83,1573436468.0434923,1573436550.9219437,2019-11-11 02:42:31.111192,1,A15XI#####7SLK
85,risk:XB4gl,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,4,6,4,6,3.155,1.02,1.6,3.0,7.0,128,128,1573436838.123707,1573436965.9181776,2019-11-11 02:49:26.076862,6,A136K#####C3G
86,risk:Pp8Ux,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,6,6,6,6,3.42,1.08,1.6,4.0,7.0,74,74,1573436906.9566894,1573436980.7152236,2019-11-11 02:49:40.963567,4,A1F3P#####9HBN
87,risk:bsBYu,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,0,0,2,9,3.5,1.0,1.0,2.0,10.0,41,41,1573436952.7270603,1573436993.6442018,2019-11-11 02:49:53.816003,0,A1PIG#####MGNW
88,risk:pcct6,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,6,6,6,5,3.17,1.08,1.6,4.0,6.0,44,44,1573436952.2759933,1573436996.0332277,2019-11-11 02:49:56.173425,4,A21Y7#####M1PR
89,risk:tSEWA,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,5,4,6,7,3.61,1.05,1.38,4.0,8.01,87,87,1573437784.135479,1573437871.0477312,2019-11-11 03:04:31.385490,1,A17NL#####Y599
90,risk:pGTZO,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,3,9,6,4,3.005,1.0499999999999998,1.99,4.0,4.98,62,62,1573437933.10196,1573437995.4179711,2019-11-11 03:06:35.681797,2,A3NXI#####5TXU
91,risk:sODd8,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,9,9,9,9,4.645,1.09,1.99,5.5,10.0,27,27,1573438116.5940373,1573438144.0427973,2019-11-11 03:09:04.205794,14,AVAJT#####XOO
92,risk:OdYms,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,22,22,1573438148.4421144,1573438170.3213089,2019-11-11 03:09:30.552592,1,A1BPQ#####7RWS
93,risk:ZzgYt,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,0,0,1,2,1.6425,1.0,1.0,1.53,3.04,21,21,1573438172.5746446,1573438193.1455276,2019-11-11 03:09:54.763053,2,A3TDA#####QFE3
94,risk:qnZEL,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,2,5,5,2.935,1.04,1.2000000000000002,3.5,6.0,52,52,1573438146.0619318,1573438197.8349335,2019-11-11 03:09:58.095851,1,A1WWE#####SVZ0
95,risk:sRPyO,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,9,9,9,9,4.645,1.09,1.99,5.5,10.0,46,46,1573438176.9669256,1573438223.3068938,2019-11-11 03:10:23.443506,0,A1N9Z#####R7OU
96,risk:6uOIH,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,3,3,3,3,2.2225,1.0499999999999998,1.3299999999999998,2.52,3.9899999999999998,101,101,1573438128.522813,1573438229.8833168,2019-11-11 03:10:30.096139,1,A3HL2#####PZT8
97,risk:QzZvg,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,3,4,4,2.5875,1.04,1.3299999999999998,3.0,4.98,83,83,1573438211.3370214,1573438294.501651,2019-11-11 03:11:34.805777,4,A3HSO#####NZR4
98,risk:TaMUY,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,9,9,9,9,4.645,1.09,1.99,5.5,10.0,106,106,1573438193.450345,1573438299.0936174,2019-11-11 03:11:39.289862,0,A2VTY#####N75V
99,risk:nBJbE,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,0,3,6,9,4.0825,1.0,1.3299999999999998,4.0,10.0,78,78,1573438224.0810196,1573438301.6758242,2019-11-11 03:11:42.022164,3,A1WEN#####ZZ1U
100,risk:uhkzY,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,17,17,1573438369.5264962,1573438386.894048,2019-11-11 03:13:07.346823,1,AG491#####Q8X
101,risk:14i9m,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,0,0,0,9,3.25,1.0,1.0,1.0,10.0,66,66,1573438329.600477,1573438395.59933,2019-11-11 03:13:15.785686,1,APJ3Z#####UWX
102,risk:ZhFpF,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,3,3,4,3,2.3425,1.0499999999999998,1.3299999999999998,3.0,3.9899999999999998,52,52,1573439573.0750687,1573439624.8578506,2019-11-11 03:33:46.591419,3,A2FBJ#####9SQ6
103,risk:rIe6I,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,9,9,9,9,4.645,1.09,1.99,5.5,10.0,196,196,1573440643.356469,1573440839.2972922,2019-11-11 03:53:59.425949,0,A354D#####ODP1
104,risk:OnWMC,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,4,4,9,9,4.475,1.02,1.38,5.5,10.0,96,96,1573442022.5705473,1573442118.35181,2019-11-11 04:15:18.576860,25,AVD6H#####LFI
105,risk:nBxLZ,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,3,3,5,4,2.715,1.0499999999999998,1.3299999999999998,3.5,4.98,215,215,1573444090.55183,1573444306.0029142,2019-11-11 04:51:46.217716,4,A1FHK#####9RU
106,risk:NoSgQ,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,5,7,5,6,3.315,1.05,1.71,3.5,7.0,35,35,1573472056.1839592,1573472091.6753967,2019-11-11 12:34:51.841727,3,A1PLZ#####W43J
107,risk:xFOTY,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,4,4,4,4,2.595,1.02,1.38,3.0,4.98,60,60,1573503215.6576092,1573503275.5753582,2019-11-11 21:14:35.806369,2,A4JP9#####ZPS
