,completion_code,job_id,q1,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q3,q30,q4,q5,q6,q7,q8,q9,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
21,ras:Cc3ZT,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-2,2,3,3,1,1,2,-1,-2,3,1,-1,-1,1,1,1,-2,-2,-2,1,-1,-2,1,-1,1,-1,-1,-1,-2,-29,1,-2,2,3,3,1,1,2,-1,-2,3,1,-1,-1,1,1,1,-2,-2,-2,1,-1,-2,1,-1,1,-1,-1,-1,-2,113,113,1573250033.8915482,1573250146.4687011,2019-11-08 22:55:46.881407,0,A3I0I#####KFFZ
22,ras:FC8NY,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-1,1,-2,1,-3,-1,1,-3,-1,-1,-1,2,2,2,-1,2,1,-1,1,2,1,2,-1,1,-2,2,-1,2,-2,25,1,-1,1,-2,1,-3,-1,1,-3,-1,-1,-1,2,2,2,-1,2,1,-1,1,2,1,2,-1,1,-2,2,-1,2,-2,207,207,1573250106.059451,1573250313.1460316,2019-11-08 22:58:33.360061,0,AMARS#####3TG
23,ras:HIfOC,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,-2,-2,3,2,3,2,3,2,2,-2,1,-2,3,2,3,2,-1,-2,-1,3,2,2,-3,-2,-3,2,3,1,3,1,3,-2,-2,3,2,3,2,3,2,2,-2,1,-2,3,2,3,2,-1,-2,-1,3,2,2,-3,-2,-3,2,3,1,3,14,14,1573250497.4070704,1573250511.0988193,2019-11-08 23:01:51.233950,0,A3JLE#####17E2
24,ras:JBVOK,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,2,1,-1,1,1,1,1,-1,1,1,-2,-1,1,1,-1,1,-1,1,1,-1,1,-2,-1,2,2,-1,1,-1,-1,-2,-2,2,1,-1,1,1,1,1,-1,1,1,-2,-1,1,1,-1,1,-1,1,1,-1,1,-2,-1,2,2,-1,1,-1,-1,62,62,1573251040.1457102,1573251102.5920691,2019-11-08 23:11:42.749148,0,A2SO6#####GBB7
25,ras:7GvbE,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,-3,3,3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,3,-3,-3,2,-3,3,-3,-9,-1,-3,3,3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,3,-3,-3,2,-3,3,-3,102,102,1573251004.4603007,1573251106.7781487,2019-11-08 23:11:47.015529,0,A2F2D#####U4AK
26,ras:ku7yG,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,-1,-1,1,2,1,-1,1,1,1,2,2,1,1,2,1,3,3,2,1,1,2,1,2,2,3,1,-2,1,1,-9,-1,-1,-1,1,2,1,-1,1,1,1,2,2,1,1,2,1,3,3,2,1,1,2,1,2,2,3,1,-2,1,1,46,46,1573251129.4026685,1573251175.564994,2019-11-08 23:12:55.783471,0,AWH9P#####UCX
27,ras:9RnqM,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,1,1,-2,-3,-3,2,-1,-2,-2,2,2,1,2,1,1,1,-3,-1,-2,-2,1,-2,1,1,-2,1,-2,1,-2,-2,2,1,1,-2,-3,-3,2,-1,-2,-2,2,2,1,2,1,1,1,-3,-1,-2,-2,1,-2,1,1,-2,1,-2,1,-2,140,140,1573251041.8000557,1573251182.0735927,2019-11-08 23:13:02.324032,0,AEF74#####EIA
28,ras:m9nMQ,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-2,2,-2,-1,-2,-1,-2,-2,-1,1,-2,1,-1,-2,1,1,-2,-1,1,1,2,-2,-2,1,-1,1,2,2,-2,11,1,-2,2,-2,-1,-2,-1,-2,-2,-1,1,-2,1,-1,-2,1,1,-2,-1,1,1,2,-2,-2,1,-1,1,2,2,-2,103,103,1573251446.7660642,1573251549.4867997,2019-11-08 23:19:09.991370,0,A2Y2A#####U47Q
29,ras:OHDHH,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,2,3,2,-1,-1,-1,1,1,2,-1,3,-3,1,-1,3,3,-2,3,-1,-2,-2,-1,3,3,2,1,-2,-1,1,-36,3,2,3,2,-1,-1,-1,1,1,2,-1,3,-3,1,-1,3,3,-2,3,-1,-2,-2,-1,3,3,2,1,-2,-1,1,163,163,1573251401.8877292,1573251564.7040257,2019-11-08 23:19:24.907442,0,A28AX#####PH1F
30,ras:tswyB,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,-2,-2,2,1,1,2,2,-1,-1,1,1,-1,-1,2,1,1,2,1,2,1,1,1,-1,2,-1,1,1,2,-1,0,-1,-2,-2,2,1,1,2,2,-1,-1,1,1,-1,-1,2,1,1,2,1,2,1,1,1,-1,2,-1,1,1,2,-1,33,33,1573251556.112489,1573251589.476899,2019-11-08 23:19:49.647013,0,A16SA#####96G4
31,ras:RmjaA,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,69,69,1573251677.1587071,1573251745.769514,2019-11-08 23:22:25.947711,0,A3SXE#####XBMM
32,ras:SHBjy,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,3,-2,2,-1,1,1,1,1,1,3,-1,-1,1,1,-1,2,1,-1,1,3,2,-2,-1,1,1,3,2,1,-3,14,-1,3,-2,2,-1,1,1,1,1,1,3,-1,-1,1,1,-1,2,1,-1,1,3,2,-2,-1,1,1,3,2,1,-3,133,133,1573251666.72463,1573251800.0859373,2019-11-08 23:23:20.318522,0,A2INX#####M92F
33,ras:Yr2Ms,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,2,2,-1,1,2,-1,-1,2,-1,1,-1,-1,-1,2,-1,-1,2,10,-2,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,2,2,-1,1,2,-1,-1,2,-1,1,-1,-1,-1,2,-1,-1,2,52,52,1573253100.3019147,1573253152.5069325,2019-11-08 23:45:52.749962,0,ATP43#####P0C
34,ras:LmByB,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,2,-2,1,-1,-2,1,-3,-3,-1,-3,-3,3,-2,-3,-3,1,-1,-1,-1,-2,1,1,-2,-3,-2,-1,-3,3,1,19,1,2,-2,1,-1,-2,1,-3,-3,-1,-3,-3,3,-2,-3,-3,1,-1,-1,-1,-2,1,1,-2,-3,-2,-1,-3,3,1,30,30,1573253147.0090141,1573253176.8650904,2019-11-08 23:46:17.324053,0,A3D8W#####SOH
35,ras:sAmZc,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,-1,-1,1,2,-2,-2,-1,-2,-2,1,1,-1,2,2,-2,-1,1,-2,1,1,2,2,-2,-2,-1,2,-1,2,-2,27,-2,-1,-1,1,2,-2,-2,-1,-2,-2,1,1,-1,2,2,-2,-1,1,-2,1,1,2,2,-2,-2,-1,2,-1,2,-2,104,104,1573253349.6179307,1573253453.794511,2019-11-08 23:50:53.997393,0,A3NMQ#####6YE0
36,ras:7hl7q,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,2,-2,2,-2,-2,-1,-1,1,-2,2,-2,2,3,2,-2,-1,-3,-2,2,2,2,-3,-2,-1,1,2,3,3,-2,28,1,2,-2,2,-2,-2,-1,-1,1,-2,2,-2,2,3,2,-2,-1,-3,-2,2,2,2,-3,-2,-1,1,2,3,3,-2,126,126,1573254078.8766737,1573254204.8373222,2019-11-09 00:03:25.102451,0,AAAHL#####A2U
37,ras:Ufddc,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-3,1,2,3,1,-1,-2,-3,-2,3,1,2,1,1,-3,1,-3,1,-3,-1,1,-3,1,1,-2,1,2,1,-1,-10,1,-3,1,2,3,1,-1,-2,-3,-2,3,1,2,1,1,-3,1,-3,1,-3,-1,1,-3,1,1,-2,1,2,1,-1,166,166,1573254311.3858194,1573254477.8699858,2019-11-09 00:07:57.994141,0,A28VE#####E3B8
38,ras:n3Mlx,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-1,2,1,2,1,1,2,-2,-2,3,1,-3,-1,1,-2,2,-2,1,1,1,-1,-2,-2,1,-2,-1,-1,2,-3,-16,1,-1,2,1,2,1,1,2,-2,-2,3,1,-3,-1,1,-2,2,-2,1,1,1,-1,-2,-2,1,-2,-1,-1,2,-3,161,161,1573254717.5289774,1573254878.1651525,2019-11-09 00:14:38.401957,0,A37XJ#####ZYC
39,ras:Eytcs,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-1,2,3,3,1,-1,1,-2,1,2,1,1,1,-2,-2,1,-2,2,-1,-1,2,-2,2,2,-2,3,1,2,-1,-11,1,-1,2,3,3,1,-1,1,-2,1,2,1,1,1,-2,-2,1,-2,2,-1,-1,2,-2,2,2,-2,3,1,2,-1,194,194,1573255056.7937324,1573255250.5612326,2019-11-09 00:20:50.794212,0,A36FB#####N139
40,ras:36RjU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,4,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,112,112,1573255183.3634052,1573255294.9050732,2019-11-09 00:21:35.441237,0,A2J6Q#####TRVM
41,ras:t24Ro,3NBFJK3IPKO682PN9TMBMQFXPULGO5,3,-3,3,3,2,-1,1,3,-1,-3,3,3,-2,-3,-2,3,3,-3,3,-2,-3,-2,-1,3,1,-3,1,-2,1,3,-56,3,-3,3,3,2,-1,1,3,-1,-3,3,3,-2,-3,-2,3,3,-3,3,-2,-3,-2,-1,3,1,-3,1,-2,1,3,106,106,1573255385.6603057,1573255491.647885,2019-11-09 00:24:51.810627,0,A2RLY#####6ETD
42,ras:HH7rY,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,2,-1,-3,-2,-3,-3,1,-3,1,-3,1,-1,1,1,-3,2,2,-3,-3,1,3,1,3,-2,-3,2,-1,2,-2,37,-2,2,-1,-3,-2,-3,-3,1,-3,1,-3,1,-1,1,1,-3,2,2,-3,-3,1,3,1,3,-2,-3,2,-1,2,-2,145,145,1573255365.0430343,1573255509.944313,2019-11-09 00:25:10.185466,0,A34V3#####3BMF
43,ras:GtqnR,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,3,-2,-2,-3,-3,1,-2,-3,2,-2,-3,2,2,3,-3,-3,2,-3,2,1,3,2,-3,1,-3,2,2,2,-3,66,-2,3,-2,-2,-3,-3,1,-2,-3,2,-2,-3,2,2,3,-3,-3,2,-3,2,1,3,2,-3,1,-3,2,2,2,-3,122,122,1573255440.4708726,1573255562.4024556,2019-11-09 00:26:02.669612,0,AGY4F#####H9G
44,ras:qEPt1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,2,-2,-3,-1,-3,-2,-2,-3,1,-2,-2,-3,2,2,-3,-1,1,2,2,-1,-1,1,-2,2,-3,2,-2,1,-3,36,-1,2,-2,-3,-1,-3,-2,-2,-3,1,-2,-2,-3,2,2,-3,-1,1,2,2,-1,-1,1,-2,2,-3,2,-2,1,-3,124,124,1573255493.9483159,1573255617.5528913,2019-11-09 00:26:57.706772,0,A3CPQ#####J09F
45,ras:nnC4o,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,3,3,-1,3,-3,3,3,3,-3,-1,3,-3,1,-3,3,3,3,3,-1,1,1,3,2,3,-3,3,-1,3,1,-20,2,3,3,-1,3,-3,3,3,3,-3,-1,3,-3,1,-3,3,3,3,3,-1,1,1,3,2,3,-3,3,-1,3,1,202,202,1573255417.635951,1573255619.9554908,2019-11-09 00:27:00.242326,0,AXTFS#####LO5
46,ras:PREbG,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,4,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,48,48,1573255572.7256029,1573255620.6226325,2019-11-09 00:27:00.787782,0,A1X44#####IQ78
47,ras:BHbsa,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,-2,-2,-3,-1,-3,-3,-1,-3,-1,-2,-2,1,2,2,-3,-3,1,1,2,2,2,1,-1,-2,-2,2,2,2,-2,50,-2,-2,-2,-3,-1,-3,-3,-1,-3,-1,-2,-2,1,2,2,-3,-3,1,1,2,2,2,1,-1,-2,-2,2,2,2,-2,156,156,1573255483.4122775,1573255639.6065114,2019-11-09 00:27:19.743417,0,A3T1A#####ZZXY
48,ras:Fgkq8,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-3,-3,-3,-3,-3,-3,-3,-2,1,1,-1,-3,-3,-3,-3,3,-3,-3,-3,-3,3,1,-3,-2,-3,-3,-3,-3,-3,8,1,-3,-3,-3,-3,-3,-3,-3,-2,1,1,-1,-3,-3,-3,-3,3,-3,-3,-3,-3,3,1,-3,-2,-3,-3,-3,-3,-3,145,145,1573255618.2597668,1573255763.233502,2019-11-09 00:29:23.508407,0,A13Y9#####5X5P
49,ras:wMjTg,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,-2,1,2,3,-1,2,1,-3,-3,2,3,-1,-1,-1,1,1,-3,-1,-1,-3,-3,-1,3,1,-1,-2,-1,-1,-1,-38,2,-2,1,2,3,-1,2,1,-3,-3,2,3,-1,-1,-1,1,1,-3,-1,-1,-3,-3,-1,3,1,-1,-2,-1,-1,-1,305,305,1573255473.296237,1573255778.066265,2019-11-09 00:29:38.220071,0,A1U3O#####I8JD
50,ras:Qmraf,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,3,-3,-2,1,-3,3,-3,-3,3,1,-2,-2,3,2,-3,-1,-2,2,1,-1,3,-1,-3,3,-2,3,2,1,-2,33,-1,3,-3,-2,1,-3,3,-3,-3,3,1,-2,-2,3,2,-3,-1,-2,2,1,-1,3,-1,-3,3,-2,3,2,1,-2,278,278,1573255623.2086277,1573255901.5649807,2019-11-09 00:31:41.979676,0,A23K7#####PV0D
51,ras:vmMSf,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,2,-2,2,-2,2,-2,2,-2,-2,2,-2,2,2,3,1,2,1,-2,-2,2,2,-2,-2,2,2,2,-2,2,-2,13,-2,2,-2,2,-2,2,-2,2,-2,-2,2,-2,2,2,3,1,2,1,-2,-2,2,2,-2,-2,2,2,2,-2,2,-2,127,127,1573257263.7957468,1573257391.2203321,2019-11-09 00:56:31.567706,0,A3DQL#####PEL8
52,ras:wJ7iX,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,-1,-2,-2,-2,-3,1,-2,-2,-3,-1,1,-1,-1,-1,-1,2,-2,-1,1,-1,-2,-1,1,2,-1,1,-3,2,-2,2,-2,-1,-2,-2,-2,-3,1,-2,-2,-3,-1,1,-1,-1,-1,-1,2,-2,-1,1,-1,-2,-1,1,2,-1,1,-3,2,-2,151,151,1573257478.9365363,1573257629.8965497,2019-11-09 01:00:30.240798,0,A8KX1#####E2Q
53,ras:7a28O,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,2,-2,-2,-3,-1,1,-1,-3,-3,3,-2,-1,2,1,-2,1,-2,-1,-2,1,1,-1,-1,1,-2,1,-1,1,-2,16,-1,2,-2,-2,-3,-1,1,-1,-3,-3,3,-2,-1,2,1,-2,1,-2,-1,-2,1,1,-1,-1,1,-2,1,-1,1,-2,131,131,1573257723.6551669,1573257854.7921648,2019-11-09 01:04:14.962668,0,A2FCQ#####PYHS
54,ras:p8QRG,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-3,1,3,3,3,2,3,-1,-2,-1,3,-1,-3,3,2,1,-1,3,-1,1,-3,-1,1,2,-3,3,1,3,1,-28,1,-3,1,3,3,3,2,3,-1,-2,-1,3,-1,-3,3,2,1,-1,3,-1,1,-3,-1,1,2,-3,3,1,3,1,312,312,1573257568.8872638,1573257881.1588051,2019-11-09 01:04:41.399899,0,A1LE6#####JNIT
