age,code_cc,code_cpc,code_exp,code_ras,code_resp_prop,code_risk,completion_code,education,ethnicity,feedback,gender,income,job_id,money_division,proposer,proposer_responder,responder,test,worker_id,timestamp
2635_years,cc:sf5DU,cpc:6MrOI,exp:WGPHS,ras:FPWj6,resp:GE2gg,risk:6Iey6,t10:WCaNM,high_school_degree,white,"I would finish a section and then get to this box and hit submit, and then a whole new section would appear, and say I hadn't completed any of it in red.  So far this has happened two times now, the additional tasks section, and now the demographic questions section.

Thank you.",male,Primary source of income,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,ball,A3UEE#####25TS,2019-11-07 01:55:37.121229
3645_years,,,,,prop:p1ZBW,,t10:UFCev,high_school_degree,black_or_african_american,"interesting, hard to believe that everyone doesn't realize splitting 50/50 is the best option",male,Secondary source of income,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,ball,A2UP4#####92NV,2019-11-07 02:05:45.338095
,,,,,,,dropped,,,,,,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,,A2RVD#####ZF9P,2019-11-07 20:39:19.095527
2635_years,cc:kze1x, cpc:vLVAy,exp:uyJQq,ras:ZSSua,resp:lMWV2,risk:8BcnV,t10:49WBV,bachelor_degree,white,No comments,female,Secondary source of income,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,ball,A11C2#####G6JK,2019-11-07 21:08:50.861680
2635_years,,,,,prop:Yk8R7,,t10:7QvHU,high_school_degree,white,,female,Secondary source of income,3M4KL7H8LYTJFHTGREFEY3P023061U,correct,correct,correct,correct,ball,A3KQT#####8T1Z,2019-11-07 21:57:09.651813
2635_years,cc:CgW40,cpc:vs07N,exp:oTKE9,ras:HbOcZ,resp:VVgbT,risk:mCKuf,t10:8eK9n,bachelor_degree,white,,male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,ACRBW#####8F5,2019-11-08 10:21:58.732961
2635_years,cc:GAPq2,cpc:GlORh,exp:uri5v,ras:wgy5J,resp:wlyGj,risk:MHD3C,t10:PVtY2,bachelor_degree,hispanic_latino,no comments,male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,ALVDN#####YTS,2019-11-08 10:29:06.263959
2635_years,,,,,prop:PlWnN,,t10:l8r0v,high_school_degree,white,Everything was clear and easy to understand.,male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A4SC8#####GEG,2019-11-08 10:34:54.096552
,,,,,,,dropped,,,,,,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,incorrect1,correct,correct,correct,,A3TPW#####DUFI,2019-11-08 10:42:51.210027
4655_years,cc:DAGKl,cpc:ua129,exp:YQio7,ras:o7TGf,resp:GbegH,risk:GENVV,t10:bYCJ8,high_school_degree,white,,male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A1OZN#####LC9V,2019-11-08 10:48:24.608955
3645_years,cc:pThrn,cpc:pCH3n,exp:No0fH,ras:bUM04,resp:SDpcK,risk:9TJt3,t10:wzxrQ,bachelor_degree,white,,female,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A1C7X#####D8JE,2019-11-08 10:52:03.782290
,,,,,,,dropped,,,,,,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,incorrect1,correct,correct,correct,,A1MPL#####0FSR,2019-11-08 10:52:10.597185
,,,,,,,dropped,,,,,,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,incorrect1,correct,correct,correct,ball,A2PU5#####FQQS,2019-11-08 10:52:18.033157
2635_years,cc:wTvCs,cpc:OaeIy,exp:bfnyz,ras:zDlbP,resp:Pi30t,risk:Xfgpl,t10:16nkB,high_school_degree,white,"I was able to clearly read and understand all contents displayed on this survey. No issues found. 
If needed additional questions, or concerns, please feel free and contact me. Thank you!",male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A3U30#####P0J6,2019-11-08 10:52:19.020955
,,,,,,,dropped,,,,,,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,incorrect1,correct,correct,correct,,A2JSI#####DC7T,2019-11-08 10:53:41.364495
2635_years,,,,,prop:15Az0,,t10:qcIOh,bachelor_degree,hispanic_latino,,male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A19ZA#####0BKI,2019-11-08 10:54:55.575513
3645_years,,,,,prop:w6YHl,,t10:IMmdR,high_school_degree,white,,male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,AFIK3#####6G6,2019-11-08 10:59:02.513123
,,,,,,,dropped,,,,,,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,incorrect2,incorrect1,incorrect1,incorrect1,ball,AORMY#####8U6,2019-11-08 11:03:36.370201
2635_years,cc:XTqfX,cpc:XonBH,exp:Evwzk,ras:e4ZRv,resp:eZH7z,risk:dff7H,t10:NePaP,bachelor_degree,white,quite interesting and hope do more surveys like this.,female,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A2U3H#####QNPE,2019-11-08 11:29:29.342239
3645_years,,,,,prop:4TNVr,,t10:cm1GG,high_school_degree,white,,male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A3UN1#####KKE6,2019-11-08 11:42:21.713564
,,,,,,,dropped,,,,,,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,incorrect2,correct,incorrect1,incorrect1,ball,A2ZE2#####BAIC,2019-11-08 11:51:57.184695
2635_years,cc:SghUk,cpc:w9ffx,exp:3z2Ga,ras:dz2pf,resp:Aeca5,risk:la3rc,t10:sDUzK,master_degree,white,,male,I earn nearly equal incomes from crowdsourced microtasks and other job(s),3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,AUZPU#####TX5,2019-11-08 12:18:26.019191
,,,,,,,dropped,,,NICE,,,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,incorrect1,incorrect2,incorrect1,ball,A2UQ9#####D5SF,2019-11-08 13:06:20.139089
,,,,,,,dropped,,,nice,,,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,incorrect2,correct,incorrect2,correct,ball,A34QY#####6WOB,2019-11-08 14:37:56.587946
2635_years,,,,,prop:hH14v,,t10:GmYDa,bachelor_degree,white,I like this survey very much,female,Primary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A1AEN#####Y9NJ,2019-11-08 15:19:53.044789
2635_years,cc:iZhZJ,cpc:eGdBe,exp:g77Rl,ras:L9xj1,resp:GT3tY,risk:xjhTW,t10:b9Uyp,bachelor_degree,black_or_african_american:white,,male,Primary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A2KBT#####J7X4,2019-11-08 16:37:38.278684
1825_years,,,,,prop:epkCC,,t10:veAzd,high_school_degree,white,TY,male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,AL2JY#####Z2H,2019-11-08 16:56:44.351835
1825_years,cc:AdIkE,cpc:rIjxh,exp:EFafh,ras:mARUb,resp:0sAVY,risk:FDwoY,t10:zdXjZ,bachelor_degree,white,no comments,female,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A3C2X#####NNLV,2019-11-08 17:22:15.146370
2635_years,,,,,prop:idR63,,t10:1D19I,high_school_degree,white,,female,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A3BXT#####C6F3,2019-11-08 17:46:56.597857
1825_years,cc:eVEuo,cpc:6jQWX,exp:v01ze,ras:0FA2S,resp:lmu2v,risk:qVGyS,t10:5WZde,bachelor_degree,white,"very interesting study, I enjoy the separation of tasks and the clear instruction.",male,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A39XI#####NHFU,2019-11-08 18:04:14.804680
2635_years,,,,,prop:iOZxM,,t10:cWgsb,high_school_degree,white,,female,Secondary source of income,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,correct,correct,correct,correct,ball,A3NMU#####ZCNC,2019-11-08 18:45:59.483651
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,,correct,correct,correct,,A2C73#####CA51,2019-11-08 22:28:42.103609
2635_years,cc:ql9ul,cpc:izGx9,exp:oJvDu,ras:gL7P4,resp:BnUNS,risk:LZFXY,t10:fpbnf,high_school_degree,white,,female,Primary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2GG7#####IXUR,2019-11-08 22:33:25.676864
3645_years,cc:nzZzd,cpc:Yx9Zr,exp:jOSs6,ras:I3TYn,resp:qRnBp,risk:eZgD6,t10:cCMrJ,high_school_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A26NG#####ATVN,2019-11-08 22:35:44.673712
3645_years,cc:4Lp35,cpc:VQlCq,exp:NdmGc,ras:Il9HL,resp:F3kHI,risk:2QZJA,t10:A2ax7,master_degree,white,No comments. Thanks!,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A270H#####LJ8W,2019-11-08 22:37:09.356609
2635_years,,,,,prop:nlU2V,,t10:0xYGc,high_school_degree,american_indian_or_alaska_native:white,,male,I earn nearly equal incomes from crowdsourced microtasks and other job(s),3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A36DK#####J942,2019-11-08 22:42:32.475955
2635_years,,,,,prop:tVfsa,,t10:B98XG,bachelor_degree,white,"That was a fun hit, good luck with your research!",male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2WVC#####YGML,2019-11-08 22:46:29.785280
2635_years,,,,,prop:fZ4Tb,,t10:Ax5ED,high_school_degree,white,,female,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A219Y#####4TM2,2019-11-08 22:48:05.539049
2635_years,cc:D7ftf,cpc:GRSLU,exp:KQPxq,ras:uMto4,resp:y2tiF,risk:yOrZb,t10:8Heit,high_school_degree,white,No comments thank you.,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,AOWW3#####J6U,2019-11-08 22:53:56.667729
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,incorrect2,correct,correct,correct,,A1TFX#####WVF7,2019-11-08 22:57:35.427269
3645_years,cc:UdgjZ,cpc:zke5S,exp:SuxlJ,ras:Cc3ZT,resp:SwnTE,risk:Oj1Bp,t10:DcgZO,bachelor_degree,asian,,female,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3I0I#####KFFZ,2019-11-08 22:57:53.750589
2635_years,,,,,prop:mqBN0,,t10:SjTaA,high_school_degree,white,,female,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2CJY#####7HN6,2019-11-08 23:01:13.978974
5665_years,,,,,prop:a7wMK,,t10:TVuy5,master_degree,white,Fun task ... ,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3M8U#####JPDF,2019-11-08 23:01:23.311971
2635_years,cc:jy8tw,cpc:wuZdo,exp:bW8xc,ras:FC8NY,resp:BH7hw,risk:BWftl,t10:YzpgL,bachelor_degree,white,Interesting study.,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,AMARS#####3TG,2019-11-08 23:02:32.309166
2635_years,cc:I4eh0,cpc:IlrWw,exp:t6vFi,ras:HIfOC,resp:idKbG,risk:C1jzg,t10:8qwJB,master_degree,white,,male,Primary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3JLE#####17E2,2019-11-08 23:02:47.605638
3645_years,,,,,prop:fBspF,,t10:ubI4O,high_school_degree,white,,female,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3UDU#####D833,2019-11-08 23:06:16.846820
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,incorrect2,correct,correct,correct,ball,A35HG#####WGMI,2019-11-08 23:08:22.478924
3645_years,cc:6p8Or,cpc:OUOy4,exp:Hf7y4,ras:7GvbE,resp:6mrcy,risk:FqcPI,t10:L67RY,bachelor_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2F2D#####U4AK,2019-11-08 23:13:01.208651
3645_years,cc:9UhI2,cpc:Jd9P9,exp:oUIzk,ras:JBVOK,resp:bwgIB,risk:Kp8Qm,t10:nptjd,bachelor_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2SO6#####GBB7,2019-11-08 23:13:27.095498
2635_years,cc:SfL2A,cpc:MnZFU,exp:agUxC,ras:ku7yG,resp:TNZBs,risk:p1T1u,t10:EWYxY,high_school_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,AWH9P#####UCX,2019-11-08 23:13:53.527922
3645_years,cc:S4iVS,cpc:c7dll,exp:ctQ8f,ras:9RnqM,resp:VcPVn,risk:hhebS,t10:T0sI7,bachelor_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,AEF74#####EIA,2019-11-08 23:14:24.074024
3645_years,,,,,prop:y9wir,,t10:E3EXB,bachelor_degree,asian,Interesting,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A1VL7#####NPX0,2019-11-08 23:17:12.890536
3645_years,,,,,prop:YxO75,,t10:U9K0B,bachelor_degree,white,none,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A1D9Z#####6SAF,2019-11-08 23:17:32.198294
2635_years,cc:QsRu0,cpc:46U22,exp:SJ164,ras:m9nMQ,resp:eCzTG,risk:bkgiO,t10:9KjXc,master_degree,white,none,male,I earn nearly equal incomes from crowdsourced microtasks and other job(s),3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2Y2A#####U47Q,2019-11-08 23:20:34.049530
2635_years,cc:9uYeu,cpc:1u4LC,exp:RwdP4,ras:tswyB,resp:rPMlQ,risk:Hft0s,t10:4GSgc,bachelor_degree,white,,male,Primary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A16SA#####96G4,2019-11-08 23:20:38.680618
2635_years,cc:JpII5,cpc:YyPFk,exp:EJyzh,ras:OHDHH,resp:vZeEH,risk:8jt1E,t10:MId7S,high_school_degree,white,,male,Primary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A28AX#####PH1F,2019-11-08 23:21:25.453760
2635_years,cc:BZIDe,cpc:s2tXc,exp:oaIAE,ras:SHBjy,resp:rMpLI,risk:bEobc,t10:i0P1i,high_school_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2INX#####M92F,2019-11-08 23:24:17.202133
2635_years,cc:ofd0R,cpc:WMxEk,exp:ce7N7,ras:RmjaA,resp:6fK4X,risk:u1161,t10:CMenl,bachelor_degree,white,Nice,female,I earn nearly equal incomes from crowdsourced microtasks and other job(s),3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3SXE#####XBMM,2019-11-08 23:25:22.408846
2635_years,,,,,prop:NSJgw,,t10:G2OBt,high_school_degree,white,good,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3OA4#####JOZ7,2019-11-08 23:31:54.890903
1825_years,,,,,prop:6HVqg,,t10:jDK2k,bachelor_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A152N#####ZBUI,2019-11-08 23:32:28.602837
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,incorrect2,incorrect1,correct,correct,ball,A2RYP#####X4A6,2019-11-08 23:32:56.871494
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,,correct,correct,correct,,A3CRD#####4JB5,2019-11-08 23:34:53.292693
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,incorrect1,correct,correct,correct,,A22Y0#####GXDF,2019-11-08 23:34:58.530644
1825_years,,,,,prop:HIZx6,,t10:9ABpL,bachelor_degree,asian,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A1NYI#####BOTP,2019-11-08 23:36:16.033058
2635_years,,,,,prop:WMG8i,,t10:ZCdWc,bachelor_degree,hispanic_latino,"There is no winning this sort of situation, and in addition, I am also here to earn the most money, therefore there is only one correct answer, which is to go with the option that gets me the most here, regardless of it's chances.  It's only $1.  Maybe if we were splitting a million dollars, this might have more of an impact.",male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2FLO#####A4ZS,2019-11-08 23:38:24.387986
2635_years,,,,,prop:xjQA9,,t10:jkOgR,bachelor_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,AV8T3#####PPS,2019-11-08 23:38:53.840766
2635_years,cc:wh3F0,cpc:4rxW2,exp:3oPcp,ras:Yr2Ms,resp:VLIqi,risk:yeLJn,t10:Hpe9P,bachelor_degree,black_or_african_american,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,ATP43#####P0C,2019-11-08 23:47:16.184516
3645_years,cc:a7yOt,cpc:c1n4l,exp:r8B0E,ras:LmByB,resp:r7Ncl,risk:TYvC0,t10:vy6mb,bachelor_degree,hispanic_latino,none,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3D8W#####SOH,2019-11-08 23:47:17.969563
3645_years,cc:3jjQc,cpc:Vm0HR,exp:EgvJj,ras:sAmZc,resp:UzGeV,risk:MuBmM,t10:FlgUH,high_school_degree,white,,female,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3NMQ#####6YE0,2019-11-08 23:52:06.696174
older_than_65_years,,,,,prop:Zl2jZ,,t10:Zy5Iq,other,white,,female,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3CWE#####V7TL,2019-11-08 23:55:22.566086
2635_years,,,,,prop:rkVcS,,t10:LVspP,bachelor_degree,white,I wish I would have seen the results.,female,Primary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,ADKYB#####815,2019-11-08 23:58:41.448824
older_than_65_years,,,,,prop:TfQ5w,,t10:PgRjj,bachelor_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A36O6#####XLJR,2019-11-09 00:02:35.054412
1825_years,cc:oCGZd,cpc:5fkFa,exp:2bScS,ras:7hl7q,resp:Q74eo,risk:5NB1H,t10:EsX5a,bachelor_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,AAAHL#####A2U,2019-11-09 00:04:59.749606
4655_years,,,,,prop:lp2qr,,t10:6RTgd,high_school_degree,white,,female,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A3NM3#####EI3J,2019-11-09 00:07:58.552650
2635_years,cc:4VDg9,cpc:GhdBU,exp:7rqvW,ras:Ufddc,resp:OQgxI,risk:tUxDA,t10:7jKIb,high_school_degree,white,,male,I earn nearly equal incomes from crowdsourced microtasks and other job(s),3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A28VE#####E3B8,2019-11-09 00:10:41.917922
2635_years,,,,,prop:ZXIeM,,t10:2YRqN,high_school_degree,black_or_african_american,Great study. No issues.,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2CHD#####3P3E,2019-11-09 00:14:22.566219
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,,AZ172#####6A,2019-11-09 00:18:16.892784
4655_years,cc:C3uNP,cpc:hO8XC,exp:Dz0iA,ras:n3Mlx,resp:y0C9Z,risk:0Eqgo,t10:hMb6s,high_school_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A37XJ#####ZYC,2019-11-09 00:18:43.328002
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,incorrect2,incorrect1,,A1AKR#####I8IM,2019-11-09 00:21:00.627342
1825_years,,,,,prop:fEP5U,,t10:pGawn,bachelor_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,ATYVQ#####Y2G,2019-11-09 00:21:12.683141
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,incorrect2,incorrect1,correct,incorrect2,ball,A382P#####SBF8,2019-11-09 00:21:18.635718
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,,correct,incorrect1,correct,ball,A38NY#####RZQV,2019-11-09 00:22:59.019096
2635_years,cc:9vg1b,cpc:t215E,exp:yduZX,ras:36RjU,resp:qLV8Q,risk:XUu3r,t10:045S6,master_degree,white,none,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2J6Q#####TRVM,2019-11-09 00:23:22.612095
,,,,,,,dropped,,,,,,3NBFJK3IPKO682PN9TMBMQFXPULGO5,incorrect2,correct,correct,correct,,A2OC4#####522W,2019-11-09 00:23:32.607369
2635_years,cc:5EwRQ,cpc:6CUc0,exp:BNJj4,ras:Eytcs,resp:YZJEK,risk:Z8RKm,t10:wzm8G,high_school_degree,white,"Interesting idea, I would always just go 50/50 but I'm sure greedy people will ruin this for everyone like always.",male,Primary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A36FB#####N139,2019-11-09 00:23:34.157654
2635_years,,,,,prop:e5GYN,,t10:kVShJ,high_school_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A28MD#####QHMS,2019-11-09 00:24:53.446520
2635_years,,,,,prop:NR4NH,,t10:SvzNS,bachelor_degree,white,"As far as I can tell, everything seemed to work fine in the experiment.",female,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A1IXV#####DXTG,2019-11-09 00:26:34.701473
5665_years,cc:HxPZH,cpc:LPZzx,exp:CIloq,ras:t24Ro,resp:ELoZ3,risk:5N0JZ,t10:91ywj,high_school_degree,white,,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A2RLY#####6ETD,2019-11-09 00:27:29.817800
2635_years,cc:0y1Tl,cpc:D6fQt,exp:rCkp6,ras:HH7rY,resp:rz2ju,risk:kWQm2,t10:G1I58,high_school_degree,white,n/a,male,Secondary source of income,3NBFJK3IPKO682PN9TMBMQFXPULGO5,correct,correct,correct,correct,ball,A34V3#####3BMF,2019-11-09 00:27:40.204310
