"ai_calls_acceptance_probability","ai_calls_best_offer_probability","ai_calls_count_repeated","ai_calls_offers","ai_calls_pauses","ai_nb_calls","ai_offer","cc_beta","cc_criterion","cc_false_alarm_avg_click_delay","cc_false_alarm_rate","cc_false_alarms","cc_hit_avg_click_delay","cc_hit_rate","cc_hits","cc_sensitivity","completion_code","cpc_expected_value","cpc_expected_value_max","cpc_expected_value_min","cpc_q1","cpc_q10","cpc_q2","cpc_q3","cpc_q4","cpc_q5","cpc_q6","cpc_q7","cpc_q8","cpc_q9","cpc_time_spent","exp_ultimatum_game_experience","job_id","min_offer","model_type","offer","offer_dss","offer_final","prop_time_spent","prop_worker_id","ras_assertiveness","ras_q1","ras_q10","ras_q11","ras_q12","ras_q13","ras_q14","ras_q15","ras_q16","ras_q17","ras_q18","ras_q19","ras_q2","ras_q20","ras_q21","ras_q22","ras_q23","ras_q24","ras_q25","ras_q26","ras_q27","ras_q28","ras_q29","ras_q3","ras_q30","ras_q4","ras_q5","ras_q6","ras_q7","ras_q8","ras_q9","ras_time_spent","resp_rowid","resp_time_spent","resp_worker_id","risk_expected_value","risk_q1","risk_q2","risk_q3","risk_q4","risk_time_spent","timestamp","worker_id"
0.7091,0.7938,1,50,20,1,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:YeO36",10.1669,13.09,5.24,7,6.5,13,30,11.525,3.4167,14.5,2.015,-1.0875,14.8,139,0,"3ICOHX7EOFHNL71D1DUCWMY3EAAE0E",35,"real",50,50,50,7,"A12OZ7P7Z41SJI",16,1,1,1,1,1,-1,1,-2,-1,1,1,-1,1,1,3,-1,1,2,-1,2,2,2,1,-1,2,2,1,-1,2,-1,211,14,21,"A3U306W3BPP0J6",1.8525,1.05,1.38,3,1.98,37,11/08/19 10:57 AM,"A12OZ#####41SJI"
"0.7091:0.0054:0.1292:0.2036:0.8732","0.7938:0.0073:0.0586:0.0759:0.0704",6,"50:0:35:45:65","22:14:8:10:6",5,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:w6YHl",11.4628,15.852,4.001,14,6.5,13,30,14.565,5.16,14.5,2.565,-1.0875,15.425,74,10,"3ICOHX7EOFHNL71D1DUCWMY3EAAE0E",50,"real",50,50,50,9,"AFIK3VBMMX6G6",-7,2,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,2,2,-1,1,-2,-2,2,145,15,9,"A1C7XI68SED8JE",3,1,1.5,3.5,6,45,11/08/19 10:58 AM,"AFIK3#####X6G6"
0.7091,0.7938,1,50,24,1,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:4TNVr",8.3406,6.676,6.3935,14,6.5,2.2333,10.22,14.565,5.16,15,2.015,-1.0875,14.8,135,20,"3ICOHX7EOFHNL71D1DUCWMY3EAAE0E",10,"real",50,50,50,12,"A3UN1F1EOHKKE6",-21,1,1,2,3,1,2,1,2,-1,1,1,2,2,-2,-1,2,2,1,3,-1,1,-1,1,3,1,-1,1,1,2,3,290,16,14,"A2U3H7HZMKQNPE",2.4775,1.08,1.33,2.52,4.98,149,11/08/19 11:41 AM,"A3UN1#####HKKE6"
"0.1805:0.2036:0.8947:0.0887:0.986:0.972:0.1068:0.8732:0.7091","0.0508:0.0759:0.342:0.0284:0.0732:0.0635:0.0039:0.0704:0.7938",11,"40:45:75:25:95:85:30:65:50","32:7:5:2:4:9:4:2:6",9,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:hH14v",10.609,12.257,7.136,14,6.5,13,30,14.565,5.16,14.5,2.565,-9,14.8,30,2,"3ICOHX7EOFHNL71D1DUCWMY3EAAE0E",40,"real",50,50,50,18,"A1AENN1KHOY9NJ",33,-3,3,-1,3,3,-3,3,-3,-3,-3,3,-3,3,3,3,-3,-3,1,-3,3,-3,-3,3,1,3,-3,3,3,3,-2,452,17,25,"AUZPUFWHNNTX5",3.0125,1.05,1.5,3.5,6,45,11/08/19 03:18 PM,"A1AEN#####OY9NJ"
0.7091,0.7938,1,50,22,1,50,1.14419943422564,0.121881225450312,360,0.25,1,414.25,0.666666666666667,4,1.10521704949154,"prop:epkCC",7.4064,5.781,5.7098,7,4.1583,2.2333,10.22,14.565,5.16,15,2.015,-1.0875,14.8,28,0,"3ICOHX7EOFHNL71D1DUCWMY3EAAE0E",100,"real",50,50,50,12,"AL2JY5T878Z2H",-4,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,71,18,12,"A2KBTDHM44J7X4",4.645,1.09,1.99,5.5,10,41,11/08/19 04:56 PM,"AL2JY#####8Z2H"
0.0353,0.0028,1,20,31,1,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:idR63",10.609,12.257,7.136,14,6.5,13,30,14.565,5.16,14.5,2.565,-9,14.8,111,1,"3ICOHX7EOFHNL71D1DUCWMY3EAAE0E",30,"real",25,25,25,22,"A3BXT78QXFC6F3",12,2,2,1,-1,1,-1,-1,-1,-3,-1,-1,1,-1,2,2,-1,1,1,-2,-1,-1,1,1,1,1,-2,1,-1,3,1,128,19,176,"A3C2X1L5PVNNLV",4.645,1.09,1.99,5.5,10,23,11/08/19 05:46 PM,"A3BXT#####FC6F3"
"0.0213:0.1292:0.986:0.7091","0.0009:0.0586:0.0732:0.7938",5,"5:35:95:50","51:23:4:3",4,50,1.21373162950237,0.091463907137153,0,0,0,372.8,0.833333333333333,5,2.11777094647771,"prop:iOZxM",6.9831,6.159,5.9388,7,4.1583,2.2333,10.22,11.525,3.4167,15,2.565,-1.0875,14.8,46,10,"3ICOHX7EOFHNL71D1DUCWMY3EAAE0E",50,"real",5,5,5,38,"A3NMU5T103ZCNC",-45,2,-3,2,2,3,1,2,3,-2,-2,2,2,1,1,1,2,1,-1,2,-2,-2,-1,-1,3,3,2,-1,-2,-2,1,109,20,5,"A39XIQCFSCNHFU",1.395,0.99,1.08,1.53,1.98,20,11/08/19 06:45 PM,"A3NMU#####3ZCNC"
0.7091,0.7938,1,50,44,1,50,0.786247200363677,-0.14646590795281,50,0.25,1,352.6,0.833333333333333,5,1.64191131629778,"prop:nlU2V",11.1661,13.097,6.4523,14,4.1583,13,30,14.565,5.16,14.5,2.565,-1.0875,14.8,94,5,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,15,"A36DK84J5YJ942",-76,2,-3,3,3,3,3,3,3,3,-3,3,3,-3,-3,-2,2,3,-3,3,-3,-2,-3,-3,3,3,2,-1,1,-1,2,115,21,6,"A2GG7HIO2OIXUR",2.595,1.02,1.38,3,4.98,42,11/08/19 10:41 PM,"A36DK#####YJ942"
"0.0887:0.1292:0.8947:0.1805","0.0284:0.0586:0.342:0.0508",4,"25:35:75:40","41:4:7:9",4,50,1.21373162950237,0.091463907137153,0,0,0,316.8,0.833333333333333,5,2.11777094647771,"prop:tVfsa",10.6715,14.767,4.751,14,6.5,13,30,14.565,5.16,14.5,2.565,-9,15.425,75,1,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",40,40,40,24,"A2WVCXVSE0YGML",39,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,2,-3,-2,-3,3,-3,3,-1,-3,3,3,2,-2,-2,-2,-3,2,1,2,-3,179,22,7,"A26NGLGGFTATVN",1,1,1,1,1,30,11/08/19 10:45 PM,"A2WVC#####0YGML"
"0.7091:0.1805","0.7938:0.0508",2,50:40:00,08:09:00 PM,2,50,0.744766502395818,-0.116322373362315,0,0,0,308.666666666667,1,6,2.53334350747665,"prop:fZ4Tb",9.4722,9.266,6.606,14,6.5,13,10.22,14.565,5.16,15,2.565,-1.0875,14.8,74,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,8,"A219Y0MX694TM2",-28,3,-3,1,3,3,-3,-1,2,-3,-3,-2,3,-2,3,-2,-2,2,-2,3,-2,-3,-2,-2,2,2,-3,2,-3,-1,-2,138,23,8,"A270HX8LH9LJ8W",4.645,1.09,1.99,5.5,10,35,11/08/19 10:47 PM,"A219Y#####94TM2"
"0.7091:0.2036:0.7187","0.7938:0.0759:0.182",4,50:45:55,43:13:08,3,50,0.744766502395818,-0.116322373362315,0,0,0,305.833333333333,1,6,2.53334350747665,"prop:a7wMK",7.331,10.184,4.2038,7,4.1583,13,10.22,11.525,3.4167,15,2.565,-9,15.425,47,2,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,13,"A3M8U8AWW4JPDF",43,-1,1,-2,-2,-2,-3,-2,-2,-3,1,-2,-2,1,3,2,-2,-2,-1,-2,2,1,1,2,-2,1,-2,-1,-3,2,-2,102,24,4,"AOWW3URQNRJ6U",4.645,1.09,1.99,5.5,10,23,11/08/19 11:00 PM,"A3M8U#####4JPDF"
0.7091,0.7938,1,50,13,1,50,1.21373162950237,0.091463907137153,0,0,0,295.4,0.833333333333333,5,2.11777094647771,"prop:mqBN0",10.4248,10.872,8.4422,14,4.1583,13,30,14.565,5.16,15,2.565,-9,14.8,70,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,7,"A2CJYS92WX7HN6",-29,1,-2,2,3,3,1,1,2,-1,-2,3,1,-1,-1,1,1,1,-2,-2,-2,1,-1,-2,1,-1,1,-1,-1,-1,-2,113,25,7,"A3I0ITCG0HKFFZ",4.645,1.09,1.99,5.5,10,31,11/08/19 11:00 PM,"A2CJY#####X7HN6"
"0.1805:0.7091","0.0508:0.7938",2,40:50:00,35:12:00,2,50,1.21373162950237,0.091463907137153,0,0,0,369,0.833333333333333,5,2.11777094647771,"prop:fBspF",10.4248,10.872,8.4422,14,4.1583,13,30,14.565,5.16,15,2.565,-9,14.8,152,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",25,"real",50,50,50,15,"A3UDUHUVFKD833",25,1,-1,1,-2,1,-3,-1,1,-3,-1,-1,-1,2,2,2,-1,2,1,-1,1,2,1,2,-1,1,-2,2,-1,2,-2,207,26,15,"AMARSQRPRZ3TG",3.925,1,1.2,3.5,10,102,11/08/19 11:05 PM,"A3UDU#####KD833"
0.7091,0.7938,1,50,31,1,50,0.626283432186312,0.483710783050851,223,0.5,2,162,0.166666666666667,1,-0.967421566101701,"prop:2iMNr",9.9952,15.355,2.9212,7,4.1583,13,30,11.525,3.4167,14.5,2.015,-1.0875,15.425,12,3,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",25,"real",50,50,50,13,"A3LCUNSJ1NI8HC",1,3,-2,-2,3,2,3,2,3,2,2,-2,1,-2,3,2,3,2,-1,-2,-1,3,2,2,-3,-2,-3,2,3,1,3,14,27,5,"A3JLE2LJ5I17E2",2.2275,1.05,1.38,4.5,1.98,4,11/08/19 11:06 PM,"A3LCU#####NI8HC"
0.7091,0.7938,1,50,31,1,50,1.14419943422564,0.121881225450312,203,0.25,1,348.25,0.666666666666667,4,1.10521704949154,"prop:XcaoI",8.1791,8.744,4.6388,7,4.1583,13,10.22,11.525,5.16,15,2.015,-1.0875,14.8,41,16,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",5,"real",50,50,50,16,"AZ8JL3QNIPY4U",-9,-1,-3,3,3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,3,-3,-3,2,-3,3,-3,102,28,9,"A2F2DDH12YU4AK",2.2225,1.05,1.33,2.52,3.99,37,11/08/19 11:13 PM,"AZ8JL#####PY4U"
0.7091,0.7938,4,50,11,1,50,0.744766502395818,-0.116322373362315,0,0,0,359.833333333333,1,6,2.53334350747665,"prop:fZR2r",9.9465,11.26,8.3587,14,4.1583,13,30,11.525,3.4167,15,2.565,-9,14.8,79,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",50,50,50,6,"A250FES5PFCGK9",-2,-2,2,1,-1,1,1,1,1,-1,1,1,-2,-1,1,1,-1,1,-1,1,1,-1,1,-2,-1,2,2,-1,1,-1,-1,62,29,9,"A2SO6K35NMGBB7",4.27,1.09,1.99,5,9,27,11/08/19 11:14 PM,"A250F#####FCGK9"
0.7091,0.7938,1,50,94,1,50,0.786247200363677,0.820955658148891,152,0.25,1,468,0.166666666666667,1,-0.292931815905619,"prop:y9wir",9.0632,10.779,4.0825,14,6.5,13,10.22,11.525,5.16,14.5,2.015,-1.0875,14.8,32,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",50,50,50,49,"A1VL7507UONPX0",-9,-1,-1,-1,1,2,1,-1,1,1,1,2,2,1,1,2,1,3,3,2,1,1,2,1,2,2,3,1,-2,1,1,46,30,10,"AWH9PNZE79UCX",1.395,0.99,1.08,1.53,1.98,23,11/08/19 11:15 PM,"A1VL7#####ONPX0"
"0.1292:0.1805:0.7091:0.2036","0.0586:0.0508:0.7938:0.0759",5,"35:40:50:45","36:11:3:3",4,50,0.482454739746253,1.02874193864836,181,0.25,1,0,0,0,-0.708504376904556,"prop:YxO75",10.4373,14.522,4.8173,14,4.1583,13,30,14.565,5.16,14.5,2.565,-9,15.425,54,25,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",35,50,50,23,"A1D9ZWU1M46SAF",-2,2,1,1,-2,-3,-3,2,-1,-2,-2,2,2,1,2,1,1,1,-3,-1,-2,-2,1,-2,1,1,-2,1,-2,1,-2,140,31,6,"AEF74ZYJTTEIA",4.645,1.09,1.99,5.5,10,12,11/08/19 11:16 PM,"A1D9Z#####46SAF"
0.0353,0.0028,1,20,29,1,50,1.21373162950237,1.05888547323885,0,0,0,175,0.166666666666667,1,0.182927814274307,"prop:6HVqg",8.4665,10.765,5.2575,7,6.5,2.2333,30,11.525,3.4167,15,2.565,-9,15.425,14,1,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",10,"real",10,20,20,10,"A152N5WUCLZBUI",11,1,-2,2,-2,-1,-2,-1,-2,-2,-1,1,-2,1,-1,-2,1,1,-2,-1,1,1,2,-2,-2,1,-1,1,2,2,-2,103,32,279,"A2Y2AZ8DBFU47Q",3.9725,1.08,1.8,5,8.01,7,11/08/19 11:31 PM,"A152N#####LZBUI"
,,0,,,0,50,1.76630332436924,0.790538339835733,0,0,0,353,0.333333333333333,2,0.71962208108055,"prop:NSJgw",10.1955,10.907,9.0172,14,4.1583,13,30,14.565,3.4167,15,2.015,-9,14.8,19,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",15,30,30,7,"A3OA4NB52XJOZ7",0,-1,-2,-2,2,1,1,2,2,-1,-1,1,1,-1,-1,2,1,1,2,1,2,1,1,1,-1,2,-1,1,1,2,-1,33,33,6,"A16SAB417Y96G4",1,1,1,1,1,16,11/08/19 11:31 PM,"A3OA4#####XJOZ7"
"0.0054:1.0:0.7091","0.0073:0.0208:0.7938",4,01:40:50 AM,31:07:09,3,50,0.744766502395818,-0.116322373362315,0,0,0,393.5,1,6,2.53334350747665,"prop:WMG8i",10.1333,14.885,3.8463,14,4.1583,13,30,11.525,5.16,14.5,2.565,-9,15.425,86,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",25,"real",0,0,0,22,"A2FLOH4DM8A4ZS",-36,3,2,3,2,-1,-1,-1,1,1,2,-1,3,-3,1,-1,3,3,-2,3,-1,-2,-2,-1,3,3,2,1,-2,-1,1,163,34,21,"A28AXX4NCWPH1F",2.7275,1.05,1.33,1.53,7,36,11/08/19 11:35 PM,"A2FLO#####8A4ZS"
"0.7091:0.2036","0.7938:0.0759",2,50:45:00,07:05:00 PM,2,50,1.21373162950237,1.05888547323885,0,0,0,340,0.166666666666667,1,0.182927814274307,"prop:HIZx6",7.7642,11.216,3.556,7,6.5,13,10.22,14.565,3.4167,14.5,2.015,-9,15.425,35,5,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",10,"real",50,50,50,9,"A1NYI79LUIBOTP",-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,69,35,18,"A3SXEFZI0IXBMM",2.8125,1.05,1.2,2,7,38,11/08/19 11:35 PM,"A1NYI#####IBOTP"
"0.0887:0.0054:0.0213:0.7091:0.1292","0.0284:0.0073:0.0009:0.7938:0.0586",7,"25:0:5:50:35","62:4:7:5:6",5,50,0.786247200363677,-0.14646590795281,173,0.25,1,334,0.833333333333333,5,1.64191131629778,"prop:70vmX",7.8574,6.784,5.8013,14,4.1583,2.2333,10.22,11.525,5.16,15,2.565,-1.0875,14.8,31,3,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",25,5,5,40,"AV8T375ESPPPS",14,-1,3,-2,2,-1,1,1,1,1,1,3,-1,-1,1,1,-1,2,1,-1,1,3,2,-2,-1,1,1,3,2,1,-3,133,36,14,"A2INXY39KBM92F",3.0125,1.05,1.5,3.5,6,23,11/08/19 11:37 PM,"AV8T3#####PPPS"
0.7091,0.7938,1,50,44,1,50,1.76630332436924,0.790538339835733,0,0,0,373.5,0.333333333333333,2,0.71962208108055,"prop:Zl2jZ",7.8699,10.434,2.1763,14,4.1583,2.2333,10.22,11.525,5.16,14.5,2.565,-1.0875,15.425,13,1,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",45,"real",50,50,50,22,"A3CWEN6Y21V7TL",10,-2,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,2,2,-1,1,2,-1,-1,2,-1,1,-1,-1,-1,2,-1,-1,2,52,37,10,"ATP43ZVI1RP0C",2.595,1.02,1.38,3,4.98,68,11/08/19 11:54 PM,"A3CWE#####1V7TL"
"0.7091:0.1068:0.1805","0.7938:0.0039:0.0508",4,50:30:40,47:16:15,3,50,0.786247200363677,0.14646590795281,320.666666666667,0.75,3,245,0.166666666666667,1,-1.64191131629778,"prop:WKFK9",6.6277,8.346,2.8348,7,4.1583,2.2333,10.22,14.565,5.16,14.5,2.015,-9,15.425,8,1,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",40,50,50,20,"ADKYBMRKXK815",19,1,2,-2,1,-1,-2,1,-3,-3,-1,-3,-3,3,-2,-3,-3,1,-1,-1,-1,-2,1,1,-2,-3,-2,-1,-3,3,1,30,38,23,"A3D8WP674HSOH",2.6925,1.08,1.71,3,4.98,14,11/08/19 11:57 PM,"ADKYB#####K815"
"0.7091:0.0887:0.1805:0.7187:0.2036:0.7662","0.7938:0.0284:0.0508:0.182:0.0759:0.4424",8,"50:25:40:55:45:60","63:37:8:13:9:15",6,50,1.76630332436924,0.359811040540275,0,0,0,379,0.666666666666667,4,1.58107667967147,"prop:TfQ5w",6.9831,6.159,5.9388,7,4.1583,2.2333,10.22,11.525,3.4167,15,2.565,-1.0875,14.8,40,1,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",45,"real",50,50,50,15,"A36O6HV8LCXLJR",27,-2,-1,-1,1,2,-2,-2,-1,-2,-2,1,1,-1,2,2,-2,-1,1,-2,1,1,2,2,-2,-2,-1,2,-1,2,-2,104,39,15,"A3NMQ3019X6YE0",1.59,1.05,1.33,2,1.98,39,11/08/19 11:59 PM,"A36O6#####CXLJR"
