,completion_code,job_id,min_offer,resp_time_spent,time_start,time_stop,timestamp,worker_id
15,resp:4KSEi,3PA41K45WQA509QNVQVW5D7U1XU7P9,25,17,1575601450.527351,1575601467.2527053,2019-12-06 04:04:27.440339,AAURS#####SXC
16,resp:zloRZ,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,12,1575601458.64418,1575601470.914081,2019-12-06 04:04:31.184639,ALYR5#####2JC
17,resp:5Ud9K,3PA41K45WQA509QNVQVW5D7U1XU7P9,25,15,1575601464.7547128,1575601479.5289612,2019-12-06 04:04:39.696411,AV2JA#####AJM
18,resp:pIHzo,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,12,1575601471.6760406,1575601483.4495013,2019-12-06 04:04:43.633939,A2S5G#####4S7T
19,resp:neInM,3PA41K45WQA509QNVQVW5D7U1XU7P9,20,9,1575601479.9529982,1575601489.051544,2019-12-06 04:04:49.222736,A3JWP#####COBP
20,resp:JeLBT,3PA41K45WQA509QNVQVW5D7U1XU7P9,25,11,1575601497.0714626,1575601508.558439,2019-12-06 04:05:08.708947,A2TI9#####47MZ
21,resp:yONvV,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,6,1575601508.1223443,1575601514.337202,2019-12-06 04:05:14.599115,A1R8A#####N7RH
22,resp:a8SkW,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,7,1575601514.8195794,1575601521.6076372,2019-12-06 04:05:21.775385,A2YQ3#####COL1
23,resp:fFw4j,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,7,1575601546.4059532,1575601553.4977548,2019-12-06 04:05:53.725233,A3DNY#####1FQF
24,resp:28ysH,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,18,1575601550.9340377,1575601569.3313913,2019-12-06 04:06:09.516153,A1N8T#####92QR
25,resp:CImgX,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,8,1575601562.832831,1575601570.602218,2019-12-06 04:06:10.786869,A1P63#####GF5E
26,resp:8XaBT,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,14,1575601568.6238317,1575601582.8260224,2019-12-06 04:06:23.038488,A31K4#####LAFM
27,resp:JOMEG,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,11,1575601578.9840572,1575601590.4102938,2019-12-06 04:06:30.853300,A1618#####5OJV
28,resp:wYX14,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,14,1575601577.2323463,1575601591.4370916,2019-12-06 04:06:31.587700,A1UBV#####VDVV
29,resp:3JHZ5,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,12,1575601584.4573026,1575601596.5527112,2019-12-06 04:06:37.459710,A265Z#####2TGT
30,resp:LCiYw,3PA41K45WQA509QNVQVW5D7U1XU7P9,25,12,1575601603.3486876,1575601615.0765142,2019-12-06 04:06:55.478503,A3SCN#####12HR
31,resp:1X0q1,3PA41K45WQA509QNVQVW5D7U1XU7P9,55,8,1575601614.0906768,1575601621.8029318,2019-12-06 04:07:01.989058,A1NV5#####LC92
32,resp:OAa3i,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,23,1575601605.7488184,1575601629.0804253,2019-12-06 04:07:09.257080,AZ5ZY#####XDL
33,resp:O3J74,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,18,1575601634.2700653,1575601651.9425879,2019-12-06 04:07:32.085785,A38C2#####2LTS
34,resp:wS4kF,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,7,1575601661.348942,1575601668.3120883,2019-12-06 04:07:48.454163,A1NLD#####2CX
35,resp:629Xt,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,13,1575601672.6886015,1575601685.9396462,2019-12-06 04:08:06.275219,A233H#####FSNY
36,resp:1tqQc,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,15,1575601674.2863095,1575601689.3725274,2019-12-06 04:08:09.583694,A1NWX#####0M8U
37,resp:7I7je,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,10,1575601693.8949869,1575601703.4235706,2019-12-06 04:08:23.552417,A182N#####SCZG
38,resp:Igu98,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,13,1575601693.957821,1575601706.8492146,2019-12-06 04:08:27.010919,A2WF2#####7OHV
39,resp:LFeHw,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,18,1575601718.175384,1575601736.148697,2019-12-06 04:08:56.282086,A3AD8#####C20E
40,resp:T9V5f,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,14,1575601747.081014,1575601760.5919957,2019-12-06 04:09:20.861101,A2AUR#####R39J
41,resp:swD2E,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,13,1575601750.7688005,1575601764.0624676,2019-12-06 04:09:24.270285,A2WJM#####QG3Z
42,resp:cXyTj,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,13,1575601769.8713112,1575601783.0044267,2019-12-06 04:09:43.190207,A1XAF#####H6S5
43,resp:BbOId,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,11,1575601809.1292453,1575601819.836012,2019-12-06 04:10:20.128663,A3B1P#####AM2B
44,resp:GgCJv,3PA41K45WQA509QNVQVW5D7U1XU7P9,100,19,1575601801.0768595,1575601820.4966862,2019-12-06 04:10:20.751473,A36G4#####F8V8
45,resp:RDAF1,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,20,1575601801.3484402,1575601821.1118963,2019-12-06 04:10:21.349138,AA116#####DS8
46,resp:E12Di,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,9,1575601813.8821535,1575601822.6246724,2019-12-06 04:10:22.839946,AE2QW#####JAN
47,resp:UY3vf,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,13,1575601819.6393516,1575601833.1227362,2019-12-06 04:10:33.318904,A2I9P#####ZBO8
48,resp:1aZpZ,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,17,1575601819.5828886,1575601837.0001824,2019-12-06 04:10:37.165087,A1XRW#####K1J4
49,resp:kXjAN,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,13,1575601830.6326241,1575601844.0949469,2019-12-06 04:10:44.292747,AO2A1#####0KB
50,resp:kULJi,3PA41K45WQA509QNVQVW5D7U1XU7P9,20,13,1575601835.272848,1575601848.0077245,2019-12-06 04:10:48.219380,A224B#####MZSN
51,resp:bQSJz,3PA41K45WQA509QNVQVW5D7U1XU7P9,100,7,1575601869.5674367,1575601876.7793026,2019-12-06 04:11:17.005027,A15F4#####42BK
52,resp:dEGe1,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,18,1575601864.31995,1575601882.0758889,2019-12-06 04:11:22.299507,A2DNC#####HCBS
53,resp:61TkT,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,201,1575601696.0968723,1575601897.3632529,2019-12-06 04:11:37.661506,A1GRL#####2RBJ
54,resp:mGfXm,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,12,1575601887.342114,1575601899.2718403,2019-12-06 04:11:39.462439,A1N53#####CR7Q
55,resp:p8teJ,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,24,1575601880.7583864,1575601905.0782409,2019-12-06 04:11:45.277668,A15VI#####YO50
56,resp:RAenb,3PA41K45WQA509QNVQVW5D7U1XU7P9,0,15,1575601904.0861232,1575601918.9186149,2019-12-06 04:11:59.314841,AHNFZ#####H6B
57,resp:AiuE4,3PA41K45WQA509QNVQVW5D7U1XU7P9,25,24,1575601902.571935,1575601926.310068,2019-12-06 04:12:06.503874,A3TKB#####PXBA
58,resp:qJHQU,3PA41K45WQA509QNVQVW5D7U1XU7P9,30,10,1575601947.4250338,1575601957.4650273,2019-12-06 04:12:37.970133,ABGFB#####C23
59,resp:Xlzyq,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,9,1575601953.9958222,1575601963.129269,2019-12-06 04:12:43.344184,A1UU7#####ILG6
60,resp:AIYev,3PA41K45WQA509QNVQVW5D7U1XU7P9,100,15,1575601947.9100304,1575601963.3800673,2019-12-06 04:12:43.498218,A247P#####U86P
61,resp:XmI1W,3PA41K45WQA509QNVQVW5D7U1XU7P9,20,12,1575601993.9867837,1575602006.2576702,2019-12-06 04:13:26.713388,A1PTK#####Z0QB
62,resp:JHn4m,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,14,1575602025.7449226,1575602039.7873468,2019-12-06 04:13:59.928895,A3SFM#####I36J
63,resp:sDG4h,3PA41K45WQA509QNVQVW5D7U1XU7P9,30,15,1575602027.3207128,1575602042.2246776,2019-12-06 04:14:02.472609,A2QXN#####RNL7
64,resp:DKk2M,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,11,1575602034.4071102,1575602045.4765587,2019-12-06 04:14:05.636057,A3RHF#####JC4V
65,resp:7yYr4,3PA41K45WQA509QNVQVW5D7U1XU7P9,20,7,1575602039.814394,1575602047.0467348,2019-12-06 04:14:07.340531,A3BXI#####DUHW
66,resp:FFLmb,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,12,1575602054.31411,1575602066.7742205,2019-12-06 04:14:26.931780,A3P34#####IKQY
67,resp:qyEdK,3PA41K45WQA509QNVQVW5D7U1XU7P9,30,14,1575602056.6061556,1575602070.4544625,2019-12-06 04:14:30.648764,A2X3F#####GHJU
68,resp:LfMJD,3PA41K45WQA509QNVQVW5D7U1XU7P9,35,8,1575602153.9598944,1575602161.6760542,2019-12-06 04:16:01.900977,A2WKX#####LNT9
69,resp:mWssQ,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,14,1575602764.244017,1575602778.6109653,2019-12-06 04:26:18.813163,A2RMR#####75XZ
70,resp:FMfOj,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,14,1575602775.8382027,1575602790.1548555,2019-12-06 04:26:30.315991,A1OZP#####1519
71,resp:rC3br,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,9,1575602828.483903,1575602837.22325,2019-12-06 04:27:17.425492,A3EWC#####U33I
72,resp:LTL8B,3PA41K45WQA509QNVQVW5D7U1XU7P9,10,13,1575602829.0099287,1575602841.7372522,2019-12-06 04:27:21.886850,A1GPE#####8IB7
73,resp:k0xED,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,13,1575602838.7213128,1575602851.3765707,2019-12-06 04:27:31.666546,A2S6J#####VW1R
74,resp:6LrKu,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,32,1575602820.6246393,1575602852.6102881,2019-12-06 04:27:32.796091,AWZCV#####PT
75,resp:DgfiM,3PA41K45WQA509QNVQVW5D7U1XU7P9,70,7,1575602919.174098,1575602926.670763,2019-12-06 04:28:46.846243,A2090#####WA3F
76,resp:bC0gT,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,24,1575602921.3759298,1575602945.03456,2019-12-06 04:29:05.337220,A1V6C#####OSAR
77,resp:eUoKS,3PA41K45WQA509QNVQVW5D7U1XU7P9,25,35,1575602916.1326706,1575602951.5149505,2019-12-06 04:29:11.681642,AS6BW#####DYV
78,resp:sedAr,3PA41K45WQA509QNVQVW5D7U1XU7P9,30,11,1575602968.8373477,1575602979.4250078,2019-12-06 04:29:39.604372,A3A8P#####0DWQ
79,resp:nHdnY,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,16,1575602981.598625,1575602997.6341562,2019-12-06 04:29:57.760828,A29CQ#####N3DJ
80,resp:8e2gW,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,13,1575602993.910741,1575603007.263808,2019-12-06 04:30:07.400454,ASIIB#####7J7
81,resp:vpgfV,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,9,1575603010.2707558,1575603019.7514973,2019-12-06 04:30:19.978283,A2H8H#####4A58
82,resp:t6eep,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,9,1575603035.3603137,1575603044.5970786,2019-12-06 04:30:45.008407,A3JW2#####7ZTU
83,resp:cFbbk,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,16,1575603031.2725766,1575603047.0067854,2019-12-06 04:30:47.673761,A2K1Y#####8B3Q
84,resp:sSGsy,3PA41K45WQA509QNVQVW5D7U1XU7P9,25,21,1575603029.9425557,1575603050.8432243,2019-12-06 04:30:51.048888,A14Z1#####JEON
85,resp:NxLGC,3PA41K45WQA509QNVQVW5D7U1XU7P9,100,8,1575603051.55942,1575603059.665424,2019-12-06 04:30:59.853053,A2LBH#####WOD
86,resp:jAd6b,3PA41K45WQA509QNVQVW5D7U1XU7P9,25,11,1575603053.0930882,1575603064.554841,2019-12-06 04:31:04.788882,A8YLQ#####KPR
87,resp:f1wU4,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,9,1575603081.1647828,1575603090.1798136,2019-12-06 04:31:30.301885,A345T#####DQ3G
88,resp:2k3kf,3PA41K45WQA509QNVQVW5D7U1XU7P9,40,11,1575603080.8144064,1575603092.1316106,2019-12-06 04:31:32.534951,A1O6W#####9R9C
89,resp:PnRvU,3PA41K45WQA509QNVQVW5D7U1XU7P9,15,12,1575603083.56396,1575603095.7910516,2019-12-06 04:31:35.999531,A1FAJ#####S6CX
90,resp:BQX7m,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,27,1575603082.6938174,1575603109.6551936,2019-12-06 04:31:49.834721,A2XS5#####MG9N
91,resp:7HRba,3PA41K45WQA509QNVQVW5D7U1XU7P9,30,16,1575603099.1095781,1575603114.9315653,2019-12-06 04:31:55.108070,A12HW#####ITHD
92,resp:A11Xm,3PA41K45WQA509QNVQVW5D7U1XU7P9,0,10,1575603132.06702,1575603142.2114222,2019-12-06 04:32:22.373027,A2KDO#####8S8D
93,resp:somVh,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,14,1575603130.3110044,1575603144.1123147,2019-12-06 04:32:24.345540,A96CZ#####KZ8
94,resp:Tvz81,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,11,1575603153.9974008,1575603165.291614,2019-12-06 04:32:45.499060,A2QBB#####PTYR
95,resp:ABJDx,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,12,1575603168.624139,1575603180.555264,2019-12-06 04:33:00.933296,A14AD#####6TDY
96,resp:FHTne,3PA41K45WQA509QNVQVW5D7U1XU7P9,85,40,1575603152.1672876,1575603192.4844058,2019-12-06 04:33:12.668288,AJQ71#####1HZ
97,resp:Hrazr,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,15,1575603197.8547966,1575603213.021751,2019-12-06 04:33:33.227654,A2QX3#####HHVV
98,resp:zLCtq,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,23,1575603195.0998285,1575603217.6101265,2019-12-06 04:33:37.837376,A2QO8#####DXU2
99,resp:Dh5Bj,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,14,1575603251.0684881,1575603264.7665086,2019-12-06 04:34:25.054282,A38A8#####ZMDV
100,resp:82iR7,3PA41K45WQA509QNVQVW5D7U1XU7P9,30,10,1575603291.11315,1575603301.5594,2019-12-06 04:35:01.721521,A36P1#####F567
101,resp:LfAIp,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,8,1575603298.98065,1575603306.966833,2019-12-06 04:35:07.111200,A2DV8#####RIL0
102,resp:VDTO6,3PA41K45WQA509QNVQVW5D7U1XU7P9,100,12,1575605463.0655725,1575605474.5897338,2019-12-06 05:11:14.843476,A1GMG#####0V7T
103,resp:u0OE3,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,15,1575605481.6710382,1575605496.6207726,2019-12-06 05:11:36.874691,ALZDJ#####919
104,resp:ZZWg5,3PA41K45WQA509QNVQVW5D7U1XU7P9,5,8,1575605637.775655,1575605645.7042174,2019-12-06 05:14:05.862049,A1UY2#####CWN
105,resp:Ib8TG,3PA41K45WQA509QNVQVW5D7U1XU7P9,20,17,1575605634.69457,1575605651.214674,2019-12-06 05:14:11.379014,A1GV0#####2ORS
106,resp:KEYA7,3PA41K45WQA509QNVQVW5D7U1XU7P9,10,46,1575609391.7979534,1575609437.6774654,2019-12-06 06:17:19.008799,A3I62#####Y6C8
107,resp:Gm5I6,3PA41K45WQA509QNVQVW5D7U1XU7P9,60,16,1575609500.5926096,1575609516.4639835,2019-12-06 06:18:36.630684,AZ62O#####EYR
108,resp:Kgxjy,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,16,1575611836.4683933,1575611852.4793665,2019-12-06 06:57:32.747614,A27NB#####JS8Q
109,resp:UqlAT,3PA41K45WQA509QNVQVW5D7U1XU7P9,45,13,1575611945.9021547,1575611958.5288732,2019-12-06 06:59:18.985869,A41ZM#####BVC
110,resp:a14rn,3PA41K45WQA509QNVQVW5D7U1XU7P9,100,8,1575614383.4477098,1575614391.2505608,2019-12-06 07:39:51.392156,A1PP1#####QA79
111,resp:V0sZv,3PA41K45WQA509QNVQVW5D7U1XU7P9,50,12,1575615113.4981425,1575615125.0258038,2019-12-06 07:52:05.500737,AWDVZ#####E7K
112,resp:eHCGS,3PA41K45WQA509QNVQVW5D7U1XU7P9,25,8,1575637590.4348955,1575637598.7725327,2019-12-06 14:06:38.991682,A2XBT#####QXAY
