,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,completion_code,job_id,q1,q10,q2,q3,q4,q5,q6,q7,q8,q9,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
10,10.1669,13.09,5.24,7.0,6.5,13.0,30.0,11.525,3.4167,14.5,2.015,-1.0875,14.8,139,cpc:OaeIy,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,B,A,A,A,B,B,A,B,B,A,139,1573206530.7227974,1573206669.4566467,2019-11-08 10:51:09.721010,30,A3U30#####P0J6
11,11.4628,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,74,cpc:pCH3n,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,A,A,A,A,A,A,A,A,B,B,74,1573206621.9570904,1573206696.0754647,2019-11-08 10:51:36.271908,15,A1C7X#####D8JE
12,8.3406,6.676,6.3935,14.0,6.5,2.2333,10.22,14.565,5.16,15.0,2.015,-1.0875,14.8,135,cpc:XonBH,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,A,A,B,B,A,A,B,B,B,A,135,1573208780.949471,1573208915.9379547,2019-11-08 11:28:36.111394,36,A2U3H#####QNPE
13,10.609,12.257,7.136,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,30,cpc:w9ffx,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,A,A,A,A,A,A,A,A,A,A,30,1573211841.1985245,1573211871.4793282,2019-11-08 12:17:51.986125,13,AUZPU#####TX5
14,7.4064,5.781,5.7098,7.0,4.1583,2.2333,10.22,14.565,5.16,15.0,2.015,-1.0875,14.8,28,cpc:eGdBe,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,B,B,B,B,A,A,B,B,B,A,28,1573227396.0653608,1573227424.1227722,2019-11-08 16:37:04.268048,46,A2KBT#####J7X4
15,10.609,12.257,7.136,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,111,cpc:rIjxh,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,A,A,A,A,A,A,A,A,A,A,111,1573229991.3478572,1573230101.8787386,2019-11-08 17:21:42.479400,37,A3C2X#####NNLV
16,6.9831,6.159,5.9388,7.0,4.1583,2.2333,10.22,11.525,3.4167,15.0,2.565,-1.0875,14.8,46,cpc:6jQWX,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,B,B,B,B,B,B,B,A,B,A,46,1573232591.7198992,1573232637.7520814,2019-11-08 18:03:57.983744,41,A39XI#####NHFU
17,11.1661,13.097,6.4523,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,94,cpc:izGx9,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,A,A,A,B,A,94,1573248690.3201945,1573248784.6351411,2019-11-08 22:33:04.888696,33,A2GG7#####IXUR
18,10.6715,14.767,4.751,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,75,cpc:Yx9Zr,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,A,A,A,A,A,A,A,A,B,75,1573248848.291103,1573248923.5423055,2019-11-08 22:35:23.746233,10,A26NG#####ATVN
19,9.4722,9.266,6.606,14.0,6.5,13.0,10.22,14.565,5.16,15.0,2.565,-1.0875,14.8,74,cpc:VQlCq,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,A,A,B,A,A,B,A,B,A,74,1573248925.4020543,1573248999.6778471,2019-11-08 22:36:39.907647,46,A270H#####LJ8W
20,7.331,10.184,4.2038,7.0,4.1583,13.0,10.22,11.525,3.4167,15.0,2.565,-9.0,15.425,47,cpc:GRSLU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,A,B,B,B,B,A,A,B,47,1573249963.8439991,1573250011.304916,2019-11-08 22:53:31.417588,44,AOWW3#####J6U
21,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,70,cpc:zke5S,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,A,B,A,A,A,70,1573250152.7573266,1573250222.4814072,2019-11-08 22:57:02.679786,23,A3I0I#####KFFZ
22,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,152,cpc:wuZdo,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,A,B,A,A,A,152,1573250333.2672482,1573250485.7594385,2019-11-08 23:01:25.971478,36,AMARS#####3TG
23,9.9952,15.355,2.9212,7.0,4.1583,13.0,30.0,11.525,3.4167,14.5,2.015,-1.0875,15.425,12,cpc:IlrWw,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,A,A,B,B,A,B,B,B,12,1573250535.3105688,1573250546.8788917,2019-11-08 23:02:27.109959,36,A3JLE#####17E2
24,8.1791,8.744,4.6388,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.015,-1.0875,14.8,41,cpc:OUOy4,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,A,B,B,A,B,B,B,A,41,1573251115.4928179,1573251156.2396557,2019-11-08 23:12:36.505104,38,A2F2D#####U4AK
25,9.9465,11.26,8.3587,14.0,4.1583,13.0,30.0,11.525,3.4167,15.0,2.565,-9.0,14.8,79,cpc:Jd9P9,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,B,B,B,A,A,A,79,1573251109.3924782,1573251187.9494214,2019-11-08 23:13:08.101180,38,A2SO6#####GBB7
26,9.0632,10.779,4.0825,14.0,6.5,13.0,10.22,11.525,5.16,14.5,2.015,-1.0875,14.8,32,cpc:MnZFU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,A,A,B,B,A,A,B,B,A,32,1573251181.228173,1573251213.176751,2019-11-08 23:13:33.387477,25,AWH9P#####UCX
27,10.4373,14.522,4.8173,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,54,cpc:c7dll,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,A,A,A,A,B,54,1573251189.929354,1573251244.1079464,2019-11-08 23:14:04.328627,18,AEF74#####EIA
28,8.4665,10.765,5.2575,7.0,6.5,2.2333,30.0,11.525,3.4167,15.0,2.565,-9.0,15.425,14,cpc:46U22,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,A,B,A,B,B,B,A,A,B,14,1573251577.433567,1573251590.9946876,2019-11-08 23:19:51.485935,19,A2Y2A#####U47Q
29,10.1955,10.907,9.0172,14.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.015,-9.0,14.8,19,cpc:1u4LC,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,B,B,B,A,A,19,1573251603.0354307,1573251622.3589368,2019-11-08 23:20:22.526989,28,A16SA#####96G4
30,10.1333,14.885,3.8463,14.0,4.1583,13.0,30.0,11.525,5.16,14.5,2.565,-9.0,15.425,86,cpc:YyPFk,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,B,A,A,A,A,B,86,1573251572.1193902,1573251657.624775,2019-11-08 23:20:57.837003,27,A28AX#####PH1F
31,7.7642,11.216,3.556,7.0,6.5,13.0,10.22,14.565,3.4167,14.5,2.015,-9.0,15.425,35,cpc:WMxEk,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,A,A,B,A,B,A,B,A,B,35,1573251774.831211,1573251810.020296,2019-11-08 23:23:30.189679,19,A3SXE#####XBMM
32,7.8574,6.784,5.8013,14.0,4.1583,2.2333,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,31,cpc:s2tXc,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,B,B,A,B,A,B,A,31,1573251805.813322,1573251837.022572,2019-11-08 23:23:57.261807,48,A2INX#####M92F
33,7.8699,10.434,2.1763,14.0,4.1583,2.2333,10.22,11.525,5.16,14.5,2.565,-1.0875,15.425,13,cpc:4rxW2,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,B,B,A,A,A,B,B,13,1573253163.3761678,1573253176.7728183,2019-11-08 23:46:16.952066,40,ATP43#####P0C
34,6.6277,8.346,2.8348,7.0,4.1583,2.2333,10.22,14.565,5.16,14.5,2.015,-9.0,15.425,8,cpc:c1n4l,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,B,B,A,A,A,B,A,B,8,1573253189.0380254,1573253197.3358538,2019-11-08 23:46:37.734781,41,A3D8W#####SOH
35,6.9831,6.159,5.9388,7.0,4.1583,2.2333,10.22,11.525,3.4167,15.0,2.565,-1.0875,14.8,40,cpc:Vm0HR,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,B,B,B,B,B,A,B,A,40,1573253462.7991974,1573253502.5428312,2019-11-08 23:51:42.738823,35,A3NMQ#####6YE0
36,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,68,cpc:5fkFa,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,A,B,A,A,A,68,1573254212.183129,1573254280.3843443,2019-11-09 00:04:40.577676,26,AAAHL#####A2U
37,8.3968,9.076,6.1823,14.0,4.1583,13.0,10.22,14.565,5.16,14.5,2.565,-9.0,14.8,131,cpc:GhdBU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,B,A,A,A,A,A,A,131,1573254484.6046922,1573254615.8028898,2019-11-09 00:10:15.925696,34,A28VE#####E3B8
38,11.4002,13.342,6.386,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,198,cpc:hO8XC,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,A,A,A,A,A,A,A,B,A,198,1573254891.1980667,1573255089.2459812,2019-11-09 00:18:09.385181,34,A37XJ#####ZYC
39,10.2005,12.037,8.0898,14.0,4.1583,13.0,30.0,14.565,3.4167,14.5,2.565,-9.0,14.8,39,cpc:t215E,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,B,A,A,A,A,39,1573255309.0430067,1573255348.422061,2019-11-09 00:22:29.011484,37,A2J6Q#####TRVM
40,11.1661,13.097,6.4523,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,119,cpc:6CUc0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,A,A,A,B,A,119,1573255265.3191173,1573255384.4444618,2019-11-09 00:23:04.665030,40,A36FB#####N139
41,9.8354,9.72,6.8213,14.0,4.1583,2.2333,30.0,11.525,5.16,15.0,2.565,-1.0875,14.8,59,cpc:LPZzx,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,A,B,A,B,A,B,A,59,1573255502.046653,1573255561.0652885,2019-11-09 00:26:01.203262,35,A2RLY#####6ETD
42,8.8841,10.524,4.4613,14.0,4.1583,13.0,10.22,11.525,5.16,14.5,2.565,-1.0875,14.8,111,cpc:D6fQt,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,B,B,A,A,A,B,A,111,1573255517.3258164,1573255628.4481783,2019-11-09 00:27:08.643084,43,A34V3#####3BMF
43,7.8574,6.784,5.8013,14.0,4.1583,2.2333,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,110,cpc:XpmFF,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,B,B,A,B,A,B,A,110,1573255573.2080789,1573255683.5923028,2019-11-09 00:28:03.742896,48,AGY4F#####H9G
44,10.9918,13.122,7.3398,14.0,4.1583,13.0,30.0,14.565,3.4167,14.5,2.565,-1.0875,14.8,61,cpc:OUjj3,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,B,A,A,B,A,61,1573255626.9598925,1573255688.4412622,2019-11-09 00:28:08.604584,36,A1X44#####IQ78
45,9.7929,13.38,2.8838,14.0,4.1583,2.2333,30.0,11.525,5.16,14.5,2.015,-1.0875,15.425,77,cpc:TAfkV,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,A,B,A,A,B,B,B,77,1573255631.4516637,1573255708.7501223,2019-11-09 00:28:28.907091,45,AXTFS#####LO5
46,9.8354,9.72,6.8213,14.0,4.1583,2.2333,30.0,11.525,5.16,15.0,2.565,-1.0875,14.8,98,cpc:Rglrv,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,A,B,A,B,A,B,A,98,1573255630.061525,1573255727.6402924,2019-11-09 00:28:47.980365,51,A3CPQ#####J09F
47,9.3482,8.272,8.5422,14.0,4.1583,2.2333,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,132,cpc:Bcyk6,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,A,A,A,B,A,A,A,132,1573255654.761994,1573255786.678817,2019-11-09 00:29:46.841947,26,A3T1A#####ZZXY
48,10.0844,9.367,7.4798,14.0,4.1583,2.2333,30.0,14.565,5.16,15.0,2.015,-1.0875,14.8,33,cpc:LoBMK,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,A,A,A,B,B,B,A,33,1573255778.1155334,1573255811.07524,2019-11-09 00:30:11.609718,46,A13Y9#####5X5P
49,7.1574,6.134,5.0513,7.0,4.1583,2.2333,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,62,cpc:KideU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,B,B,B,A,B,A,B,A,62,1573255788.9905982,1573255851.4424894,2019-11-09 00:30:51.587757,42,A1U3O#####I8JD
50,9.1262,11.556,5.1748,14.0,4.1583,13.0,10.22,14.565,3.4167,15.0,2.565,-1.0875,15.425,62,cpc:ViyC9,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,B,A,B,B,A,B,B,62,1573257398.6777847,1573257460.4571812,2019-11-09 00:57:40.638398,27,A3DQL#####PEL8
51,10.1394,9.357,7.7922,14.0,4.1583,2.2333,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,1834,cpc:DpK0X,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,A,A,A,B,A,B,A,1834,1573255917.1868632,1573257750.7270188,2019-11-09 01:02:31.312644,48,A23K7#####PV0D
52,10.5286,14.957,3.3173,7.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,130,cpc:Q3IxJ,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,A,A,A,A,A,A,B,B,130,1573257651.777744,1573257781.5317829,2019-11-09 01:03:01.805766,37,A8KX1#####E2Q
53,11.4002,13.342,6.386,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,34,cpc:8Tb10,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,A,A,A,A,A,A,A,B,A,34,1573257863.8340673,1573257897.704232,2019-11-09 01:04:58.058878,28,A2FCQ#####PYHS
54,9.0804,9.08,5.7588,7.0,4.1583,2.2333,30.0,11.525,5.16,15.0,2.015,-1.0875,14.8,113,cpc:cNYkc,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,B,A,B,A,B,B,B,A,113,1573257894.4744768,1573258007.7875662,2019-11-09 01:06:47.993002,56,A1LE6#####JNIT
55,8.658,9.032,7.3735,7.0,6.5,2.2333,30.0,14.565,3.4167,14.5,2.565,-9.0,14.8,121,cpc:POJeB,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,A,B,A,A,B,A,A,A,A,121,1573258079.4834514,1573258200.0122063,2019-11-09 01:10:00.161679,19,A2XC9#####6PLH
56,11.2259,13.367,7.2735,14.0,6.5,13.0,30.0,14.565,3.4167,14.5,2.565,-1.0875,14.8,83,cpc:2aSP2,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,A,A,A,A,B,A,A,B,A,83,1573258616.971288,1573258700.440337,2019-11-09 01:18:20.647396,23,A3VTO#####TBRR
57,8.1791,8.744,4.6388,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.015,-1.0875,14.8,122,cpc:W4van,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,A,B,B,A,B,B,B,A,122,1573258721.7623487,1573258843.8928747,2019-11-09 01:20:44.388575,44,A1ZK0#####6UPY
58,9.5823,8.517,8.476,14.0,6.5,2.2333,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,94,cpc:mUhCX,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,A,B,A,A,A,B,A,A,A,94,1573263094.5733426,1573263188.081334,2019-11-09 02:33:08.261055,24,A1YNB#####FUVW
59,9.9151,10.522,7.4397,14.0,4.1583,2.2333,30.0,14.565,3.4167,14.5,2.565,-1.0875,14.8,23,cpc:MbuxT,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,A,A,B,A,A,B,A,23,1573263694.904625,1573263717.5966523,2019-11-09 02:41:57.754262,29,A1842#####Z590
60,9.613,12.757,6.1948,7.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.565,-9.0,15.425,84,cpc:UwLtI,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,A,A,A,B,B,A,A,B,84,1573263670.4868662,1573263754.3903866,2019-11-09 02:42:34.578228,30,A23QI#####SA0I
61,9.1354,9.07,6.0713,7.0,4.1583,2.2333,30.0,11.525,5.16,15.0,2.565,-1.0875,14.8,71,cpc:UymjU,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,B,A,B,A,B,A,B,A,71,1573264515.352573,1573264586.2789001,2019-11-09 02:56:26.448618,36,A3SSE#####7NI7
62,10.8571,12.33,6.4087,14.0,4.1583,13.0,30.0,11.525,5.16,15.0,2.015,-1.0875,14.8,86,cpc:CFE3b,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,B,A,B,B,B,A,86,1573264700.531068,1573264786.1143684,2019-11-09 02:59:46.351389,33,A1JDE#####1E33
63,7.1958,5.361,8.4097,14.0,4.1583,2.2333,10.22,14.565,3.4167,15.0,2.565,-9.0,14.8,98,cpc:TO2uT,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,B,B,A,B,B,A,A,A,98,1573397153.4835122,1573397251.4220142,2019-11-10 15:47:31.561882,39,A3QSJ#####0N6V
64,8.9341,9.384,5.7012,14.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,34,cpc:ncN03,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,B,B,A,B,A,B,A,34,1573398109.746745,1573398143.66451,2019-11-10 16:02:23.811798,41,A2Z7S#####5OOI
65,11.4628,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,75,cpc:BR7r4,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,A,A,A,A,A,A,A,B,B,75,1573398284.807046,1573398360.0589318,2019-11-10 16:06:00.201533,40,AJ7MW#####3E4
66,11.2161,11.957,7.6922,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,118,cpc:FsTpk,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,A,B,A,B,A,118,1573399304.3792672,1573399422.7209616,2019-11-10 16:23:43.065290,30,A5X1K#####REK
67,8.9341,9.384,5.7012,14.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,46,cpc:inReN,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,B,B,A,B,A,B,A,46,1573400766.0396917,1573400812.4640222,2019-11-10 16:46:52.699059,60,A2ZT5#####K8X9
68,9.9715,14.117,4.001,7.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,81,cpc:NE2mk,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,A,A,A,A,A,A,A,A,B,81,1573400898.9296193,1573400979.977198,2019-11-10 16:49:40.188918,27,A2SYT#####WJO5
69,9.7248,10.222,7.6922,7.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,96,cpc:CsL3w,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,A,A,A,A,B,A,A,A,96,1573401059.5940115,1573401155.5289247,2019-11-10 16:52:35.742173,30,AMX5R#####A2K
70,7.4614,5.771,6.0223,7.0,4.1583,2.2333,10.22,14.565,5.16,15.0,2.565,-1.0875,14.8,87,cpc:oPrz6,3NBFJK3IPKO682PN9TMBMQFXPULGO5,B,B,B,B,A,A,B,A,B,A,87,1573408065.420705,1573408152.5284376,2019-11-10 18:49:12.717428,38,ATBIP#####KS6
71,11.2236,14.477,4.9948,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.015,-1.0875,15.425,78,cpc:U3k30,3NBFJK3IPKO682PN9TMBMQFXPULGO5,A,B,A,A,A,A,B,B,B,B,78,1573410145.7422957,1573410223.9160368,2019-11-10 19:23:44.212424,51,A1PHD#####IK4Q
72,11.4628,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,119,cpc:POakG,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,A,A,A,A,A,A,A,A,B,B,119,1573425764.303919,1573425883.3297298,2019-11-10 23:44:43.467122,16,A1SIS#####2PWH
73,10.7628,15.202,3.251,7.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,41,cpc:TbfGE,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,B,A,A,A,A,A,A,A,B,B,41,1573426617.5223577,1573426658.488684,2019-11-10 23:57:38.954729,28,A3AOV#####XQ51
74,8.4262,10.906,4.4248,7.0,4.1583,13.0,10.22,14.565,3.4167,15.0,2.565,-1.0875,15.425,106,cpc:ubwgM,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,B,B,A,B,A,B,B,A,B,B,106,1573430504.7672315,1573430611.1576033,2019-11-11 01:03:31.340232,47,A24LB#####PKKF
75,9.4705,11.052,6.9785,14.0,6.5,2.2333,30.0,14.565,3.4167,15.0,2.565,-9.0,15.425,131,cpc:ptzug,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,A,A,B,A,A,B,B,A,A,B,131,1573433999.9951224,1573434131.0652425,2019-11-11 02:02:11.237772,24,A17TK#####VH0R
76,9.4469,11.227,4.3447,7.0,4.1583,2.2333,30.0,14.565,5.16,15.0,2.015,-1.0875,15.425,151,cpc:uHvXa,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,B,B,B,A,A,A,B,B,B,B,151,1573434138.470318,1573434288.9893594,2019-11-11 02:04:49.238156,30,A1YBG#####80DZ
77,6.9906,8.679,3.2413,7.0,4.1583,2.2333,10.22,11.525,3.4167,15.0,2.015,-1.0875,15.425,27,cpc:vNTwO,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,B,B,B,B,B,B,B,B,B,B,27,1573434423.3435426,1573434450.283539,2019-11-11 02:07:30.458656,34,A1WBG#####NJ9
78,11.2088,15.075,4.27,14.0,6.5,13.0,30.0,11.525,5.16,15.0,2.565,-1.0875,15.425,101,cpc:IwH8T,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,A,A,A,A,B,A,B,A,B,B,101,1573435795.6846173,1573435897.0542288,2019-11-11 02:31:37.229620,47,A314X#####YL12
79,9.613,12.757,6.1947,7.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.565,-9.0,15.425,91,cpc:04i3O,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,B,B,A,A,A,B,B,A,A,B,91,1573436224.4919298,1573436315.301161,2019-11-11 02:38:35.498162,29,A3PDH#####CTT5
80,11.2786,14.467,5.3072,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,15.425,120,cpc:K0hfj,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,A,B,A,A,A,A,B,A,B,B,120,1573436327.6158538,1573436447.1393578,2019-11-11 02:40:47.326241,30,A2EEL#####L5SK
